eb44a889fb3e70f3725f5b23925b07faaa306730da650d23cb48c2fc49408e3e,57a9e78bafc70ebedf4cf854fb9c58a1bc2310b8be56f6ef23d6705a0137d157,eb2b133af70220745afc1b739776409c35afa3c825036459096efac2d89b43f5
"1","0","0"
"2","40","5"
"3","60","14"
"4","80","24"
"5","100","39"
"6","120","59"
"7","140","84"
"8","160","114"
"9","180","149"
"10","200","188"
"11","220","233"
"12","240","283"
"13","260","338"
"14","280","397"
"15","300","462"
"16","320","532"
"17","340","606"
"18","360","686"
"19","380","770"
"20","400","860"
"21","420","954"
"22","440","1054"
"23","460","1158"
"24","480","1267"
"25","500","1382"
"26","520","1501"
"27","540","1626"
"28","560","1755"
"29","580","1889"
"30","600","2028"
"31","620","2172"
"32","640","2322"
"33","660","2476"
"34","680","2635"
"35","700","2799"
"36","720","2968"
"37","740","3142"
"38","760","3321"
"39","780","3505"
"40","800","3694"
"41","820","3888"
"42","840","4087"
"43","860","4291"
"44","880","4500"
"45","900","4713"
"46","920","4932"
"47","940","5156"
"48","960","5385"
"49","980","5618"
"50","1000","5857"
"51","1020","6101"
"52","1040","6349"
"53","1060","6603"
"54","1080","6862"
"55","1100","7125"
"56","1120","7394"
"57","1140","7667"
"58","1160","7946"
"59","1180","8229"
"60","1200","8517"
"61","1220","8811"
"62","1240","9109"
"63","1260","9412"
"64","1280","9721"
"65","1300","10034"
"66","1320","10352"
"67","1340","10675"
"68","1360","11004"
"69","1380","11337"
"70","1400","11675"
"71","1420","12018"
"72","1440","12366"
"73","1460","12719"
"74","1480","13077"
"75","1500","13440"
"76","1520","13808"
"77","1540","14181"
"78","1560","14559"
"79","1580","14942"
"80","1600","15330"
"81","1620","15723"
"82","1640","16120"
"83","1660","16523"
"84","1680","16931"
"85","1700","17344"
"86","1720","17761"
"87","1740","18184"
"88","1760","18612"
"89","1780","19044"
"90","1800","19482"
"91","1820","19924"
"92","1840","20372"
"93","1860","20824"
"94","1880","21282"
"95","1900","21744"
"96","1920","22212"
"97","1940","22684"
"98","1960","23161"
"99","1980","23644"
"100","2000","24131"
"101","2020","24623"
"102","2040","25121"
"103","2060","25623"
"104","2080","26130"
"105","2100","26642"
"106","2120","27159"
"107","2140","27681"
"108","2160","28208"
"109","2180","28741"
"110","2200","29278"
"111","2220","29820"
"112","2240","30367"
"113","2260","30919"
"114","2280","31475"
"115","2300","32037"
"116","2320","32604"
"117","2340","33176"
"118","2360","33753"
"119","2380","34335"
"120","2400","34921"
"121","2420","35513"
"122","2440","36110"
"123","2460","36711"
"124","2480","37318"
"125","2500","37930"
"126","2520","38546"
"127","2540","39168"
"128","2560","39794"
"129","2580","40426"
"130","2600","41062"
"131","2620","41704"
"132","2640","42350"
"133","2660","43002"
"134","2680","43658"
"135","2700","44319"
"136","2720","44986"
"137","2740","45657"
"138","2760","46333"
"139","2780","47014"
"140","2800","47701"
"141","2820","48392"
"142","2840","49088"
"143","2860","49789"
"144","2880","50495"
"145","2900","51206"
"146","2920","51922"
"147","2940","52643"
"148","2960","53369"
"149","2980","54100"
"150","3000","54836"
"151","3020","55577"
"152","3040","56323"
"153","3060","57074"
"154","3080","57830"
"155","3100","58590"
"156","3120","59356"
"157","3140","60127"
"158","3160","60903"
"159","3180","61683"
"160","3200","62469"
"161","3220","63260"
"162","3240","64055"
"163","3260","64856"
"164","3280","65661"
"165","3300","66472"
"166","3320","67287"
"167","3340","68108"
"168","3360","68933"
"169","3380","69764"
"170","3400","70599"
"171","3420","71439"
"172","3440","72285"
"173","3460","73135"
"174","3480","73990"
"175","3500","74851"
"176","3520","75716"
"177","3540","76586"
"178","3560","77461"
"179","3580","78341"
"180","3600","79226"
"181","3620","80116"
"182","3640","81011"
"183","3660","81911"
"184","3680","82816"
"185","3700","83726"
"186","3720","84641"
"187","3740","85561"
"188","3760","86486"
"189","3780","87416"
"190","3800","88351"
"191","3820","89291"
"192","3840","90235"
"193","3860","91185"
"194","3880","92140"
"195","3900","93100"
"196","3920","94064"
"197","3940","95034"
"198","3960","96009"
"199","3980","96988"
"200","4000","97973"
"201","4020","98962"
"202","4040","99957"
"203","4060","100956"
"204","4080","101961"
"205","4100","102970"
"206","4120","103984"
"207","4140","105004"
"208","4160","106028"
"209","4180","107057"
"210","4200","108092"
"211","4220","109131"
"212","4240","110175"
"213","4260","111224"
"214","4280","112279"
"215","4300","113338"
"216","4320","114402"
"217","4340","115471"
"218","4360","116545"
"219","4380","117624"
"220","4400","118708"
"221","4420","119797"
"222","4440","120891"
"223","4460","121990"
"224","4480","123094"
"225","4500","124203"
"226","4520","125316"
"227","4540","126435"
"228","4560","127559"
"229","4580","128688"
"230","4600","129822"
"231","4620","130960"
"232","4640","132104"
"233","4660","133253"
"234","4680","134406"
"235","4700","135565"
"236","4720","136728"
"237","4740","137897"
"238","4760","139070"
"239","4780","140249"
"240","4800","141432"
"241","4820","142621"
"242","4840","143814"
"243","4860","145013"
"244","4880","146216"
"245","4900","147424"
"246","4920","148637"
"247","4940","149856"
"248","4960","151079"
"249","4980","152307"
"250","5000","153540"
"251","5020","154779"
"252","5040","156022"
"253","5060","157270"
"254","5080","158523"
"255","5100","159781"
"256","5120","161044"
"257","5140","162312"
"258","5160","163585"
"259","5180","164863"
"260","5200","166146"
"261","5220","167434"
"262","5240","168726"
"263","5260","170024"
"264","5280","171327"
"265","5300","172635"
"266","5320","173947"
"267","5340","175265"
"268","5360","176588"
"269","5380","177916"
"270","5400","179248"
"271","5420","180586"
"272","5440","181928"
"273","5460","183276"
"274","5480","184628"
"275","5500","185986"
"276","5520","187348"
"277","5540","188716"
"278","5560","190088"
"279","5580","191466"
"280","5600","192848"
"281","5620","194235"
"282","5640","195628"
"283","5660","197025"
"284","5680","198427"
"285","5700","199834"
"286","5720","201247"
"287","5740","202664"
"288","5760","204086"
"289","5780","205513"
"290","5800","206945"
"291","5820","208382"
"292","5840","209824"
"293","5860","211271"
"294","5880","212723"
"295","5900","214180"
"296","5920","215642"
"297","5940","217109"
"298","5960","218581"
"299","5980","220057"
"300","6000","221539"
"301","6020","223026"
"302","6040","224518"
"303","6060","226015"
"304","6080","227516"
"305","6100","229023"
"306","6120","230535"
"307","6140","232051"
"308","6160","233573"
"309","6180","235099"
"310","6200","236631"
"311","6220","238167"
"312","6240","239709"
"313","6260","241255"
"314","6280","242807"
"315","6300","244363"
"316","6320","245924"
"317","6340","247491"
"318","6360","249062"
"319","6380","250638"
"320","6400","252220"
"321","6420","253806"
"322","6440","255397"
"323","6460","256993"
"324","6480","258594"
"325","6500","260200"
"326","6520","261812"
"327","6540","263428"
"328","6560","265049"
"329","6580","266675"
"330","6600","268306"
"331","6620","269942"
"332","6640","271583"
"333","6660","273228"
"334","6680","274879"
"335","6700","276535"
"336","6720","278196"
"337","6740","279862"
"338","6760","281533"
"339","6780","283208"
"340","6800","284889"
"341","6820","286575"
"342","6840","288265"
"343","6860","289961"
"344","6880","291661"
"345","6900","293367"
"346","6920","295078"
"347","6940","296793"
"348","6960","298514"
"349","6980","300239"
"350","7000","301969"
"351","7020","303705"
"352","7040","305445"
"353","7060","307191"
"354","7080","308941"
"355","7100","310696"
"356","7120","312456"
"357","7140","314222"
"358","7160","315992"
"359","7180","317767"
"360","7200","319547"
"361","7220","321332"
"362","7240","323122"
"363","7260","324918"
"364","7280","326718"
"365","7300","328523"
"366","7320","330333"
"367","7340","332148"
"368","7360","333968"
"369","7380","335792"
"370","7400","337622"
"371","7420","339457"
"372","7440","341297"
"373","7460","343142"
"374","7480","344992"
"375","7500","346846"
"376","7520","348706"
"377","7540","350571"
"378","7560","352440"
"379","7580","354315"
"380","7600","356195"
"381","7620","358079"
"382","7640","359969"
"383","7660","361863"
