9ac840de0e77e61c19567a8b21c1ac7e2a24cfe373d12edb8d1d3688cf989682,917832104c5fb8a0b39edae8cec101e6d70e78bfd98a0192f942d34eedeb18d8,aad095146b75f181d0dff03ccc3e2d9d0eaab84ca1498bb8e4d6fdfc22ea48ef,fc8ebca6a33b722810f9fb37af39951a2c944a884326ac4bbe2687f1d99b34e0,d8ba98233d0d648b7c56d7adce642f3753702dd952a0c00b241a8efc1be75074,f6a644644a4227a91c877422a8568905c0b562413998348a3b8aea44f37fefb7,fa0c056071c7c653922b58bc3dd1cd8502b598f809de7fd4fab57ecf5a40e456,e36b32fd7f551da0803d028d8da400dc7a298229d56e2a458f204efa78c59fc4,aad77462acabf88817d83207b0eacbc8e31065a31c3331f31f94c0f22bcb28a1,bac95588e612e17b2d146bc0beac7b2ea00c8873f7223dccad3209cfc023a579,1f576b94fe6db45a6e97ed79fc76ef1e69966d41344595909afd21bde405e922,204646e40a569d65c23ed0a3a99eb14f70938dda53042e4ae4175b65a7fc4454
"1","92407120","924072101","90","924071100","924073101","92407110","1","92407","0","1","500000000"
"2","92407130","924072102","90","924071200","924073102","92407120","1","92407","92407110","2","1000000000"
"3","92407140","924072103","90","924071300","924073103","92407130","1","92407","92407120","3","1500000000"
"3","0","924072104","90","924071400","924073104","92407140","1","92407","92407130","4","0"
"1","92407220","924072201","90","924072100","924073201","92407210","1","92407","0","1","500000000"
"2","92407230","924072202","90","924072200","924073202","92407220","1","92407","92407210","2","1000000000"
"3","92407240","924072203","90","924072300","924073203","92407230","1","92407","92407220","3","1500000000"
"3","0","924072204","90","924072400","924073204","92407240","1","92407","92407230","4","0"
"1","92407320","924072301","90","924073100","924073301","92407310","1","92407","0","1","500000000"
"2","92407330","924072302","90","924073200","924073302","92407320","1","92407","92407310","2","1000000000"
"3","92407340","924072303","90","924073300","924073303","92407330","1","92407","92407320","3","1500000000"
"3","0","924072304","90","924073400","924073304","92407340","1","92407","92407330","4","0"
"1","92408120","924082101","90","924081100","924083101","92408110","1","92408","0","1","500000000"
"2","92408130","924082102","90","924081200","924083102","92408120","1","92408","92408110","2","1000000000"
"3","92408140","924082103","90","924081300","924083103","92408130","1","92408","92408120","3","1500000000"
"3","0","924082104","90","924081400","924083104","92408140","1","92408","92408130","4","0"
"1","92408220","924082201","90","924082100","924083201","92408210","1","92408","0","1","500000000"
"2","92408230","924082202","90","924082200","924083202","92408220","1","92408","92408210","2","1000000000"
"3","92408240","924082203","90","924082300","924083203","92408230","1","92408","92408220","3","1500000000"
"3","0","924082204","90","924082400","924083204","92408240","1","92408","92408230","4","0"
"1","92408320","924082301","90","924083100","924083301","92408310","1","92408","0","1","500000000"
"2","92408330","924082302","90","924083200","924083302","92408320","1","92408","92408310","2","1000000000"
"3","92408340","924082303","90","924083300","924083303","92408330","1","92408","92408320","3","1500000000"
"3","0","924082304","90","924083400","924083304","92408340","1","92408","92408330","4","0"
"1","92409120","924092101","90","924091100","924093101","92409110","1","92409","0","1","500000000"
"2","92409130","924092102","90","924091200","924093102","92409120","1","92409","92409110","2","1000000000"
"3","92409140","924092103","90","924091300","924093103","92409130","1","92409","92409120","3","1500000000"
"4","0","924092104","90","924091400","924093104","92409140","1","92409","92409130","4","0"
"1","92409220","924092201","90","924092100","924093201","92409210","1","92409","0","1","500000000"
"2","92409230","924092202","90","924092200","924093202","92409220","1","92409","92409210","2","1000000000"
"3","92409240","924092203","90","924092300","924093203","92409230","1","92409","92409220","3","1500000000"
"4","0","924092204","90","924092400","924093204","92409240","1","92409","92409230","4","0"
"1","92409320","924092301","90","924093100","924093301","92409310","1","92409","0","1","500000000"
"2","92409330","924092302","90","924093200","924093302","92409320","1","92409","92409310","2","1000000000"
"3","92409340","924092303","90","924093300","924093303","92409330","1","92409","92409320","3","1500000000"
"4","0","924092304","90","924093400","924093304","92409340","1","92409","92409330","4","0"
"1","92410120","924102101","90","924101100","924103101","92410110","1","92410","0","1","500000000"
"2","92410130","924102102","90","924101200","924103102","92410120","1","92410","92410110","2","1000000000"
"3","92410140","924102103","90","924101300","924103103","92410130","1","92410","92410120","3","1500000000"
"4","0","924102104","90","924101400","924103104","92410140","1","92410","92410130","4","0"
"1","92410220","924102201","90","924102100","924103201","92410210","1","92410","0","1","500000000"
"2","92410230","924102202","90","924102200","924103202","92410220","1","92410","92410210","2","1000000000"
"3","92410240","924102203","90","924102300","924103203","92410230","1","92410","92410220","3","1500000000"
"4","0","924102204","90","924102400","924103204","92410240","1","92410","92410230","4","0"
"1","92410320","924102301","90","924103100","924103301","92410310","1","92410","0","1","500000000"
"2","92410330","924102302","90","924103200","924103302","92410320","1","92410","92410310","2","1000000000"
"3","92410340","924102303","90","924103300","924103303","92410330","1","92410","92410320","3","1500000000"
"4","0","924102304","90","924103400","924103304","92410340","1","92410","92410330","4","0"
