dca8d877c8f208118e7a7350da4a2512cbc90b591751eb843ccd4dc2616e156d,3887efa59fd6bf884e84965b95b41a9871fec51118b4537a8bb59f72146217d3,aee233191bdedeff047030e921720b70a05142002d9076074fc94075b4ee747f,d33f5715be2b0af7810a5097c355550a61300b250339c8788c233b1df7882b47,26911870ab630813d5aff5a56e8dcaa79c46ea0137f2b5be0d5ec90ff69de0c0,690436b07993a67fc0c5b159c9d2a639c38faca508369a5a39d8857eececb56f,cf8e31c9a300cbac0dba05119b895abeb89880a4eb0b946b60f64943bbb1dca3,1e9613b1b33c66fc9c1f143bae7c299bacb758755974ec49b2ea523327904e06,663edf562fdde1ed533f37b6ccab6a2e11a6b848fc3949be985135d3e93b09c4,63a722897007df6bbc989537a7e570144496dd18936d060eb80ff0be8fa5b8c6,81ea617f96b343e3d51e04e6e95e3bca94639ff75a5ccdf463c2261c8fe3ef42,eb9627aecb76f00409d905d80886261d940c6bcf2b3481f15a6d5354dddeca28,8e948cb442114f38876eef32381a5b67ceba90e2f00bab3cd03485d4b1d91859,a87b792453224006731d4dfcb53eb79138ee92671c77104b2a5ac386eca6dc75
"2018/08/27 15:59:59","30","2000","2018/08/20 16:00:00","1","1","0","1","34","0","0","-1","103","0"
"2018/08/27 15:59:59","40","2000","2018/08/20 16:00:00","1","2","0","1","44","0","0","-1","103","0"
"2018/09/03 15:59:59","40","2000","2018/08/27 16:00:00","1","3","0","1","45","0","0","-1","104","0"
"2018/09/10 15:59:59","30","2000","2018/09/05 16:00:00","1","4","0","1","31","0","0","-1","101","0"
"2018/09/10 15:59:59","40","2000","2018/09/05 16:00:00","1","5","0","1","41","0","0","-1","101","0"
"2018/09/14 15:59:59","30","2000","2018/09/10 16:00:00","1","6","0","1","32","0","0","-1","102","0"
"2018/09/14 15:59:59","40","2000","2018/09/10 16:00:00","1","7","0","1","42","0","0","-1","102","0"
"2018/09/21 15:59:59","30","2000","2018/09/14 16:00:00","1","8","0","1","34","0","0","-1","103","0"
"2018/09/21 15:59:59","40","2000","2018/09/14 16:00:00","1","9","0","1","44","0","0","-1","103","0"
"2018/10/01 04:59:59","40","2000","2018/09/21 16:00:00","1","10","0","1","45","0","0","-1","104","0"
"2018/10/11 04:59:59","30","2000","2018/10/01 05:00:00","1","11","0","1","34","0","0","-1","103","0"
"2018/10/11 04:59:59","40","2000","2018/10/01 05:00:00","1","12","0","1","44","0","0","-1","103","0"
