0fd21f4291d9000d6063d39c76ac2ce00181c3ef1076107e576e39e6a0cce400,3a8ffc5761e99a02eee81e03ac5edb004cc689362821446a9d2b6d4e4bfc97ba,28692a52071d7f7668dcc3d7a0183aee4872e19eed6264356657fd04227af714,e59e2c9d9e36854214ac250934ee7af96ff177e303406de662f5915a4190fe9e,685d511901ac537db731457d653706f20aa0d9e97f815f9083eda028e9f38254,1cec97dc9bafd1c1c9d3592ba54213e38ca58a1207fd2a3cfe5ad9f0a93181ba,f69e8a9eff2e549c59cf90387e185581688f190254fe96dfb1bf92715514bf10
"10001","2","10001","60002","5","1","初音的禮物大作戰"
"10002","2","10002","60012","5","1","小小甜心大冒險"
"10004","2","10004","60032","5","1","危險的假期！海岸邊的美食家公主"
"10005","2","10005","60042","5","1","珠希和美冬的無人島０盧幣生活"
"10006","2","10006","60052","5","1","黑鐵的亡靈"
"10007","2","10007","60062","5","1","不給布丁就搗蛋！約定的萬聖節派對"
"10008","2","10008","60072","5","1","暮光破壞者"
"10009","2","10009","60082","5","1","忘却的頌歌"
"10010","2","10010","60092","5","1","新春破曉之星大危機！"
"10011","2","10011","60102","5","1","情人節之戰！ 正中紅心的甜蜜戰鬥"
"10012","2","10012","60112","5","1","王都的名偵探　嘆息的追緝者"
"10013","2","10013","60122","5","1","在阿斯特朗盛開的雙輪之花"
"10014","2","10014","60132","5","1","復刻初音的禮物大作戰"
"10015","2","10015","60142","5","1","將軍道中記　白翼的武士"
"10016","2","10016","60152","5","1","復刻小小甜心大冒險"
"10017","2","10017","60162","5","1","Re:從零開始聚集的異世界餐桌"
"10018","2","10018","60172","5","1","復刻吸血鬼獵人 with伊莉亞"
"10019","2","10019","60182","5","1","鈴奈的彩虹舞臺！"
"10020","2","10020","60192","5","1","復刻危險的假期！海岸邊的美食家公主"
"10021","2","10021","60202","5","1","盛夏的真步真步王國 浪花拍岸的靈魂之夏！"
"10022","2","10022","60212","5","1","珠希和美冬的無人島０盧幣生活"
"10023","2","10023","60222","5","1","森林的膽小鬼與神聖學院的問題兒童"
"10024","2","10024","60232","5","1","黑鐵的亡靈"
"10025","2","10025","60242","5","1","小小勇敢的萬聖節之夜！"
"10026","2","10026","60252","5","1","不給布丁就搗蛋！約定的萬聖節派對"
"10027","2","10027","60262","5","1","龍的探索者們"
"10028","2","10028","60272","5","1","暮光破壞者"
"10029","2","10029","60282","5","1","禮物大恐慌！蘭德索爾的聖誕老人們"
"10030","2","10030","60292","5","1","忘却的頌歌"
"10031","2","10031","60302","5","1","狂奔！　蘭德索爾的公會競速賽"
"10032","2","10032","60312","5","1","新春破曉之星大危機！"
"10033","2","10033","60322","5","1","魔法少女　兩人是Misty&Purely"
"10034","2","10034","60332","5","1","情人節之戰！ 正中紅心的甜蜜戰鬥"
"10035","2","10035","60342","5","1","星光公主　Re:M@STER！"
"10036","2","10036","60342","5","1","星光公主　Re:M@STER！"
"10037","2","10037","60362","5","1","王都的名偵探　嘆息的追緝者"
"10038","2","10038","60372","5","1","恩賜的財團與神聖學院的問題兒童"
"10039","2","10039","60382","5","1","在阿斯特朗盛開的雙輪之花"
"10040","2","10040","60392","5","1","牧場的四農士　貧窮農場奮鬥記"
"10041","2","10041","60402","5","1","將軍道中記　白翼的武士"
"10042","2","10042","60412","5","1","不可思議之國的璃乃 小小愛麗絲與希望的繪本"
"10043","2","10043","60422","5","1","鈴奈的彩虹舞臺！"
"10044","2","10044","60432","5","1","七夕劍客旅情譚 天際川流夏之戀"
"10045","2","10045","60442","5","1","盛夏的真步真步王國 浪花拍岸的靈魂之夏！"
"10046","2","10046","60452","5","1","美里的夏日聲援！　追夢的盛夏棒球隊"
"10047","2","10047","60462","5","1","森林的膽小鬼與神聖學院的問題兒童"
"10048","2","10048","60472","5","1","Happy・Change・Angels"
"10049","2","10049","60482","5","1","小小勇敢的萬聖節之夜！"
"10050","2","10050","60492","5","1","迴響！尖叫！萬聖鬼怪狂歡節"
"10051","2","10051","60502","5","1","龍的探索者們"
"10052","2","10052","60512","5","1","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！"
"10053","2","10053","60522","5","1","Re:從零開始聚集的異世界餐桌"
"10054","2","10054","60532","6","1","名媛初登夢想秘境　聖誕夜的戀愛遊戲"
"10055","2","10055","60542","5","1","禮物大恐慌！蘭德索爾的聖誕老人們"
"10056","2","10056","60552","6","1","新春美食公主！　賭上關鍵一擲的少女們"
"10057","2","10057","60562","5","1","狂奔！　蘭德索爾的公會競速賽"
"10058","2","10058","60572","6","1","羈絆相連。心相繫。"
"10059","2","10059","60572","6","1","羈絆相連。心相繫。"
"10060","2","10060","60592","5","1","魔法少女　兩人是Misty&Purely"
"10061","2","10061","60602","6","1","灰姑娘課程　璀璨的日子有著蘋果的滋味"
"10062","2","10062","60612","5","1","星光公主　Re:M@STER！"
"10063","2","10063","60612","5","1","星光公主　Re:M@STER！"
"10064","2","10064","60632","6","1","鋼鐵聖女與神聖學院的問題兒童"
"10065","2","10065","60642","5","1","恩賜的財團與神聖學院的問題兒童"
"10066","2","10066","60652","6","1","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族"
"10067","2","10067","60662","5","1","牧場的四農士　貧窮農場奮鬥記"
"10068","2","10068","60672","6","1","心電感應！碧與玩具朋友們"
"10069","2","10069","60682","5","1","不可思議之國的璃乃 小小愛麗絲與希望的繪本"
"10070","2","10070","60692","6","1","永不完結的夏日計畫　盛夏的雙人獨佔樂園"
"10071","2","10071","60702","5","1","七夕劍客旅情譚 天際川流夏之戀"
"10072","2","10072","60712","6","1","慈樂之音的夏日演唱會　Just a Moment！ "
"10073","2","10073","60722","5","1","美里的夏日聲援！　追夢的盛夏棒球隊"
"10074","2","10074","60732","6","1","大江戶的非法病歷　Dr.深月的診療室"
"10075","2","10075","60742","5","1","Happy・Change・Angels"
"10076","2","10076","60752","6","1","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰"
"10077","2","10077","60762","5","1","迴響！尖叫！萬聖鬼怪狂歡節"
"10078","2","10078","60772","6","1","魔法少女外傳　黑暗魔法★三人組！"
"10079","2","10079","60782","5","1","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！"
"10080","2","10080","60792","6","1","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心"
"10081","2","10081","60802","6","1","名媛初登夢想秘境　聖誕夜的戀愛遊戲"
"10082","2","10082","60812","6","1","新春美食回憶　雪菲的跑腿大作戰！"
"10083","2","10083","60822","6","1","新春美食公主！　賭上關鍵一擲的少女們"
"10084","2","10084","60832","6","1","Re:member　我的心願編織出的未來"
"10085","2","10085","60842","6","1","Re:member　我的心願編織出的未來"
"10086","2","10086","60852","6","1","羈絆相連。心相繫。"
"10087","2","10087","60852","6","1","羈絆相連。心相繫。"
"10088","2","10088","60872","6","1","Sweet Tiny Stage！　初出茅廬的女演員與小小淑女"
"10089","2","10089","60882","6","1","灰姑娘課程　璀璨的日子有著蘋果的滋味"
"10090","2","10090","60892","6","1","交出寶物！透明怪盜雙人組"
"10091","2","10091","60902","6","1","鋼鐵聖女與神聖學院的問題兒童"
"10092","2","10092","60912","6","1"," Episode of Pirate　海盜島上被詛咒的遺寶"
"10093","2","10093","60922","6","1","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族"
"10094","2","10094","60932","6","1","Enjoy＆Refresh！　天差地遠的女孩露營"
"10095","2","10095","60942","6","1","心電感應！碧與玩具朋友們"
"10096","2","10096","60952","6","1","破曉之星的夏日遊戲　\n於夏海閃耀的三份心意"
"10097","2","10097","60962","6","1","永不完結的夏日計畫　盛夏的雙人獨佔樂園"
"10098","2","10098","60972","6","1","小小夏日回憶錄　在海邊發現的小小幸福"
"10099","2","10099","60982","6","1","慈樂之音的夏日演唱會　Just a Moment！ "
"10100","2","10100","60992","6","1","真步真步的神奇旅程！　旅行的少女與邊境的大樹"
"10101","2","10101","61002","6","1","大江戶的非法病歷　Dr.深月的診療室"
"10102","2","10102","61012","6","1","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務"
"10103","2","10103","61022","6","1","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰"
"10104","2","10104","61032","6","1","部族精神　高揭之劍與榮耀和平之橋"
"10105","2","10105","61042","6","1","魔法少女外傳　黑暗魔法★三人組！"
"10106","2","10106","61052","6","1","Happy Happening　幸福的雙子天使與聖誕夜的禮物"
"10107","2","10107","61062","6","1","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心"
"10108","2","10108","61072","6","1","煙霧繚繞忘年奇譚　為旭日初升舉杯"
"10109","2","10109","61082","6","1","新春美食回憶　雪菲的跑腿大作戰！"
"10110","2","10110","61092","6","1","解放自由的伊甸園　有朝一日重逢的未來"
"10111","2","10111","61102","6","1","解放自由的伊甸園　有朝一日重逢的未來"
"10112","2","10112","61112","6","1","Re:member　我的心願編織出的未來"
"10113","2","10113","61122","6","1","Re:member　我的心願編織出的未來"
"10114","2","10114","61132","6","1","貓與懷舊點心的咖啡廳 歡迎光臨Café Naschkatze"
"10115","2","10115","61142","6","1","Sweet Tiny Stage！　初出茅廬的女演員與小小淑女"
"10116","2","10116","61152","6","1","Dears　歡迎回家與我回來了的約定"
"10117","2","10117","61162","6","1","交出寶物！透明怪盜雙人組"
"10118","2","10118","61172","6","1","Connect‧With‧Blue　直至少女前往天際"
"10119","2","10119","61182","6","1"," Episode of Pirate　海盜島上被詛咒的遺寶"
"10120","2","10120","61192","6","1","吸血鬼傳聞錄　黑夜與美麗的饗宴"
"10121","2","10121","61202","6","1","Enjoy＆Refresh！　天差地遠的女孩露營"
"10122","2","10122","61212","6","1","大間的排光海水大作戰　祕密主義者與禁斷之海"
"10123","2","10123","61222","6","1","破曉之星的夏日遊戲　\n於夏海閃耀的三份心意"
"10124","2","10124","61232","6","1","戰慄幽奇海岸　～夏日度假村驚悚怪談～"
"10125","2","10125","61242","6","1","小小夏日回憶錄　在海邊發現的小小幸福"
"10126","2","10126","61252","6","1","魔法師的青春時日　魔法學園與奇蹟之鐘"
"10127","2","10127","61262","6","1","真步真步的神奇旅程！　旅行的少女與邊境的大樹"
"10128","2","10128","61272","6","1","浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～"
"10129","2","10129","61282","6","1","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務"
"10130","2","10130","61292","6","1","Criminal Rookie　天使們的悖論"
"10131","2","10131","61302","6","1","部族精神　高揭之劍與榮耀和平之橋"
"10132","2","10132","61312","6","1","聖誕哭泣寶貝　為誰存在的幸福之日"
"10133","2","10133","61322","6","1","Happy Happening　幸福的雙子天使與聖誕夜的禮物"
"10134","2","10134","61332","6","1","迎春夢想家們！　新年隕石碎碎平安！？"
"10135","2","10135","61342","6","1","煙霧繚繞忘年奇譚　為旭日初升舉杯"
"10136","2","10136","61352","6","1","I Wish　緊握的這雙手"
"10137","2","10137","61362","6","1","I Wish　緊握的這雙手"
