94ba67ab91321fc4c2a886dd41df41875a15c0efc78b1f9f8300a8d44cd7d3fc,b914a2c21e69f853d4bc5de4bccd256d834b2c77885c0e9f86d383501aacf18d,f1b1e4c5e5b7bcc79f03ab62f68c7c38624abff0df27a8edf06bfd59d74f8f68,e89e24c07000e1f2bddf61cd22578e6c1568fcb353213187c289ceee37c22ecc,71cc9bc80dd60b3365112848b3d2ebd61e7a3a99816c4a0100b32d497d4daa25,caea7d87cd165d49cb60e04d8ec27e7ebfdf13d0cae3defad72bfacc3152cf96
"0","2000101","2000102","20001","20001201","20001115"
"2000101","2000102","2000103","20001","0","0"
"2000102","2000103","0","20001","0","0"
"0","2000201","2000202","20002","20002201","20002115"
"2000201","2000202","2000203","20002","0","0"
"2000202","2000203","0","20002","0","0"
"0","2000301","2000302","20003","20003201","20003115"
"2000301","2000302","2000303","20003","0","0"
"2000302","2000303","0","20003","0","0"
"0","2000401","2000402","20004","20004201","20004115"
"2000401","2000402","2000403","20004","0","0"
"2000402","2000403","0","20004","0","0"
"0","2000501","2000502","20005","20005201","20005115"
"2000501","2000502","2000503","20005","0","0"
"2000502","2000503","0","20005","0","0"
"0","2000601","2000602","20006","20006201","20006115"
"2000601","2000602","2000603","20006","0","0"
"2000602","2000603","0","20006","0","0"
"0","2000701","2000702","20007","20007201","20007115"
"2000701","2000702","2000703","20007","0","0"
"2000702","2000703","0","20007","0","0"
"0","2000801","2000802","20008","20008201","20008115"
"2000801","2000802","2000803","20008","0","0"
"2000802","2000803","0","20008","0","0"
"0","2000901","2000902","20009","20009201","20009115"
"2000901","2000902","2000903","20009","0","0"
"2000902","2000903","0","20009","0","0"
"0","2001001","2001002","20010","20010201","20010115"
"2001001","2001002","2001003","20010","0","0"
"2001002","2001003","0","20010","0","0"
"0","2001101","2001102","20011","20011201","20011115"
"2001101","2001102","2001103","20011","0","0"
"2001102","2001103","0","20011","0","0"
"0","2001201","2001202","20012","20012201","20012115"
"2001201","2001202","2001203","20012","0","0"
"2001202","2001203","0","20012","0","0"
"0","2001301","2001302","20013","20013201","20013115"
"2001301","2001302","2001303","20013","0","0"
"2001302","2001303","0","20013","0","0"
"0","2001401","2001402","20014","20014201","20014115"
"2001401","2001402","2001403","20014","0","0"
"2001402","2001403","0","20014","0","0"
"0","2001501","2001502","20015","20015201","20015115"
"2001501","2001502","2001503","20015","0","0"
"2001502","2001503","0","20015","0","0"
"0","2001601","2001602","20016","20016201","20016115"
"2001601","2001602","2001603","20016","0","0"
"2001602","2001603","0","20016","0","0"
"0","2001701","2001702","20017","20017201","20017115"
"2001701","2001702","2001703","20017","0","0"
"2001702","2001703","0","20017","0","0"
"0","2001801","2001802","20018","20018201","20018115"
"2001801","2001802","2001803","20018","0","0"
"2001802","2001803","0","20018","0","0"
"0","2001901","2001902","20019","20019201","20019115"
"2001901","2001902","2001903","20019","0","0"
"2001902","2001903","0","20019","0","0"
"0","2002001","2002002","20020","20020201","20020115"
"2002001","2002002","2002003","20020","0","0"
"2002002","2002003","0","20020","0","0"
"0","2002101","2002102","20021","20021201","20021115"
"2002101","2002102","2002103","20021","0","0"
"2002102","2002103","0","20021","0","0"
"0","2002201","2002202","20022","20022201","20022115"
"2002201","2002202","2002203","20022","0","0"
"2002202","2002203","0","20022","0","0"
"0","2002301","2002302","20023","20023201","20023115"
"2002301","2002302","2002303","20023","0","0"
"2002302","2002303","0","20023","0","0"
"0","2002401","2002402","20024","20024201","20024115"
"2002401","2002402","2002403","20024","0","0"
"2002402","2002403","0","20024","0","0"
"0","2002501","2002502","20025","20025201","20025115"
"2002501","2002502","2002503","20025","0","0"
"2002502","2002503","0","20025","0","0"
"0","2002601","2002602","20026","20026201","20026115"
"2002601","2002602","2002603","20026","0","0"
"2002602","2002603","0","20026","0","0"
"0","2002701","2002702","20027","20027201","20027115"
"2002701","2002702","2002703","20027","0","0"
"2002702","2002703","0","20027","0","0"
"0","2002801","2002802","20028","20028201","20028115"
"2002801","2002802","2002803","20028","0","0"
"2002802","2002803","0","20028","0","0"
"0","2002901","2002902","20029","20029201","20029115"
"2002901","2002902","2002903","20029","0","0"
"2002902","2002903","0","20029","0","0"
"0","2003001","2003002","20030","20030201","20030115"
"2003001","2003002","2003003","20030","0","0"
"2003002","2003003","0","20030","0","0"
"0","2003101","2003102","20031","20031201","20031115"
"2003101","2003102","2003103","20031","0","0"
"2003102","2003103","0","20031","0","0"
"0","2003201","2003202","20032","20032201","20032115"
"2003201","2003202","2003203","20032","0","0"
"2003202","2003203","0","20032","0","0"
"0","2003301","2003302","20033","20033201","20033115"
"2003301","2003302","2003303","20033","0","0"
"2003302","2003303","0","20033","0","0"
"0","2003401","2003402","20034","20034201","20034115"
"2003401","2003402","2003403","20034","0","0"
"2003402","2003403","0","20034","0","0"
"0","2003501","2003502","20035","20035201","20035115"
"2003501","2003502","2003503","20035","0","0"
"2003502","2003503","0","20035","0","0"
"0","2003601","2003602","20036","20036201","20036115"
"2003601","2003602","2003603","20036","0","0"
"2003602","2003603","0","20036","0","0"
"0","2003701","2003702","20037","20037201","20037115"
"2003701","2003702","2003703","20037","0","0"
"2003702","2003703","0","20037","0","0"
"0","2003801","2003802","20038","20038201","20038115"
"2003801","2003802","2003803","20038","0","0"
"2003802","2003803","0","20038","0","0"
"0","2003901","2003902","20039","20039201","20039115"
"2003901","2003902","2003903","20039","0","0"
"2003902","2003903","0","20039","0","0"
"0","2004001","2004002","20040","20040201","20040115"
"2004001","2004002","2004003","20040","0","0"
"2004002","2004003","0","20040","0","0"
"0","2004101","2004102","20041","20041201","20041115"
"2004101","2004102","2004103","20041","0","0"
"2004102","2004103","0","20041","0","0"
"0","2004201","2004202","20042","20042201","20042115"
"2004201","2004202","2004203","20042","0","0"
"2004202","2004203","0","20042","0","0"
"0","2004301","2004302","20043","20043201","20043115"
"2004301","2004302","2004303","20043","0","0"
"2004302","2004303","0","20043","0","0"
"0","2004401","2004402","20044","20044201","20044115"
"2004401","2004402","2004403","20044","0","0"
"2004402","2004403","0","20044","0","0"
"0","2004501","2004502","20045","20045201","20045115"
"2004501","2004502","2004503","20045","0","0"
"2004502","2004503","0","20045","0","0"
"0","2004601","2004602","20046","20046201","20046115"
"2004601","2004602","2004603","20046","0","0"
"2004602","2004603","0","20046","0","0"
"0","2004701","2004702","20047","20047201","20047115"
"2004701","2004702","2004703","20047","0","0"
"2004702","2004703","0","20047","0","0"
"0","2004801","2004802","20048","20048201","20048115"
"2004801","2004802","2004803","20048","0","0"
"2004802","2004803","0","20048","0","0"
"0","2004901","2004902","20049","20049201","20049115"
"2004901","2004902","2004903","20049","0","0"
"2004902","2004903","2004904","20049","0","0"
"0","2005001","2005002","20050","20050201","20050115"
"2005001","2005002","2005003","20050","0","0"
"2005002","2005003","0","20050","0","0"
"0","2005101","2005102","20051","20051201","20051115"
"2005101","2005102","2005103","20051","0","0"
"2005102","2005103","0","20051","0","0"
"0","2005201","2005202","20052","20052201","20052115"
"2005201","2005202","2005203","20052","0","0"
"2005202","2005203","0","20052","0","0"
"0","2005301","2005302","20053","20053201","20053115"
"2005301","2005302","2005303","20053","0","0"
"2005302","2005303","0","20053","0","0"
"0","2005401","2005402","20054","20054201","20054115"
"2005401","2005402","2005403","20054","0","0"
"2005402","2005403","0","20054","0","0"
"0","2005501","2005502","20055","20055201","20055115"
"2005501","2005502","2005503","20055","0","0"
"2005502","2005503","0","20055","0","0"
"0","2005601","2005602","20056","20056201","20056115"
"2005601","2005602","2005603","20056","0","0"
"2005602","2005603","0","20056","0","0"
"0","2005701","2005702","20057","20057201","20057115"
"2005701","2005702","2005703","20057","0","0"
"2005702","2005703","0","20057","0","0"
"0","2005801","2005802","20058","20058201","20058115"
"2005801","2005802","2005803","20058","0","0"
"2005802","2005803","0","20058","0","0"
"0","2005901","2005902","20059","20059201","20059115"
"2005901","2005902","2005903","20059","0","0"
"2005902","2005903","0","20059","0","0"
"0","2006001","2006002","20060","20060201","20060115"
"2006001","2006002","2006003","20060","0","0"
"2006002","2006003","0","20060","0","0"
