11a38c926665069c1b3162c5747556d8a3bcac2e4974acca9ffdca6e390014e1,0df67986bce4d99349e29478bc2d2d06186bdbb79395827e7f7a698a26b7141a,a8df1b9288b2da97faa83ce1535762f91c43e7e1246c46b3ee665e53b6cf233d,8b84b149c09c72c4d858dc54478dc280dade9253916630b2680f4541d3fcaf10,4e6b097f3521674db1f7b58baf3c3453706a8a90d17f43d09df16095f7ca9ba4,baa3fd070365875dd375fa7fa8decbf7f90ec08eef2e5e1c1e3bad778bd55f9c,39071725288a9bd08218a22ce9d05b72c938e00616b26480c5926fa0fe5088aa,a03c094e3c9942590617366b6e7d5f94e4c19110f16784755fc9d5bf68189c5e
"10050650","10050640","30050237","0","0","3000","0","30050236"
"10050670","10050659","30050414","0","0","3000","0","30050413"
"10050735","10050723","30050422","0","30050423","3000","0","30050421"
"10050360","10050818","30050425","0","30050426","3000","0","30050424"
"10060413","10060402","30060188","0","30060189","3000","30060190","30060187"
"10060492","10060480","30060192","0","30060193","3000","0","30060191"
"10060545","10060542","30060195","0","30060196","3000","30060197","30060194"
"10060606","10060591","30060209","30060212","30060210","3000","30060211","30060208"
"10070626","10070608","30070187","0","30070188","3000","30070189","30070186"
"10070926","10070914","30070199","30070202","30070200","3000","30070201","30070198"
"10071052","10071038","30070207","30070210","30070208","3000","30070209","30070206"
"10071131","10071117","30070194","0","30070195","3000","30070196","30070193"
"10080650","10080640","30080237","0","0","3000","0","30080236"
"10080670","10080659","30080414","0","0","3000","0","30080413"
"10080735","10080723","30080422","0","30080423","3000","0","30080421"
"10080360","10080818","30080425","0","30080426","3000","0","30080424"
"10090413","10090402","30090188","0","30090189","3000","30090190","30090187"
"10090492","10090480","30090192","0","30090193","3000","0","30090191"
"10090545","10090542","30090195","0","30090196","3000","30090197","30090194"
"10090606","10090591","30090209","30090212","30090210","3000","30090211","30090208"
"10100626","10100608","30100187","0","30100188","3000","30100189","30100186"
"10100926","10100914","30100199","30100202","30100200","3000","30100201","30100198"
"10101052","10101038","30100207","30100210","30100208","3000","30100209","30100206"
"10101131","10101117","30100194","0","30100195","3000","30100196","30100193"
"10110650","10110640","30110237","0","0","3000","0","30110236"
"10110670","10110659","30110414","0","0","3000","0","30110413"
"10110735","10110723","30110422","0","30110423","3000","0","30110421"
"10110360","10110818","30110425","0","30110426","3000","0","30110424"
"10120413","10120402","30120188","0","30120189","3000","30120190","30120187"
"10120492","10120480","30120192","0","30120193","3000","0","30120191"
"10120545","10120542","30120195","0","30120196","3000","30120197","30120194"
"10120606","10120591","30120209","30120212","30120210","3000","30120211","30120208"
