7471406d83a2abbca0d91a3f95df8c9caf7beb07991c52342ffccb3c4d747e41,6f7559d4796d0db59442cee14b7dd10d56d3396ab09ba07c623a2670c2c59cab,246d6119e1921984152c0a215a4672a5fac2f13d55a0f06ed7dfb1591282a770,5d70cfc343d5167d0e490b4fbb2c60a46a5832abaad6e623336c56027d8d5a45
"HP","10000","1","1"
"物理攻擊力","10000","2","1"
"物理防禦力","10000","3","1"
"魔法攻擊力","10000","4","1"
"魔法防禦力","10000","5","1"
"物理暴擊率","10000","6","1"
"魔法暴擊率","10000","7","1"
"迴避率","1","8","0"
"HP吸收","1","9","0"
"HP自動恢復","1","10","0"
"TP自動恢復","1","11","0"
"物理貫通傷害","1","12","0"
"魔法貫通傷害","1","13","0"
"TP上升","1","14","0"
"回復量上升","1","15","0"
"TP消耗減輕","1","16","0"
"命中","1","17","0"
"物理暴擊傷害","100","100","1"
"魔法暴擊傷害","100","101","1"
"物理造成的傷害","100","102","1"
"魔法造成的傷害","100","103","1"
"屬性獎勵","10000","104","1"
