8d0803f3465f82d9d74db51d3d97ab3f10906cff0e862d83b1751c3e337bb4e1,8135f366f9672af977f18b4ac7da834460fe7ce6e165996807e2f0df13dce144,8adb4c81c0632d8aa3fcdc37ec9dbf4b70ffbad8e5de59a77f896e18023e1c0c,c636165243efe2d2c032156de98d1cdfcc460d1339e1be6a705b2869e96aa885,438f05d5f23909830f17ad0e63204eacdc6cfccacf3a85208c328951fa744ee3,f0260f7989e86ddee7901c681a1afe6bec7e152d0c2b5509afd1cc7dccfc6468,5d01fa80af2eab4d435fb9e688dba440ffe6cc601c53de9c45041e9ae1be74fd,c5c9d9b7f7eb9b2016625888ff0ee8bba002f368c06cad0d9a8b88e82047eea4,ea4643f8ae45cdf87323b9bd5b1c787a516c7058d699d8cd83f6bdc78153a814,f89ad5d1c5d104888147b8b6c4b628342698b21a6a4a952a02e0f07b2d4811d6,a291064b863ffa1daac22faaa46dd47713f906bb2b118e9f145e130a2f2a978e,9b23f7e92005f84732b47ba78716ef0d018c6a1c22f7e3c34adb9e2c618e43f4,9f5c6fb0df2073b097f5dd77365c0fefe6e7e15b93b9650ed54dae279684ebdd,102a05fbcbf286a8e94517374bf63d46e840f235cbf27a238ca48467606c1d7d,4308f547e8686225f584e1ffb08c09703ed2314d7bf5dc3d65db86e77fe20b8b,b78bb6b176ab19579adf04dc117387c1a1ba2d22f6413c1820cd5b9a3eb270bd
"101","105","0","103","10016","0","1","102","0","5","1","0","0","1","1","104"
"201","205","1","203","10021","0","2","202","0","2","2","0","0","1","2","204"
"301","305","1","303","10053","0","3","302","0","5","5","0","0","1","2","304"
"401","405","1","403","10044","0","4","402","0","8","4","0","0","1","2","404"
"501","505","2","503","10042","0","5","502","0","2","4","0","0","1","3","504"
"601","605","3","603","10024","0","6","602","0","5","2","0","0","1","3","604"
"701","705","4","703","10015","0","7","702","0","8","1","0","0","1","3","704"
"801","0","5","0","11012","0","8","0","0","2","101","0","0","1","4","0"
"901","905","6","903","10023","0","9","902","0","5","2","0","0","1","4","904"
"1001","0","7","0","11011","0","10","0","0","8","101","0","0","1","4","0"
"1101","1105","8","1103","10052","0","11","1102","0","2","5","0","0","1","5","1104"
"1201","1205","9","1203","10045","0","12","1202","0","5","4","0","0","1","5","1204"
"1301","1305","10","1303","10021","0","13","1302","0","8","2","0","0","1","5","1304"
"1401","1405","11","1403","10013","0","14","1402","0","2","1","0","0","1","6","1404"
"1501","1505","12","1503","10054","0","15","1502","0","5","5","0","0","1","6","1504"
"1601","0","13","0","11015","0","16","0","0","8","101","0","0","1","6","0"
"1701","0","14","0","11002","0","17","0","0","2","100","0","0","1","7","0"
"1801","1805","15","1803","10043","0","18","1802","0","5","4","0","0","1","7","1804"
"1901","1905","16","1903","10034","0","19","1902","0","8","3","0","16","1","7","1904"
"2001","2005","17","2003","10041","0","20","2002","0","2","4","0","0","1","8","2004"
"2101","0","18","0","11003","0","21","0","0","5","100","0","0","1","8","0"
"2201","2205","19","2203","10025","0","22","2202","0","8","2","0","0","1","8","2204"
"2301","2305","20","2303","10011","0","23","2302","0","2","1","0","0","1","9","2304"
"2401","2405","21","2403","10022","0","24","2402","0","5","2","0","0","1","9","2404"
"2501","2505","22","2503","10045","0","25","2502","0","8","4","0","0","1","9","2504"
"2601","0","23","2603","11006","25","26","2602","0","5","100","0","24","1","10","0"
"2701","2705","26","2703","10031","0","27","2702","0","2","3","0","0","1","11","2704"
"2801","2805","26","2803","10044","0","28","2802","0","5","4","0","0","1","11","2804"
"2901","2905","26","2903","10075","0","29","2902","0","8","7","0","0","1","11","2904"
"3001","3005","27","3003","10032","0","30","3002","0","2","3","0","0","1","12","3004"
"3101","3105","28","3103","10013","0","31","3102","0","5","1","0","0","1","12","3104"
"3201","3205","29","3203","10044","0","32","3202","0","8","4","0","0","1","12","3204"
"3301","3305","30","3303","10041","0","33","3302","0","2","4","0","0","1","13","3304"
"3401","3405","31","3403","10022","0","34","3402","0","5","2","0","0","1","13","3404"
"3501","3505","32","3503","10053","0","35","3502","0","8","5","0","0","1","13","3504"
"3601","3605","33","3603","10024","0","36","3602","0","2","2","0","0","1","14","3604"
"3701","3705","34","3703","10045","0","37","3702","0","5","4","0","0","1","14","3704"
"3801","3805","35","3803","10012","0","38","3802","0","8","1","0","0","1","14","3804"
"3901","3905","36","3903","10043","0","39","3902","0","2","4","0","0","1","15","3904"
"4001","4005","37","4003","10035","0","40","4002","0","5","3","0","0","1","15","4004"
"4101","4105","38","4103","10072","0","41","4102","0","8","7","0","0","1","15","4104"
"4201","4205","39","4203","10021","0","42","4202","0","2","2","0","0","1","16","4204"
"4301","4305","40","4303","10034","0","43","4302","0","5","3","0","0","1","16","4304"
"4401","4405","41","4403","10015","0","44","4402","0","8","1","0","0","1","16","4404"
"4501","4505","42","4503","10022","0","45","4502","0","2","2","0","0","1","17","4504"
"4601","4605","43","4603","10023","0","46","4602","0","5","2","0","0","1","17","4604"
"4701","4705","44","4703","10074","0","47","4702","0","8","7","0","0","1","17","4704"
"4801","4805","45","4803","10031","0","48","4802","0","2","3","0","0","1","18","4804"
"4901","4905","46","4903","10052","0","49","4902","0","5","5","0","0","1","18","4904"
"5001","5005","47","5003","10025","0","50","5002","0","8","2","0","0","1","18","5004"
"5101","5105","48","5103","10041","0","51","5102","0","2","4","0","0","1","19","5104"
"5201","5205","49","5203","10033","0","52","5202","0","5","3","0","0","1","19","5204"
"5301","5305","50","5303","10074","0","53","5302","0","8","7","0","0","1","19","5304"
"5401","0","51","5403","11016","53","54","5402","0","5","101","0","52","1","20","0"
"5501","5505","54","5503","10041","0","55","5502","0","2","4","0","0","1","21","5504"
"5601","0","54","0","11002","0","56","5602","0","5","100","0","0","1","21","0"
"5701","5705","54","5703","10065","0","57","5702","0","8","6","0","0","1","21","5704"
"5801","5805","55","5803","10022","0","58","5802","0","2","2","0","0","1","22","5804"
"5901","5905","56","5903","10013","0","59","5902","0","5","1","0","0","1","22","5904"
"6001","0","57","0","11015","0","60","6002","0","8","101","0","0","1","22","0"
"6101","6105","58","6103","10021","0","61","6102","0","2","2","0","0","1","23","6104"
"6201","6205","59","6203","10032","0","62","6202","0","5","3","0","0","1","23","6204"
"6301","6305","60","6303","10023","0","63","6302","0","8","2","0","0","1","23","6304"
"6401","6405","61","6403","10024","0","64","6402","0","2","2","0","0","1","24","6404"
"6501","6505","62","6503","10071","0","65","6502","0","5","7","0","0","1","24","6504"
"6601","0","63","0","11004","0","66","0","0","8","100","0","0","1","24","0"
"6701","6705","64","6703","10055","0","67","6702","0","2","5","0","0","1","25","6704"
"6801","6805","65","6803","10051","0","68","6802","0","5","5","0","0","1","25","6804"
"6901","6905","66","6903","10042","0","69","6902","0","8","4","0","0","1","25","6904"
"7001","7005","67","7003","10064","0","70","7002","0","2","6","0","0","1","26","7004"
"7101","7105","68","7103","10061","0","71","7102","0","5","6","0","0","1","26","7104"
"7201","0","69","0","11013","0","72","0","0","8","101","0","0","1","26","0"
"7301","7305","70","7303","10033","0","73","7302","0","2","3","0","0","1","27","7304"
"7401","7405","71","7403","10014","0","74","7402","0","5","1","0","0","1","27","7404"
"7501","7505","72","7503","10052","0","75","7502","0","8","5","0","0","1","27","7504"
"7601","7605","73","7603","10044","0","76","7602","0","2","4","0","0","1","28","7604"
"7701","0","74","0","11005","0","77","0","0","5","100","0","0","1","28","0"
"7801","0","75","0","11011","0","78","7802","0","8","101","0","0","1","28","0"
"7901","7905","76","7903","10034","0","79","7902","0","2","3","0","0","1","29","7904"
"8001","8005","77","8003","10073","0","80","8002","0","5","7","0","0","1","29","8004"
"8101","8105","78","8103","10035","0","81","8102","0","8","3","0","0","1","29","8104"
"8201","8205","79","8203","10066","81","82","8202","0","5","6","0","80","1","30","8204"
"8301","8305","82","8303","10062","0","83","8302","0","2","6","0","0","1","31","8304"
"8401","8405","82","8403","10014","0","84","8402","0","5","1","0","0","1","31","8404"
"8501","8505","82","8503","10021","0","85","8502","0","8","2","0","0","1","31","8504"
"8601","8605","83","8603","10053","0","86","8602","0","2","5","0","0","1","32","8604"
"8701","8705","84","8703","10011","0","87","8702","0","5","1","0","0","1","32","8704"
"8801","8805","85","8803","10072","0","88","8802","0","8","7","0","0","1","32","8804"
"8901","8905","86","8903","10045","0","89","8902","0","2","4","0","0","1","33","8904"
"9001","9005","87","9003","10042","0","90","9002","0","5","4","0","0","1","33","9004"
