a1b113de3b1f24fa6d7374c9f4e3e97152eeed6cf712bd4b96a9ff22e292af9c,515edb19c174f673aa4b34f3fc1adbdd41bca7ed282994c2daa7611ddf4c75f1,e90bf4509d901cd144119d488f01d8359486f62744af363e9332e50ac22374ba,8d2d3f6c3df4c0c7952192bc8f73f1d2266a23202a424271bf57ae86ba573463,9a0adad6efda7fb74c376905418802739aa5739a886bfbd64fb60284883dcd61,819207483dcf2d0816f9b9e81615a033596865175c9a9ecbfc1e0fbaed443196,b76ea043dd2cc3388f867c5a876e949a894de672fc0db85470064c28f97ec135,318b4131f9d3bf2dbc175aac59489bc0931bc44e23eb95f89169428dcbe13986,3044d9b0c0422ca5074c60aabe49cc08612fd779500a2e11bfb8c8bbdb08067f,a628e28da344c1dc18e41084b9bfb101ad0268acb9adbe147858ae0c610795e0,f18d47cb6d791224bb6d9eb707e13076017329c29bc574f86af85a87478549ec
"drama_idle","-224","1001","1","167","1","129811","1","1","100","1.65"
"drama_idle","-224","1002","1","-49","0","129911","1","1","100","1.65"
"","","1003","129811","","","drama_idle","1","3","1","0.2"
"","1","1004","129911","drama_talk_arm_crossed_loop","0","drama_talk_arm_crossed_in","1","3","0","0.2"
"","","1005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_1_000","1","21","0",""
"0","0","1006","129911","1","0","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","1","11","5","0"
"","","1007","0","","","","1","91","",""
"","","1008","129911","","","drama_idle_arm_crossed","1","3","1","0.2"
"","1","1009","129811","drama_talk_doya_loop_smile","0","drama_talk_doya_in_smile","1","3","0","0.2"
"","","1010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_1_001","1","21","0",""
"0.3","0","1011","129811","1","0","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","1","11","5","0"
"","","1012","0","","","","1","91","",""
"","","1013","129811","","","drama_idle_arm_crossed","1","3","1","0.2"
"","1","1014","129911","drama_talk_smile_loop","0","drama_talk_smile_in","1","3","0","0.2"
"","","1015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_1_002","1","21","0",""
