d3bd503d6de37ef9470c5b027b28a3055a6c821c67a43b0cf2524086d7f6c999,2dfb78b18da6aa1e8a51e9f13b8ccc16a1fd4ecbe6cc2040ed927a89c671d328,987f9736b2eeff7c9b06382d2231f79e8b8aa1ca7f5d6b015707cccc2f73f244,b7503e0e5e1901711dd737f7b2b14688febce1951bc3f41e767386eb1f004b70,3f04f41dd24f322f3b2c0da64fdff3c86bb3ad331e51aaa8c6f4a51b801c42f4,17c5977c5fff4df957781fd3c36d3de62c82a4f58630355c02ae1b88f71a36f7,06ebeba7a1acc008d715dec09cec1cbe6eef1e91db7a258bb338646fd6dc32ab,dadcb3866de216532e3dee1c7494fe65090f000bde801a694382200a715031e5,5296733d7458e9a1dd2f89375686047170ef74e4b0203f4b2a08d445e8bc91e9,d6d971ffb86893640ab2729305dd1aa20282a2872fc15ef5233ef5d067fd2f34,030eb4075666e8ebc3f6dfd4945cb167983c555bfc18cd951db4b07aee754ed2,863ad79950499cd0fd53223bcfd813f19a762e066aa701b8b95d70f694d6d098
"0","0","0.8","1011611501","4","0","1","0","0","1","0","10116115"
"vo_won","0","0","1011611502","2","0","0","0","0","2","vo_won_10116115_01","10116115"
"0","2.68","0","1011611503","1","230","0","1","0","3","0","10116115"
"0","0","3.17","1011611504","4","0","1","0","0","4","0","10116115"
"0","2","0","1011611505","1","420","0","1","230","5","0","10116115"
"0","0","2.03","1011611506","4","0","1","0","0","6","0","10116115"
"0","1.51","0","1011611507","1","140","0","2","0","7","0","10116115"
"0","0","2","1011611508","4","0","1","0","0","8","0","10116115"
"0","1.92","0","1011611509","1","275","0","2","140","9","0","10116115"
"0","0","2.42","1011611510","4","0","1","0","0","10","0","10116115"
"0","1.09","0","1011611511","1","430","0","2","275","11","0","10116115"
"0","0","1.09","1011611512","4","0","1","0","0","12","0","10116115"
"0","1.88","0","1011611513","1","230","0","3","0","13","0","10116115"
"0","0","2.47","1011611514","4","0","1","0","0","14","0","10116115"
"0","1.88","0","1011611515","1","430","0","3","230","15","0","10116115"
"0","0","1.88","1011611516","4","0","1","0","0","16","0","10116115"
"0","0.588999999999999","0","1011611517","1","52","0","4","0","17","0","10116115"
"0","0","0.965999999999999","1011611518","4","0","1","0","0","18","0","10116115"
"0","1.423","0","1011611519","1","400","0","4","52","19","0","10116115"
"0","0","2.673","1011611520","4","0","1","0","0","20","0","10116115"
"vo_won","0","0","1011611521","2","0","0","0","0","21","vo_won_10116115_02","10116115"
"0","1.699","0","1011611522","1","340","0","5","0","22","0","10116115"
"0","0","2.495","1011611523","4","0","1","0","0","23","0","10116115"
"0","0.236","0","1011611524","1","450","0","5","340","24","0","10116115"
"0","0","0.4","1011611525","4","0","1","0","0","25","0","10116115"
"0","1.4","0","1011611526","1","120","0","6","0","26","0","10116115"
"0","0","2","1011611527","4","0","1","0","0","27","0","10116115"
"0","2.853","0","1011611528","1","400","0","6","120","28","0","10116115"
"0","0","4.428","1011611529","4","0","1","0","0","29","0","10116115"
"vo_won","0","0","1011611530","2","0","0","0","0","30","vo_won_10116115_03","10116115"
"0","1.261","0","1011611531","1","140","0","7","0","31","0","10116115"
"0","0","1.715","1011611532","4","0","1","0","0","32","0","10116115"
"0","2.245","0","1011611533","1","430","0","7","140","33","0","10116115"
"0","0","2.759","1011611534","4","0","1","0","0","34","0","10116115"
"0","3.212","0","1011611535","1","450","0","8","0","35","0","10116115"
"0","0","3.212","1011611536","4","0","1","0","0","36","0","10116115"
"0","0.499","0","1011611537","1","450","0","8","450","37","0","10116115"
"0","0","2.042","1011611538","4","0","1","0","0","38","0","10116115"
