8225975ed936fe6ccd9149c4d0f4313614011bcb5f8c5953e54e73ad524837d4,c15cf8429ab3bed8213dd0a516cd44cb4ae46e387c0bf3440ed41a4e29ae1e2e,beaba9b50d476c504916f85cb424f813df3a2cd6b96ea1aa957da7b2a38e9c6b,295ba05bfa83b8a9a0b15a4c401b232ae5aedcc0e38ee15a4e3bddc555cb405f,4b0b98add3be3b8bbf1e74a1848cd404f04db07cba9293110bb923edc999afae,de6a9186514d5a373bb066ad0fa3e39b9e7d2c8c9236715823997eb50adf0027,8c67900927a61fea10ad1f7fc12038ed7376db1310000972a8822a92019db7eb,6b9cd60549a77b3804172b162edf4e498b70808b0c50c4c5cfb6dad71c30893f,6d84fa98e63af0ffa04b9f05310dd4c87230161e470dd017281038be2823bc19,a3f7ba11b7224a471fd0b1a0ca2d626cf766f2f548a13bbeaecfde809e02473d,775434feef4137b2324e7581a30fd7efead3ab5d48a17123b3873ed1660f466b,6effe958d0812465c204c89425117e5ba2043474385eea3c9e20cc66ffac3cba,abf852fe3ee60b565aac051cebefbb37a22faa08d7dcde26d9d9ab34a3f0a6eb,b84255d1221c25f0a61ee712fba625a955fc2324ccc76db9f29b20b02b49cc35,9ed881f63f7334cce2c0a2d69bf7d7a7eb21405066463117a0b52c74bae57450,0cf8542de7fd6d1835a048c8a9efe4f2444d3055b98243f172c647e8aa1e92c5,a1f5dd449188ad61211a15bcd55cf8c81052b69a8cee1be5cd094ed72ad420cf,42af0f801d70bfe6ec509341e96059bf9aa31cbb4fb309254bb7a25b906b3b07,9fb7f33338442cbe5cbd7df3bade37e010b6127ccbb300077e5d6fbe8107c804,e1339e90dbd34209a769696c4756bcc62365c06ac68f59e5a1cf4c357a550388,3bf8642e9754960fc4f6c29649432de150b3fe825d861b72cfd2c1efde061642,242ba0e8e2418366531c84d62cd684cf0cb1010eef8d57cd236208dfd3021a40,2755e15e7fff5609bd81997ad981a3456509dd5c2303dfadb43bb33730a7668d,9bdafb5bf0496e2f450747d8f83ac62d69bdb240d303eaafc88b6375cd594e3c
"0","0","8","300010","-356","91002","2","在戰鬥中獲得勝利。","2","31009","-120","31013","1","5","11063","0","2015/12/17 15:00:00","5","【暮光流星群】出動！","31056","2","15063001","30","5"
"0","0","8","300010","-214","91002","2","在戰鬥中獲得勝利。","2","31043","-168","31005","1","5","11063","0","2015/12/17 15:00:00","5","背面世界的戰鬥訓練","31053","2","15063002","30","5"
"0","0","8","300010","-84","91002","2","在戰鬥中獲得勝利。","2","31016","-65","31050","1","5","11063","0","2015/12/17 15:00:00","5","前往背面世界的畢業旅行？","31018","2","15063003","30","5"
"0","0","8","300020","-116","91002","0","在戰鬥中獲得勝利。","0","0","109","0","2","0","11063","0","2015/12/17 15:00:00","0","《EX》成群的危險暗影","0","0","15063004","150","0"
"0","0","8","300010","614","91002","2","在戰鬥中獲得勝利。","2","31020","-120","31036","1","5","11063","0","2015/12/17 15:00:00","5","小小反轉大冒險","31004","2","15063005","30","5"
"0","0","8","300010","655","91002","2","在戰鬥中獲得勝利。","2","31006","51","31022","1","5","11063","0","2015/12/17 15:00:00","5","目標，出征背面世界？","31044","2","15063006","30","5"
"0","0","8","300020","881","91002","0","在戰鬥中獲得勝利。","0","0","30","0","2","0","11063","0","2015/12/17 15:00:00","0","《EX》成群的危險暗影","0","0","15063007","150","0"
"0","0","8","300010","-247","91002","0","在戰鬥中獲得勝利。","2","31066","-179","0","1","5","11064","0","2015/12/17 15:00:00","0","代替招呼的背面世界火拼！","31065","2","15064001","30","5"
"0","0","8","300010","0","91002","2","在戰鬥中獲得勝利。","2","31048","-105","31034","1","5","11064","0","2015/12/17 15:00:00","5","新生意的甜～美香氣","31032","2","15064002","30","5"
"0","0","8","300020","159","91002","0","在戰鬥中獲得勝利。","0","0","-90","0","2","0","11064","0","2015/12/17 15:00:00","0","《EX》危險的魔物‧胡狼與眼蔓","0","0","15064003","150","0"
"0","0","8","300010","453","91002","0","在戰鬥中獲得勝利。","0","0","-79","0","1","10","11064","0","2015/12/17 15:00:00","0","用火箭拳擊退魔物！","90005","2","15064004","30","0"
"0","0","8","300010","570","91002","2","在戰鬥中獲得勝利。","2","31021","58","31023","1","5","11064","0","2015/12/17 15:00:00","5","在背面世界野餐？","31028","2","15064005","30","5"
"0","0","8","300020","905","91002","0","在戰鬥中獲得勝利。","0","0","-18","0","2","0","11064","0","2015/12/17 15:00:00","0","《EX》危險暗影與怪鳥獸","0","0","15064006","150","0"
"0","0","8","300010","-442","91002","2","在戰鬥中獲得勝利。","2","31022","-123","31011","1","5","11065","0","2015/12/17 15:00:00","5","妹妹們的照顧之戰","31006","2","15065001","30","5"
"1","51011","8","300010","-289","91002","2","在戰鬥中獲得勝利。","2","31033","117","31026","1","5","11065","2","2015/12/17 15:00:00","5","背面世界開拓記","31052","2","15065002","30","5"
