e1c4450a69229507a0ef866f508e0400328edb6a4c69f3fe83ae713dcc56dc96,91ac056b8d1af82333ee0c17e45f1ad5407bb85e7e444b7e436499b5b35eacce,6fa5880f6a0e3d9d83d55638a620b0bdf45df23b35c5121cb001b6bb323434ed,8fd30c3a32f5661c3d5093d4b9bc494ae2ca3f2c4c728e9134517f573af7ce89,9cbf96b29d9421bcfe5a4b4b18e427446252100d457b93651eaf07adb7957c8d,6d358a4f5224a827831dac7e4214197a2e55eb2450a6f227563e627cde8af1a9,5715b300989ad23dbbd77af7ec710eedaa133cd98c1b74173d45c83851e6c579,44f8c6d0f6ae8d2b7fc0643db5c4ff56b9c8dc2723e3206994879148ca73ed61,0c498e90b0d5c4d13f0621b4cc71e0e7e5b9e63d396ed4ad73506d35ea46e6ca
"320010106","1","0.7","1","1","0","502001102","11","43.5"
"320010106","2","0.65","3","2","0","502001103","67","13"
"320010106","3","0.65","2","3","0","0","49","-74"
"320010107","4","0.7","1","1","0","502001108","13","-49"
"320010107","5","0.85","3","2","0","502001109","62","-4"
"320010107","6","0.65","2","3","0","0","50","59"
"320010108","7","1.05","1","1","0","0","-10","0"
"320010109","8","1.05","1","1","0","0","-10","-15"
"320010110","9","0.43","1","1","0","0","-45","-85"
"320010110","10","0.43","2","2","0","0","-45","85"
"320010206","11","0.7","1","1","0","502001202","11","43.5"
"320010206","12","0.65","3","2","0","502001203","67","13"
"320010206","13","0.65","2","3","0","0","49","-74"
"320010207","14","0.7","1","1","0","502001208","13","-49"
"320010207","15","0.85","3","2","0","502001209","62","-4"
"320010207","16","0.65","2","3","0","0","50","59"
"320010208","17","1.05","1","1","0","0","-10","0"
"320010209","18","1.05","1","1","0","0","-10","-15"
"320010210","19","0.43","1","1","0","0","-45","-85"
"320010210","20","0.43","2","2","0","0","-45","85"
"320010306","21","0.7","1","1","0","502001302","11","43.5"
"320010306","22","0.65","3","2","0","502001303","67","13"
"320010306","23","0.65","2","3","0","0","49","-74"
"320010307","24","0.7","1","1","0","502001308","13","-49"
"320010307","25","0.85","3","2","0","502001309","62","-4"
"320010307","26","0.65","2","3","0","0","50","59"
"320010308","27","1.05","1","1","0","0","-10","0"
"320010309","28","1.05","1","1","0","0","-10","-15"
"320010310","29","0.43","1","1","0","0","-45","-85"
"320010310","30","0.43","2","2","0","0","-45","85"
"320010406","31","0.7","1","1","0","502001402","11","43.5"
"320010406","32","0.65","3","2","0","502001403","67","13"
"320010406","33","0.65","2","3","0","0","49","-74"
"320010407","34","0.7","1","1","0","502001408","13","-49"
"320010407","35","0.85","3","2","0","502001409","62","-4"
"320010407","36","0.65","2","3","0","0","50","59"
"320010408","37","1.05","1","1","0","0","-10","0"
"320010409","38","1.05","1","1","0","0","-10","-15"
"320010410","39","0.43","1","1","0","0","-45","-85"
"320010410","40","0.43","2","2","0","0","-45","85"
"320010506","41","0.7","1","1","0","502001502","11","43.5"
"320010506","42","0.65","3","2","0","502001503","67","13"
"320010506","43","0.65","2","3","0","0","49","-74"
"320010507","44","0.7","1","1","0","502001508","13","-49"
"320010507","45","0.85","3","2","0","502001509","62","-4"
"320010507","46","0.65","2","3","0","0","50","59"
"320010508","47","1.05","1","1","0","0","-10","0"
"320010509","48","1.05","1","1","0","0","-10","-15"
"320010510","49","0.43","1","1","0","0","-45","-85"
"320010510","50","0.43","2","2","0","0","-45","85"
"320020106","51","0.7","1","1","0","502002102","11","43.5"
"320020106","52","0.65","3","2","0","502002103","67","13"
"320020106","53","0.65","2","3","0","0","49","-74"
"320020107","54","0.7","1","1","0","502002108","13","-49"
"320020107","55","0.85","3","2","0","502002109","62","-4"
"320020107","56","0.65","2","3","0","0","50","59"
"320020108","57","1.05","1","1","0","0","-10","0"
"320020109","58","1.05","1","1","0","0","-10","-15"
"320020110","59","0.43","1","1","0","0","-45","-85"
"320020110","60","0.43","2","2","0","0","-45","85"
"320020206","61","0.7","1","1","0","502002202","11","43.5"
"320020206","62","0.65","3","2","0","502002203","67","13"
"320020206","63","0.65","2","3","0","0","49","-74"
"320020207","64","0.7","1","1","0","502002208","13","-49"
"320020207","65","0.85","3","2","0","502002209","62","-4"
"320020207","66","0.65","2","3","0","0","50","59"
"320020208","67","1.05","1","1","0","0","-10","0"
"320020209","68","1.05","1","1","0","0","-10","-15"
"320020210","69","0.43","1","1","0","0","-45","-85"
"320020210","70","0.43","2","2","0","0","-45","85"
"320020306","71","0.7","1","1","0","502002302","11","43.5"
"320020306","72","0.65","3","2","0","502002303","67","13"
"320020306","73","0.65","2","3","0","0","49","-74"
"320020307","74","0.7","1","1","0","502002308","13","-49"
"320020307","75","0.85","3","2","0","502002309","62","-4"
"320020307","76","0.65","2","3","0","0","50","59"
"320020308","77","1.05","1","1","0","0","-10","0"
"320020309","78","1.05","1","1","0","0","-10","-15"
"320020310","79","0.43","1","1","0","0","-45","-85"
"320020310","80","0.43","2","2","0","0","-45","85"
"320020406","81","0.7","1","1","0","502002402","11","43.5"
"320020406","82","0.65","3","2","0","502002403","67","13"
"320020406","83","0.65","2","3","0","0","49","-74"
"320020407","84","0.7","1","1","0","502002408","13","-49"
"320020407","85","0.85","3","2","0","502002409","62","-4"
"320020407","86","0.65","2","3","0","0","50","59"
"320020408","87","1.05","1","1","0","0","-10","0"
"320020409","88","1.05","1","1","0","0","-10","-15"
"320020410","89","0.43","1","1","0","0","-45","-85"
"320020410","90","0.43","2","2","0","0","-45","85"
"320020506","91","0.7","1","1","0","502002502","11","43.5"
"320020506","92","0.65","3","2","0","502002503","67","13"
"320020506","93","0.65","2","3","0","0","49","-74"
"320020507","94","0.7","1","1","0","502002508","13","-49"
"320020507","95","0.85","3","2","0","502002509","62","-4"
"320020507","96","0.65","2","3","0","0","50","59"
"320020508","97","1.05","1","1","0","0","-10","0"
"320020509","98","1.05","1","1","0","0","-10","-15"
"320020510","99","0.43","1","1","0","0","-45","-85"
"320020510","100","0.43","2","2","0","0","-45","85"
"320030106","101","0.7","1","1","0","502003102","11","43.5"
"320030106","102","0.65","2","2","0","502003103","67","13"
"320030106","103","0.65","3","3","0","0","49","-74"
"320030107","104","0.7","1","1","0","502003108","13","-49"
"320030107","105","0.85","3","2","0","502003109","62","-4"
"320030107","106","0.65","2","3","0","0","50","59"
"320030108","107","1.05","1","1","0","0","-10","0"
"320030109","108","1.05","1","1","0","0","-10","-15"
"320030110","109","0.43","1","1","0","0","-45","-85"
"320030110","110","0.43","2","2","0","0","-45","85"
"320030206","111","0.7","1","1","0","502003202","11","43.5"
"320030206","112","0.65","2","2","0","502003203","67","13"
"320030206","113","0.65","3","3","0","0","49","-74"
"320030207","114","0.7","1","1","0","502003208","13","-49"
"320030207","115","0.85","3","2","0","502003209","62","-4"
"320030207","116","0.65","2","3","0","0","50","59"
"320030208","117","1.05","1","1","0","0","-10","0"
"320030209","118","1.05","1","1","0","0","-10","-15"
"320030210","119","0.43","1","1","0","0","-45","-85"
"320030210","120","0.43","2","2","0","0","-45","85"
"320030306","121","0.7","1","1","0","502003302","11","43.5"
"320030306","122","0.65","2","2","0","502003303","67","13"
"320030306","123","0.65","3","3","0","0","49","-74"
"320030307","124","0.7","1","1","0","502003308","13","-49"
"320030307","125","0.85","3","2","0","502003309","62","-4"
"320030307","126","0.65","2","3","0","0","50","59"
"320030308","127","1.05","1","1","0","0","-10","0"
"320030309","128","1.05","1","1","0","0","-10","-15"
"320030310","129","0.43","1","1","0","0","-45","-85"
"320030310","130","0.43","2","2","0","0","-45","85"
"320030406","131","0.7","1","1","0","502003402","11","43.5"
"320030406","132","0.65","2","2","0","502003403","67","13"
"320030406","133","0.65","3","3","0","0","49","-74"
"320030407","134","0.7","1","1","0","502003408","13","-49"
"320030407","135","0.85","3","2","0","502003409","62","-4"
"320030407","136","0.65","2","3","0","0","50","59"
"320030408","137","1.05","1","1","0","0","-10","0"
"320030409","138","1.05","1","1","0","0","-10","-15"
"320030410","139","0.43","1","1","0","0","-45","-85"
"320030410","140","0.43","2","2","0","0","-45","85"
"320030506","141","0.7","1","1","0","502003502","11","43.5"
"320030506","142","0.65","2","2","0","502003503","67","13"
"320030506","143","0.65","3","3","0","0","49","-74"
"320030507","144","0.7","1","1","0","502003508","13","-49"
"320030507","145","0.85","3","2","0","502003509","62","-4"
"320030507","146","0.65","2","3","0","0","50","59"
"320030508","147","1.05","1","1","0","0","-10","0"
