2168997a64d935d69b9cf4e2803d63e184d4e6723b2884774b883d894a88ced3,62713a574e266b5c5043e6bb200ce1928bf6300c0a6855925d79af2513f5bb75,a30cd06bb327c652ef6471ffbd2800c6c39de3660d47d72e88b4b246aa6e09ab,b5b99c602492c28b7271a7f79b275e921fa6c5a38865ccae9523be800fe49870,82de8bf1dc18c4d725fc6ce4a4e667cb9d2e6f0fff21fceb8ef9b92828899953
"傷害值衰減","1","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10101","damage_limit"
"防禦力（不可降低）提升","1","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10102","def_lower_limit"
"傷害值衰減","2","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10201","damage_limit"
"防禦力（不可降低）提升","2","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10202","def_lower_limit"
"全傷害降低","2","將所有怪物承受的傷害減少一定數值。","10203","damage_cut"
"造成傷害提升","2","提升所有怪物所造成的傷害。","10204","damage_up"
"防禦力提升","2","提升所有怪物的物理/魔法防禦力。","10205","def_up"
"傷害值衰減","3","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10301","damage_limit"
"防禦力（不可降低）提升","3","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10302","def_lower_limit"
"全傷害降低","3","將所有怪物承受的傷害減少一定數值。","10303","damage_cut"
"造成傷害提升","3","提升所有怪物所造成的傷害。","10304","damage_up"
"防禦力提升","3","提升所有怪物的物理/魔法防禦力。","10305","def_up"
"降低暴擊","3","降低所有角色的物理/魔法暴擊率。","10306","critical_down"
"傷害值衰減","4","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10401","damage_limit"
"防禦力（不可降低）提升","4","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10402","def_lower_limit"
"全傷害降低","4","將所有怪物承受的傷害減少一定數值。","10403","damage_cut"
"造成傷害提升","4","提升所有怪物所造成的傷害。","10404","damage_up"
"防禦力提升","4","提升所有怪物的物理/魔法防禦力。","10405","def_up"
"降低暴擊","4","降低所有角色的物理/魔法暴擊率。","10406","critical_down"
"降低ＨＰ吸收","4","降低所有角色的ＨＰ吸收。","10407","life_steal_down"
"強敵出現","5","EXTREME戰鬥時，有一定的機率會出現強敵。","10501","add_monster"
"傷害值衰減","5","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10502","damage_limit"
"防禦力（不可降低）提升","5","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10503","def_lower_limit"
"全傷害降低","5","將所有怪物承受的傷害減少一定數值。","10504","damage_cut"
"造成傷害提升","5","提升所有怪物所造成的傷害。","10505","damage_up"
"防禦力提升","5","提升所有怪物的物理/魔法防禦力。","10506","def_up"
"降低暴擊","5","降低所有角色的物理/魔法暴擊率。","10507","critical_down"
"降低ＨＰ吸收","5","降低所有角色的ＨＰ吸收。","10508","life_steal_down"
"減少降低ＴＰ","5","所有怪物為減少降低ＴＰ的狀態。","10509","tp_down_cut"
"降低ＨＰ恢復量","5","降低所有角色的ＨＰ恢復量。","10510","hp_recovery_down"
