a3995f7dbc82d9b0a236deed64f00f8539a510877440db42161635a2dab3cb9e,ede0057969d05da3b9e11eda76e245ccceb99266e24c7bb0cbe5ff1a0fb853c6,63a950a4bd555830351f3223929d15180659cdf940e759db4aefda023abcb8d1,ee53d743be498fcab1eec2608b22f2a8f7092f8c35d97e639839b410af5c4e3e,f3ccc254e3239953530e3d1e3c96674ace143df27e376580628ae70f42d6c1df,18c7bc42dc915b203475bffab494cc8c9d701867e29d9be57f2dda4f2bde7769
"100111","0","0","10011","0","100112"
"100121","0","0","10012","0","100122"
"100131","0","0","10013","0","0"
"100211","0","0","10021","0","0"
"100221","0","0","10022","0","0"
"100231","0","0","10023","0","0"
"100311","0","0","10031","0","0"
"100321","0","0","10032","0","100322"
"100331","0","0","10033","0","100332"
"100411","0","0","10041","0","100412"
"100421","0","0","10042","0","100422"
"100431","0","0","10043","0","100432"
"100511","0","0","10051","0","0"
"100521","0","0","10052","0","0"
"100531","0","0","10053","0","0"
"110011","0","0","11001","0","0"
"110021","0","0","11002","0","0"
"110031","0","0","11003","0","0"
"110041","0","0","11004","0","0"
"110051","0","0","11005","0","0"
"120011","0","0","12001","0","0"
"120021","0","0","12002","0","0"
"120031","0","0","12003","0","0"
"120041","0","0","12004","0","0"
"120051","0","0","12005","0","0"
"130011","0","0","13001","0","0"
"130021","0","0","13002","0","130022"
"130031","0","0","13003","0","0"
"130041","0","0","13004","0","130042"
"130051","0","0","13005","0","0"
"140011","0","0","14001","0","0"
"140021","0","0","14002","0","0"
"140031","0","0","14003","0","0"
"140041","0","0","14004","0","140042"
"140051","0","0","14005","0","140052"
"150011","0","0","15001","0","0"
"150021","0","0","15002","0","0"
"150031","0","0","15003","0","0"
"150041","0","0","15004","0","0"
"150051","0","0","15005","0","0"
"210011","0","0","21001","0","0"
"210021","0","0","21002","0","0"
"210031","0","0","21003","0","0"
"210041","0","0","21004","0","0"
"210051","0","0","21005","0","0"
"220011","0","0","22001","0","0"
"220021","0","0","22002","0","0"
"220031","0","0","22003","0","0"
"220041","0","0","22004","0","0"
"220051","0","0","22005","0","0"
"230011","0","0","23001","0","0"
"230021","0","0","23002","0","230022"
"230031","0","0","23003","0","0"
"230041","0","0","23004","0","230042"
"230051","0","0","23005","0","0"
"240011","0","0","24001","0","0"
"240021","0","0","24002","0","0"
"240031","0","0","24003","0","0"
"240041","0","0","24004","0","240042"
"240051","0","0","24005","0","240052"
"250011","0","0","25001","0","0"
"250021","0","0","25002","0","0"
"250031","0","0","25003","0","0"
"250041","0","0","25004","0","0"
"250051","0","0","25005","0","0"
"310011","0","0","31001","0","0"
"310021","0","0","31002","0","0"
"310031","0","0","31003","0","0"
"310041","0","0","31004","0","0"
"310051","0","0","31005","0","0"
"320011","0","0","32001","0","0"
"320021","0","0","32002","0","0"
"320031","0","0","32003","0","0"
"320041","0","0","32004","0","0"
"320051","0","0","32005","0","0"
"330011","0","0","33001","0","0"
"330021","0","0","33002","0","330022"
"330031","0","0","33003","0","0"
"330041","0","0","33004","0","330042"
"330051","0","0","33005","0","0"
"340011","0","0","34001","0","0"
"340021","0","0","34002","0","0"
"340031","0","0","34003","0","0"
"340041","0","0","34004","0","340042"
"340051","0","0","34005","0","340052"
"350011","0","0","35001","0","0"
"350021","0","0","35002","0","0"
"350031","0","0","35003","0","0"
"350041","0","0","35004","0","0"
"350051","0","0","35005","0","0"
