daea27b2610ef1113c5abde68d678d68309f08a05dbf935c55e43997383c4791,03cc4b996025b155edd99a8e8e5811ea55aae05ab744ad145873283b8599a460,996f3eae53d81d3a70186f43f10874b09a880de0f39e751cd0f2e5b8cd702a38,c532c47385fe8c9f31b85b2cf47de30e8b7681bdbf4ce6dc83e7e6142330aa51,2cf841a44675aee3a5f18f9234c14c10ac86ab634929a3c5c8aed1b6e4a0942b,f3661724d81972f84188a1889309b37509a9a11026ef29285ff7449cf376efb6
"-1480","1","-1480","2816","1","11"
"-1302","1","-1400","2816","1","21"
"-1263","1","-1302","2816","1","31"
"-1224","1","-1263","2816","1","41"
"-1185","1","-1224","2816","1","51"
"-1146","1","-1185","2816","1","61"
"-1146","1","-1146","2816","1","71"
"-1146","1","-1146","2816","1","81"
"-1107","1","-1146","2816","1","91"
"-1068","1","-1107","2816","1","101"
"-1029","1","-1068","2816","1","111"
"-1029","1","-1029","2816","1","121"
"-1029","1","-1029","2816","1","131"
"-1029","1","-1029","2816","1","141"
"-988","1","-1029","2816","1","151"
"-947","1","-988","2816","1","161"
"-906","1","-947","2816","1","171"
"-865","1","-906","2816","1","181"
"-865","1","-865","2816","1","191"
"-865","1","-865","2816","1","201"
"-824","1","-865","2816","1","211"
"-783","1","-824","2816","1","221"
"-742","1","-783","2816","1","231"
"-701","1","-742","2816","1","241"
"-660","1","-701","2816","1","251"
"-619","1","-660","2816","1","261"
"-619","1","-619","2816","1","271"
"-619","1","-619","2816","1","281"
"-619","1","-619","2816","1","291"
"-578","1","-619","2816","1","301"
"-537","1","-578","2816","1","311"
"-496","1","-537","2816","1","321"
"-496","1","-496","2816","1","331"
"-496","1","-496","2816","1","341"
"-496","1","-496","2816","1","351"
"-455","1","-496","2816","1","361"
"-414","1","-455","2816","1","371"
"-373","1","-414","2816","1","381"
"-332","1","-373","2816","1","391"
"-332","1","-332","2816","1","401"
"-332","1","-332","2816","1","411"
"-200","1","-332","2816","1","421"
"-1181","2","-1246","2816","2","431"
"-1152","2","-1181","2816","2","441"
"-1152","2","-1152","2816","2","451"
"-1123","2","-1152","2816","2","461"
"-1094","2","-1123","2816","2","471"
"-1094","2","-1094","2816","2","481"
"-1065","2","-1094","2816","2","491"
"-1065","2","-1065","2816","2","501"
"-1036","2","-1065","2816","2","511"
"-1036","2","-1036","2816","2","521"
"-1007","2","-1036","2816","2","531"
"-978","2","-1007","2816","2","541"
"-978","2","-978","2816","2","551"
"-949","2","-978","2816","2","561"
"-920","2","-949","2816","2","571"
"-891","2","-920","2816","2","581"
"-862","2","-891","2816","2","591"
"-862","2","-862","2816","2","601"
"-862","2","-862","2816","2","611"
"-862","2","-862","2816","2","621"
"-833","2","-862","2816","2","631"
"-804","2","-833","2816","2","641"
"-775","2","-804","2816","2","651"
"-746","2","-775","2816","2","661"
"-717","2","-746","2816","2","671"
"-688","2","-717","2816","2","681"
"-659","2","-688","2816","2","691"
"-630","2","-659","2816","2","701"
"-601","2","-630","2816","2","711"
"-572","2","-601","2816","2","721"
"-543","2","-572","2816","2","731"
"-514","2","-543","2816","2","741"
"-449","2","-514","2816","2","751"
"-1153","2","-1226","2816","3","761"
"-1115","2","-1153","2816","3","771"
"-1115","2","-1115","2816","3","781"
"-1077","2","-1115","2816","3","791"
"-1077","2","-1077","2816","3","801"
