af0323bd08f890e8645cb80db3805c2f942e4ccca15ca8de772fd57b96eb0f92,ad009e4a26220b67355c0ae2d408868c5e212988240ea1de87b7c69db1cf726d,4181b6d5706da478a3a4f4b2168eaf6b92e3c1d2ea5f5a786ce1dc3af2d62174,49ece901fbb4d641c9470a6be5d2d1012e4a4d168e8603813a3bdd74a4b992a3,e153bfbced1f929dfa6b57ce0768773dc1d2ae67fafd829137f2d1b028877503,614ba8b011bd00528472dba3a8f491a40fc99809435812e73fd4924a6396a886,834b81e356e653d5b57c622d3536fc508bf6227892438ad1baa6935fb589e5eb,07afa2030ba241f55297e1532011501f7c476bd6f9105452cec6a1fe227276e4,6f9944673bbd243e22fa0eaace0efa5b374aedd836ba7a63a1d88cca1b2686be,87ef23f4ea03fd30b4dab9a2bcecc61849f4e935e71432a21868b76d4a66f3e0,d523ea548c66aea52a1e558d0e160a9c7ed146c69122e44c1d31ba4e244cbeb9,c438a68fa295c1b8c2acc7e1abc3523e57d6a473ce3cf5b863734f16f0efbd81,7d27723d0f97eae41e1b8364940b3baec01b2a8dee7346990086aa4fdaaca2f7
"bgm_M33","10001","bgm_M33","380000","1","0","2018/08/24 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M99","10002","bgm_M99","380000","2","0","2018/10/01 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M107","10003","bgm_M107","380000","3","0","2018/10/30 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M113","10004","bgm_M113","380000","4","0","2018/11/29 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M121","10005","bgm_M121","380000","5","0","2019/01/01 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M128","10006","bgm_M128","380000","6","0","2019/01/30 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M135","10007","bgm_M135","380000","7","0","2019/03/04 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M162","10008","bgm_M162","380000","8","0","2019/04/01 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M171","10009","bgm_M171","380000","9","0","2019/04/30 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M182","10010","bgm_M182","380000","10","0","2019/05/31 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M189","10011","bgm_M189","380000","11","0","2019/06/28 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M206","10012","bgm_M206","380000","12","0","2019/07/15 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M215","10013","bgm_M215","380000","13","0","2019/07/30 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M33","10014","bgm_M33","380000","14","0","2019/08/15 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M223","10015","bgm_M223","380000","15","0","2019/08/30 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M99","10016","bgm_M99","380000","16","0","2019/09/15 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"","10017","","380000","17","0","2019/09/27 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M107","10018","bgm_M107","380000","18","0","2019/10/15 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
"bgm_M237","10019","bgm_M237","380000","19","0","2019/10/30 16:00:00","1","0","0","380000","2030/03/26 14:59:00","0"
