a7390fcbf694be703d0b839fbbfd1bb161b68ed3f5d5bb6df772afcf044e4f7b,f2d01b489d6187289374ee5b2e263cdaeae5fc5df7d4a1bfacca088fcc0b96c5,296c2ae23f345d20f36336641910ef9ed5aa3d4f681335195b9d546c83f9bb28,c53839765137a692bef580f8e593f6a4fc450d448a1fbf170142e2b48e096a20,397d8a41a54da53b44cff5c9c55d2e78a97a8c0114b421affab8ed83f322f5b7,94e20c5f519228d62ebe266e4e75073b38b752885d9efd9d43f362b601de4dda,bec00e296e1cf2583a9686ff8c9d35633cc3e13a48cd096fc6f168b9ac28a9b1,5f5162786e195b6867b26aeba42244692a693dc0329e67f11ec0658fcd24a5b3,6a8b94c20c28dfb7ec98e3f651cb5d8ef10caabfe85d029d37131c5121455bcc
"32000101","1","1010","1","所有玩家合力打倒100,000次蠻賊三姊妹","32000101","100000","7008","1002"
"32000102","2","1010","1","所有玩家合力打倒150,000次蠻賊三姊妹","32000102","150000","7008","1002"
"32000103","3","1010","1","所有玩家合力打倒200,000次蠻賊三姊妹","32000103","200000","7008","1002"
"32000104","4","1010","1","所有玩家合力打倒100,000次芙蕾雅","32000104","100000","7008","1003"
"32000105","5","1010","1","所有玩家合力打倒150,000次芙蕾雅","32000105","150000","7008","1003"
"32000106","6","1010","1","所有玩家合力打倒200,000次芙蕾雅","32000106","200000","7008","1003"
"32000107","7","1010","0","所有玩家合力打倒200,000次阿剌克涅","32000107","200000","7008","1004"
"32000108","8","1010","0","所有玩家合力打倒300,000次阿剌克涅","32000108","300000","7008","1004"
"32000109","9","1010","0","所有玩家合力打倒400,000次阿剌克涅","32000109","400000","7008","1004"
"32000110","10","1009","1","挑戰1次成群的寶石蜘蛛","32000110","1","7007","1001"
"32000111","11","1009","1","打倒1次蠻賊三姊妹","32000111","1","7007","1002"
"32000112","12","1009","1","打倒1次芙蕾雅","32000112","1","7007","1003"
"32000113","13","1009","0","打倒1次阿剌克涅","32000113","1","7007","1004"
