96597ed813cee4238d3ea9d7e854f6a8186d56053065598dc29ad5a292a0e572,367e77797d06a24d22bd875af18d25950208cf8d30f5648debaa1b3b84399a70,886ccb698913f0455df9ea7168a906f2d77e0d76b1a61be707f888eb394567f9,98a8c0c57beed498247a49fd83dbed63b01ba5d67a0310f13b4ec82dbeadcd90,9daa5244994d5c267661bb51acc6a2d3f471af5dafcfa31332f88045e4f6a19e,0904a27aad9b539dd379155c44db60b866d8d84d64989ad04bb9b9d415778a12,1e033300c4f1937fe4fc23822bdb27103b9755c09ead35646546b2751e4b13c8,36126fc6c02e1d2b519a77142511d19aeb757596e752a1f5818267b2bae10966,10fefc168912a228d89fc9d44155ffdb3e1278b94623cca02dddf2a11e01e7c4,ffeb347fbc68284f43ac1f4fe36d121c4d52f6a0b93d379d3cea70e4154bfd9e,475ce6820147b33e9dd0320cd8de9cbf7a28dc265e27e3905cb0db0686d46aa4,48bf317ccd2feb7122eecd058afae4ca5b52f8265f941f455d8730dcbf07f70c
"13","100101","1","1","1","1","100","1","-1","-1","3","1"
"15","100201","1","1","1","1","130","1","-1","-1","4","1"
"17","100301","1","1","1","1","160","1","-1","-1","4","1"
"19","100401","1","1","1","1","180","1","120","-1","4","1"
"19","100402","1","1","1","1","180","1","-1","-1","4","1"
"21","100501","1","1","1","1","200","1","150","-1","4","1"
"21","100502","1","1","1","1","200","1","-1","-1","4","1"
"23","100601","1","1","1","1","220","1","180","-1","5","1"
"23","100602","1","1","1","1","220","1","-1","-1","5","1"
"25","100701","1","1","1","1","240","1","210","-1","5","1"
"25","100702","1","1","1","1","240","1","-1","-1","5","1"
"27","100801","1","1","1","1","260","1","240","-1","5","1"
"27","100802","1","1","1","1","260","1","-1","-1","5","1"
"29","100901","1","1","1","1","280","1","270","-1","5","1"
"29","100902","1","1","1","1","280","1","-1","-1","5","1"
"32","101001","1","1","1","1","300","1","300","1","6","1"
"32","101002","1","1","1","1","300","1","300","-1","6","1"
"32","101003","1","1","1","1","300","1","-1","-1","6","1"
"32","101004","1","1","1","1","300","1","300","1","5","1"
"32","101005","1","1","1","1","300","1","300","-1","5","1"
"32","101006","1","1","1","1","300","1","-1","-1","5","1"
"32","101101","1","1","1","1","310","1","300","1","6","1"
"32","101102","1","1","1","1","310","1","300","-1","6","1"
"32","101103","1","1","1","1","310","1","-1","-1","6","1"
"32","101104","1","1","1","1","310","1","300","1","5","1"
"32","101105","1","1","1","1","310","1","300","-1","5","1"
"32","101106","1","1","1","1","310","1","-1","-1","5","1"
"32","101201","1","1","1","1","320","1","300","1","6","1"
"32","101202","1","1","1","1","320","1","300","-1","6","1"
"32","101203","1","1","1","1","320","1","-1","-1","6","1"
"32","101204","1","1","1","1","320","1","300","1","5","1"
"32","101205","1","1","1","1","320","1","300","-1","5","1"
"32","101206","1","1","1","1","320","1","-1","-1","5","1"
"32","101301","1","1","1","1","330","1","300","3","6","1"
"32","101302","1","1","1","1","330","1","300","-1","6","1"
"32","101303","1","1","1","1","330","1","-1","-1","6","1"
"32","101304","1","1","1","1","330","1","300","3","5","1"
"32","101305","1","1","1","1","330","1","300","-1","5","1"
"32","101306","1","1","1","1","330","1","-1","-1","5","1"
"32","101401","1","1","1","1","340","1","300","3","6","1"
"32","101402","1","1","1","1","340","1","300","-1","6","1"
"32","101403","1","1","1","1","340","1","-1","-1","6","1"
"32","101404","1","1","1","1","340","1","300","3","5","1"
"32","101405","1","1","1","1","340","1","300","-1","5","1"
"32","101406","1","1","1","1","340","1","-1","-1","5","1"
"32","101501","1","1","1","1","350","1","300","3","6","1"
"32","101502","1","1","1","1","350","1","300","-1","6","1"
"32","101503","1","1","1","1","350","1","-1","-1","6","1"
"32","101504","1","1","1","1","350","1","300","3","5","1"
"32","101505","1","1","1","1","350","1","300","-1","5","1"
"32","101506","1","1","1","1","350","1","-1","-1","5","1"
"32","101601","1","1","1","1","360","1","310","5","6","1"
"32","101602","1","1","1","1","360","1","310","-1","6","1"
"32","101603","1","1","1","1","360","1","-1","-1","6","1"
"32","101604","1","1","1","1","360","1","310","5","5","1"
"32","101605","1","1","1","1","360","1","310","-1","5","1"
"32","101606","1","1","1","1","360","1","-1","-1","5","1"
"32","101701","1","1","1","1","380","1","310","5","6","1"
"32","101702","1","1","1","1","380","1","310","-1","6","1"
"32","101703","1","1","1","1","380","1","-1","-1","6","1"
"32","101704","1","1","1","1","380","1","310","5","5","1"
"32","101705","1","1","1","1","380","1","310","-1","5","1"
"32","101706","1","1","1","1","380","1","-1","-1","5","1"
"32","101801","1","1","1","1","400","1","310","5","6","1"
"32","101802","1","1","1","1","400","1","310","-1","6","1"
"32","101803","1","1","1","1","400","1","-1","-1","6","1"
"32","101804","1","1","1","1","400","1","310","5","5","1"
"32","101805","1","1","1","1","400","1","310","-1","5","1"
"32","101806","1","1","1","1","400","1","-1","-1","5","1"
"33","111601","1","1","1","1","400","1","310","5","6","1"
"33","111602","1","1","1","1","400","1","310","-1","6","1"
"33","111603","1","1","1","1","400","1","-1","-1","6","1"
"33","111604","1","1","1","1","400","1","310","5","5","1"
"33","111605","1","1","1","1","400","1","310","-1","5","1"
"33","111606","1","1","1","1","400","1","-1","-1","5","1"
"33","111701","1","1","1","1","450","1","310","5","6","1"
"33","111702","1","1","1","1","450","1","310","-1","6","1"
"33","111703","1","1","1","1","450","1","-1","-1","6","1"
"33","111704","1","1","1","1","450","1","310","5","5","1"
"33","111705","1","1","1","1","450","1","310","-1","5","1"
"33","111706","1","1","1","1","450","1","-1","-1","5","1"
"33","111801","1","1","1","1","500","1","310","5","6","1"
"33","111802","1","1","1","1","500","1","310","-1","6","1"
"33","111803","1","1","1","1","500","1","-1","-1","6","1"
"33","111804","1","1","1","1","500","1","310","5","5","1"
"33","111805","1","1","1","1","500","1","310","-1","5","1"
"33","111806","1","1","1","1","500","1","-1","-1","5","1"
