731b1582867dcb1c54ff60a9e9047177503ab01abecc647eb8e5e9f32b6acff6,b3deaf716f82a4acc9222e33b1a3807f81c849982c678e34210f88cb734224f8,6515257e2b04d3a512252753ccc12a50170095f617af7f2cdc404f33a6d7107d,8a7e64ac2a56064e70e671e7d05682f10958e8440a9f141c664652b4f36899a4,e0ebf4f9088639f1b25385a17f1270f81c3843ca67f01a409f7088e356a714e7
"0","3","1","1","111011101"
"0","3","1","1","111021101"
"0","3","1","1","133011101"
"0","5","1","1","133011201"
"0","3","1","1","133020101"
"1","3","1","1","133020201"
"0","3","1","1","133030101"
"0","3","1","2","133030201"
"0","3","1","3","133030301"
"1","3","1","1","133030401"
"1","3","1","2","133030501"
"1","3","1","3","133030601"
"0","3","1","1","133040101"
"1","3","1","1","133040201"
"2","3","1","1","133040301"
"3","3","1","1","133040401"
"0","3","1","1","133051101"
"0","5","1","1","133051201"
"0","3","2","1","134010101"
"0","3","2","3","134010201"
"0","3","1","1","134021101"
"0","5","1","1","134021201"
"0","4","2","1","140010101"
"1","1","2","1","140010201"
"0","1","2","1","140010301"
"0","1","1","3","140020101"
