fc0d0b43aa4b3fc63c80764ba32b47c32e7b1b32bf1c9f016bed5f74e8694268,1e54fdfbfef597d25342ac043b0061fd041afa9ffb31517b7312f5c232ec42fe,e05c735c342d6fa064e5ec7e41b4ead166d50ab5ed7239eb317ce06009ea991d,00ac02f8daf5ceb2a3a22c3820998ec5e01d9f25eb6572881fe815fb77ffd6db,4abebaf170da98a0a6b1ac292929edae20d2db3e39ac6551bc5c7cfd711a3f99,0ca171c65d529c272cf38800d3e443d6b31bd592d033b86f00163e6c427a31a2,4eb41becd40edeff2e54377ccb4328aa35c78e7e888c15dfbdb6e9d8ee1563c0
"1","50","1","9999999","0","50","0"
"2","20","2","9999999","0","80","0"
"3","70","3","2000","0","30","0"
"4","30","3","5000","0","40","30"
"5","0","3","10000","20","40","40"
"6","0","3","15000","30","30","40"
"7","0","3","20000","35","25","40"
"8","0","3","25000","40","20","40"
"9","0","3","30000","45","15","40"
"10","0","3","35000","50","10","40"
"11","0","3","40000","55","10","35"
"12","0","3","45000","60","5","35"
"13","0","3","50000","65","5","30"
"14","0","3","55000","70","0","30"
"15","0","3","60000","75","0","25"
"16","0","3","65000","80","0","20"
"17","0","3","70000","85","0","15"
"18","0","3","75000","90","0","10"
"19","0","3","80000","95","0","5"
"20","0","3","9999999","100","0","0"
