48ff6548274ef2047e8dd9df6abdc00405fc9b457c21769769b22e93df5b0a49,6938f0701db64bb92fac2f21e0fa6703eebb23cd338ae5e5091ec5ffe8979d44,a059d652fe6defe61c8724f566a726d310b630bc19c0e431e0da3cb823630e8d,d6fa289f2276d6bb61d18176c1d0cdc2d18e23e79cd7d2ca105522e152b6b244,0dc55b3982e2e2b0a957be4784aa2ce57cc8f36a5ed92e9521f8860fcd0db7f3,5d63a971ca0cc2f74ba153dcc145c5aa339181c0811381fe198bf4df12e9ea59
"212","211","2114001","802100290","1005","1"
"212","211","2114002","802100290","1006","1"
"212","211","2114003","802100290","1007","1"
"212","211","2114004","802100290","1008","1"
"100","104","2113061","802100266","100501","0"
"100","104","2113062","802100266","100502","0"
"102","105","2113063","802100266","100503","0"
"103","106","2113064","802100266","100504","0"
"100","104","2113065","802100266","100505","0"
"100","104","2113066","802100266","100506","0"
"102","105","2113067","802100266","100507","0"
"103","106","2113068","802100266","100508","0"
"100","104","2113069","802100266","100509","0"
"100","104","2113070","802100266","100510","0"
"100","104","2113071","802100267","100511","0"
"100","104","2113072","802100267","100512","0"
"102","105","2113073","802100267","100513","0"
"103","106","2113074","802100267","100514","0"
"100","104","2113075","802100267","100515","0"
"100","104","2113076","802100267","100516","0"
"102","105","2113077","802100267","100517","0"
"103","106","2113078","802100267","100518","0"
"100","104","2113079","802100267","100519","0"
"100","104","2113080","802100267","100520","0"
"100","104","2113081","802100268","100521","0"
"100","104","2113082","802100268","100522","0"
"102","105","2113083","802100268","100523","0"
"103","106","2113084","802100268","100524","0"
"100","104","2113085","802100268","100525","0"
"112","208","2113086","802100268","100526","1"
"110","201","2113087","802100268","100527","1"
"100","104","2113088","802100268","100528","0"
"102","105","2113089","802100268","100529","0"
"103","106","2113090","802100268","100530","0"
"114","203","2113031","802100263","100601","1"
"113","202","2113032","802100263","100602","1"
"102","105","2113033","802100263","100603","0"
"103","106","2113034","802100263","100604","0"
"114","203","2113035","802100263","100605","1"
"113","202","2113036","802100263","100606","1"
"111","204","2113037","802100263","100607","1"
"113","202","2113038","802100263","100608","1"
"113","202","2113039","802100263","100609","1"
"103","106","2113040","802100263","100610","0"
"114","203","2113041","802100264","100611","1"
"113","202","2113042","802100264","100612","1"
"102","105","2113043","802100264","100613","0"
"103","106","2113044","802100264","100614","0"
"114","203","2113045","802100264","100615","1"
"113","202","2113046","802100264","100616","1"
"111","204","2113047","802100264","100617","1"
"113","202","2113048","802100264","100618","1"
"113","202","2113049","802100264","100619","1"
"103","106","2113050","802100264","100620","0"
"102","105","2113051","802100265","100621","0"
"114","203","2113052","802100265","100622","1"
"113","202","2113053","802100265","100623","1"
"111","204","2113054","802100265","100624","1"
"103","106","2113055","802100265","100625","0"
"112","208","2113056","802100265","100626","1"
"110","201","2113057","802100265","100627","1"
"114","203","2113058","802100265","100628","1"
"113","202","2113059","802100265","100629","1"
"103","106","2113060","802100265","100630","0"
"112","205","2113091","802100269","100701","1"
"112","206","2113092","802100269","100702","1"
"117","102","2113093","802100269","100703","0"
"102","105","2113094","802100269","100704","0"
"102","105","2113095","802100269","100705","0"
"113","202","2113096","802100269","100706","1"
"114","203","2113097","802100269","100707","1"
"117","102","2113098","802100269","100708","0"
"102","105","2113099","802100269","100709","0"
"113","202","2113100","802100269","100710","1"
"112","205","2115001","802100270","100711","1"
"117","102","2115002","802100270","100712","0"
"102","105","2115003","802100270","100713","0"
"103","106","2115004","802100270","100714","0"
"114","203","2115005","802100270","100715","1"
"113","202","2115006","802100270","100716","1"
"112","207","2115007","802100270","100717","1"
"102","105","2115008","802100270","100718","0"
"103","106","2115009","802100270","100719","0"
"113","202","2115010","802100270","100720","1"
"112","205","2115011","802100271","100721","1"
"112","208","2115012","802100271","100722","1"
"117","102","2115013","802100271","100723","0"
"102","105","2115014","802100271","100724","0"
"103","106","2115015","802100271","100725","0"
"112","208","2115016","802100271","100726","1"
"110","201","2115017","802100271","100727","1"
"117","102","2115018","802100271","100728","0"
"102","105","2115019","802100271","100729","0"
"103","106","2115020","802100271","100730","0"
"104","103","2113001","802100260","100801","0"
"100","104","2113002","802100260","100802","0"
"100","104","2113003","802100260","100803","0"
"102","105","2113004","802100260","100804","0"
"102","105","2113005","802100260","100805","0"
"100","104","2113006","802100260","100806","0"
"100","104","2113007","802100260","100807","0"
"102","105","2113008","802100260","100808","0"
"102","105","2113009","802100260","100809","0"
"101","107","2113010","802100260","100810","0"
"104","103","2113011","802100261","100811","0"
"100","104","2113012","802100261","100812","0"
"100","104","2113013","802100261","100813","0"
"102","105","2113014","802100261","100814","0"
"103","106","2113015","802100261","100815","0"
"100","104","2113016","802100261","100816","0"
"100","104","2113017","802100261","100817","0"
"102","105","2113018","802100261","100818","0"
"103","106","2113019","802100261","100819","0"
"100","104","2113020","802100261","100820","0"
"104","103","2113021","802100262","100821","0"
"100","104","2113022","802100262","100822","0"
"100","104","2113023","802100262","100823","0"
"102","105","2113024","802100262","100824","0"
"102","105","2113025","802100262","100825","0"
"112","208","2113026","802100262","100826","1"
"110","201","2113027","802100262","100827","1"
"102","105","2113028","802100262","100828","0"
"103","106","2113029","802100262","100829","0"
"104","103","2113030","802100262","100830","0"
