09d23c8c997b267dc82e58da9f097f4e0aee7862fb7ed2e71b6087ac95984f8d,f903f6e06a9d087a68fc66293c461149062e521473ea6f23bc492691e004ff8e,38d0532ac2c864c78a858cd67a8d9414930210afff01de28b6c7d11afbf8a1d3,8a0ba5091f304fe3d29e2c6665d4b649b039318f82a7e27fdf37ad3881978017,ae4e5d569a5e0e60a52b6ebaccbc106603af2324de1ddedc82f78d9527107ff4,c6d073702ec787ae219de9c6cceb081dc344ad5f7354a3b213bf70288169ac5a,a1f92e96425fa937c3e9670a2b47ac1f04f31a1968606c12f35f194d8408a941,fff7743c4a0865b2b8ce262c6d598d0c02efa6770a0fc2aa6db3b7db7fcc3387,cb5e2ba2305f2bbad2ae5f696763ab020fe7409d0a485b68388a17644fd3e623,578a2eef26bb8fc7f44239baafef8216fe15ee5fcb3eb5aa9413f54fe9acf8b7,f1676ea35b561af7efef3eb6818950d01aecb782123ea76cbae32bac91534e02
"1","100","-216","1","1001","idle_normal","1.4","-103","1","1","5"
"13","-57","-140","13","1002","","0","1","","1","31"
"14","-57","-140","14","1003","","0","1","","1","31"
"0","","","0","1004","","","","","1","91"
"top_luis_arm_crossed_in","0","top_luis_arm_crossed_idle","1","1005","","0.2","1","0","1","3"
"0","","","4","1006","","","","","1","93"
"top_luis_approach_in","0","top_luis_approach_idle","1","1007","","0.2","1","0","1","3"
"0","","","3.5","1008","","","","","1","93"
"top_luis_thinking","1","","1","1009","","0.2","","","1","3"
"0","","","3.5","1010","","","","","1","93"
"top_luis_walk_think","1","","1","1011","","0.2","","","1","3"
"-495","-103","2","1","1012","","","0","","1","2"
"0","","","2","1013","","","","","1","93"
"0","","","1","1014","","","","","1","4"
"-216","-103","2","1","1015","","","0","","1","2"
"0","","","2","1016","","","","","1","93"
"top_luis_notice","1","","1","1017","","0","","","1","3"
"0","","","1","1018","","","","","1","93"
"top_luis_walk_jog","1","","1","1019","","0.2","","","1","3"
"-100","-130","0.5","1","1020","","","0","","1","2"
"0","","","0.5","1021","","","","","1","93"
"1","","","1","1022","","","","","1","4"
"top_luis_sit_in","0","top_luis_sit_idle","1","1023","","0.2","1","0","1","3"
"0","","","0.1","1024","","","","","1","93"
"-57","-140","0.4","1","1025","","","0","","1","2"
"0","","","1","1026","","","","","1","93"
"top_luis_experiment_failer_in","0","","1","1027","","0.2","","","1","3"
"0","","","2.3","1028","","","","","1","93"
"top_luis_experiment_failer_mix","0","","1","1029","","0.1","","","1","3"
"0","","","2.7","1030","","","","","1","93"
"1","","","13","1031","","","","","1","32"
"top_luis_experiment_failer_burst","0","","1","1032","","0.1","","","1","3"
"0","","","2.7","1033","","","","","1","93"
"top_luis_experiment_failer_out","0","","1","1034","","0.1","","","1","3"
"0","","","1.1","1035","","","","","1","93"
"top_luis_sit_out","0","idle_normal","1","1036","","0.2","1","0","1","3"
"-100","-130","0.3","1","1037","","","0","","1","2"
"0","","","1","1038","","","","","1","93"
"walk_normal","0","","1","1039","","0.2","","","1","3"
"-216","-103","1","1","1040","","","0","","1","2"
"0","","","1","1041","","","","","1","93"
"idle_normal","0","","1","1042","","0.1","","","1","3"
"0","","","0.8","1043","","","","","1","93"
"0","","","13","1044","","","","","1","32"
"top_luis_arm_crossed_in","0","top_luis_arm_crossed_idle","1","1045","","0.2","1","0","1","3"
"0","","","4","1046","","","","","1","93"
"top_luis_approach_in","0","top_luis_approach_idle","1","1047","","0.2","1","0","1","3"
"0","","","3.5","1048","","","","","1","93"
"top_luis_thinking","1","","1","1049","","0.2","","","1","3"
"0","","","3.5","1050","","","","","1","93"
"top_luis_walk_think","1","","1","1051","","0.2","","","1","3"
"-495","-103","2","1","1052","","","0","","1","2"
"0","","","2","1053","","","","","1","93"
"0","","","1","1054","","","","","1","4"
"-216","-103","2","1","1055","","","0","","1","2"
"0","","","2","1056","","","","","1","93"
"top_luis_notice","1","","1","1057","","0","","","1","3"
"0","","","1","1058","","","","","1","93"
"top_luis_walk_jog","1","","1","1059","","0.2","","","1","3"
"-100","-130","0.5","1","1060","","","0","","1","2"
"0","","","0.5","1061","","","","","1","93"
"1","","","1","1062","","","","","1","4"
"top_luis_sit_in","0","top_luis_sit_idle","1","1063","","0.2","1","0","1","3"
"0","","","0.1","1064","","","","","1","93"
"-57","-140","0.4","1","1065","","","0","","1","2"
"0","","","1","1066","","","","","1","93"
"top_luis_experiment_success_in","0","","1","1067","","0.2","","","1","3"
"0","","","2.3","1068","","","","","1","93"
"top_luis_experiment_success_mix","0","","1","1069","","0.1","","","1","3"
"0","","","2.7","1070","","","","","1","93"
"1","","","14","1071","","","","","1","32"
"top_luis_experiment_success_burst","0","","1","1072","","0.1","","","1","3"
"0","","","2.7","1073","","","","","1","93"
"top_luis_experiment_success_out","0","","1","1074","","0.1","","","1","3"
"0","","","1.1","1075","","","","","1","93"
"top_luis_sit_out","0","idle_normal","1","1076","","0.2","1","0","1","3"
"-100","-130","0.3","1","1077","","","0","","1","2"
"0","","","1","1078","","","","","1","93"
"walk_normal","0","","1","1079","","0.2","","","1","3"
"-216","-103","1","1","1080","","","0","","1","2"
"0","","","1","1081","","","","","1","93"
"idle_normal","0","","1","1082","","0.1","","","1","3"
"0","","","0.8","1083","","","","","1","93"
"0","","","14","1084","","","","","1","32"
"","0","0","1005","1085","","","","","1","101"
"2","100","400","2","2001","top_iroha_read","1.43","-130","1","2","5"
"11","101","980","11","2002","butterfly","1.4","130","1","2","5"
"11","400","-130","11","2003","","0","1","","2","31"
"0","","","0","2004","","","","","2","91"
"top_iroha_read","1","","2","2005","","0.2","","","2","3"
"0","","","9","2006","","","","","2","93"
"1","","","11","2007","","","","","2","4"
"-980","130","7","11","2008","","","0","","2","2"
"0","","","2.5","2009","","","","","2","93"
"top_iroha_read_notice","0","","2","2010","","0.2","","","2","3"
"0","","","0.6","2011","","","","","2","93"
"top_iroha_notice_to_run","0","top_iroha_run","2","2012","","0","1","0","2","3"
"0","","","0.4","2013","","","","","2","93"
"1","","","11","2014","","","","","2","32"
"smokeR","","","11","2015","","","","","2","37"
"-980","-130","4.2","11","2016","","","0","","2","33"
"-980","-130","4.2","2","2017","","","0","","2","2"
"0","","","4.2","2018","","","","","2","93"
"0","","","11","2019","","","","","2","32"
"0","","","1","2020","","","","","2","93"
"0","","","11","2021","","","","","2","4"
"980","130","7","11","2022","","","0","","2","2"
"0","","","1.5","2023","","","","","2","93"
"1","","","11","2024","","","","","2","32"
"smokeL","","","11","2025","","","","","2","37"
"980","-130","5.964","11","2026","","","0","","2","33"
"top_iroha_run_joy","1","","2","2027","","0","","","2","3"
"0","","","2","2028","","","","","2","4"
"980","-130","5.964","2","2029","","","0","","2","2"
"0","","","5.964","2030","","","","","2","93"
"0","","","11","2031","","","","","2","32"
"0","","","2","2032","","","","","2","93"
"top_iroha_walk","1","","2","2033","","0","","","2","3"
"1","","","2","2034","","","","","2","4"
"400","-130","3","2","2035","","","0","","2","2"
"400","-130","3","11","2036","","","0","","2","33"
"0","","","3","2037","","","","","2","93"
"top_iroha_walk_out","0","idle_normal","2","2038","","0.2","1","0","2","3"
"0","","","0.4","2039","","","","","2","93"
"top_iroha_sit_in","0","","2","2040","","0.2","","0.2","2","3"
"0","","","4","2041","","","","","2","93"
"","","","2005","2042","","","","","2","101"
"3","100","350","3","3001","top_sono_readPaper","1.38","-130","1","3","5"
"10","475","-18","10","3002","","1","1","","3","31"
"0","","","0","3003","","","","","3","91"
"top_sono_readPaper","1","","3","3004","","0.2","","","3","3"
"0","","","13.6","3005","","","","","3","93"
"top_sono_sit_out","0","top_sono_stretch","3","3006","","0.2","1","0","3","3"
"0","","","3.5","3007","","","","","3","93"
"top_sono_drink","1","","3","3008","","0.2","","","3","3"
"","","","10.5","3009","","","","","3","93"
"top_sono_sit_in","0","","3","3010","","0.2","","","3","3"
"0","","","2.6","3011","","","","","3","93"
"","","","3004","3012","","","","","3","101"
"2","101","400","2","4001","top_iroha_read","1.43","-130","1","4","5"
"1","100","-216","1","4002","top_luis_thinking","1.4","-103","1","4","5"
"11","102","980","11","4003","butterfly","1.4","130","1","4","5"
"11","400","-130","11","4004","","0","1","","4","31"
"0","","","0","4005","","","","","4","91"
"top_luis_thinking","1","","1","4006","","0.2","","","4","3"
"top_iroha_read","1","","2","4007","","0.2","","","4","3"
"0","","","9","4008","","","","","4","93"
"1","","","11","4009","","","","","4","4"
"-980","130","7","11","4010","","","0","","4","2"
"0","","","2.5","4011","","","","","4","93"
"top_iroha_read_notice","0","","2","4012","","0.2","","","4","3"
"0","","","0.6","4013","","","","","4","93"
"top_iroha_notice_to_run","0","top_iroha_run","2","4014","","0","1","0","4","3"
"0","","","0.4","4015","","","","","4","93"
"1","","","11","4016","","","","","4","32"
"smokeR","","","11","4017","","","","","4","37"
"-980","-130","4.2","11","4018","","","0","","4","33"
"-980","-130","4.2","2","4019","","","0","","4","2"
"0","","","1.9","4020","","","","","4","93"
"top_luis_surprise_in","0","top_luis_surprise_idle","1","4021","","0.2","1","0","4","3"
"0","","","2.3","4022","","","","","4","93"
"0","","","11","4023","","","","","4","32"
"0","","","1","4024","","","","","4","93"
"0","","","11","4025","","","","","4","4"
"980","130","7","11","4026","","","0","","4","2"
"0","","","1.5","4027","","","","","4","93"
