98ac7ca2fb2e36d138e7daf77955f4ec2e1ec09b65834ad226a426b888b4a383,f6a67f8cc433cef2ebebb070d6d5f89b6cbb9830b3b7d58b94e862e0a29f0fd8,21937fc2a28a10f189a218da384695f3dd787311d16acee49834f477269f06e6
"#E24E7F","101","pink"
"#E24E7F","102","pink"
"#E24E7F","103","pink"
"#E24E7F","104","pink"
"#E24E7F","105","pink"
"#E24E7F","106","pink"
"#E24E7F","107","pink"
"#E24E7F","108","pink"
"#E24E7F","109","pink"
"#E24E7F","110","pink"
"#3290D4","200","lightblue"
"#3290D4","201","lightblue"
"#3290D4","202","lightblue"
"#3290D4","203","lightblue"
"#3290D4","204","lightblue"
"#3290D4","205","lightblue"
"#3290D4","206","lightblue"
"#3290D4","207","lightblue"
"#3290D4","208","lightblue"
"#3290D4","209","lightblue"
"#3290D4","210","lightblue"
"#3290D4","211","lightblue"
"#E5681E","301","orange"
"#E5681E","302","orange"
"#E5681E","303","orange"
"#E5681E","304","orange"
"#E5681E","305","orange"
"#C09825","401","yellow"
"#C09825","402","yellow"
"#C09825","403","yellow"
"#C09825","404","yellow"
"#C09825","405","yellow"
"#476FD8","501","blue"
"#339910","601","green"
"#339910","602","green"
"#339910","603","green"
"#0F8B5E","1000","darkgreen"
"#E5681E","1001","orange"
"#339910","1002","green"
"#E24E7F","1003","pink"
"#3290D4","1004","lightblue"
"#C09825","1005","yellow"
"#C09825","1006","yellow"
"#C09825","1007","yellow"
"#C09825","1008","yellow"
"#C09825","1009","yellow"
"#C09825","1010","yellow"
"#3290D4","1011","lightblue"
"#E5681E","1012","orange"
"#3290D4","1013","lightblue"
"#E24E7F","1014","pink"
"#C09825","1015","yellow"
"#339910","1016","green"
"#E5681E","1017","orange"
