5ade820dfebc815539dc1f02788f3ac63e4d29c28157c173975d203870a84a53,3076dfb1942c9489c90b696e3abe4d8403e0e5646f727b7eed0ceb6c1b71dbc9,fe6b43ae9ed97748c6c46e140b4b3836ab0f0c1bafa86b5f64b19a074252f24a,79680b8a83c71529b7a5d68a399f9eb099154bd209faea27d566eed27f37b306,dbd0a146c183aed0b70749bb868be6f1d58124eaee444a3d507ff06064095829,43ca06b37db98177964758f9ae1985f814a7a166f37348a6f5e32b3f6678493d,ebba2c805249625c95bd758ca6d609054f8195f4536f69be2ef5db771e1729cc,489c60cfb7ea247fb972d3aea2dfaa7f0ced86ff44f47f118c64e1fa5f044afc,af81996f9b8bbd41c2a9f44f6fd09737bf011f8526cb3972904ae1f104e091bd
"6","1","3","3","2","1","2","100101","2"
"5","3","3","2","1","2","1","100201","1"
"7","1","2","3","3","3","1","100301","2"
"13","1","2","3","2","3","2","100401","2"
"18","2","3","1","2","2","2","100501","3"
"25","1","3","2","2","2","1","100601","3"
"26","3","3","2","3","2","2","100701","1"
"40","3","2","1","3","3","2","100801","1"
"34","1","2","3","3","2","1","100901","3"
"8","3","3","2","1","2","1","101001","1"
"56","2","3","2","2","2","3","101101","1"
"43","1","1","3","2","2","3","101201","2"
"33","1","3","1","2","3","1","101301","3"
"11","3","2","1","1","2","1","101401","2"
"42","3","2","2","1","3","1","101501","1"
"46","2","3","1","2","3","3","101601","1"
"10","1","3","1","2","2","3","101701","2"
"45","3","2","1","1","3","1","101801","2"
"12","2","3","3","1","1","2","102001","2"
"30","1","3","2","1","3","1","102101","2"
"24","1","1","2","1","3","3","102201","2"
"31","1","3","3","2","1","2","102301","3"
"29","3","2","1","1","2","3","102501","1"
"51","3","3","2","1","1","2","102601","1"
"36","2","1","3","3","3","2","102701","1"
"28","2","2","1","1","3","2","102801","1"
"52","2","3","2","1","2","2","102901","1"
"39","2","3","1","2","3","1","103001","2"
"27","3","2","3","3","1","2","103101","1"
"19","3","1","3","2","2","2","103201","1"
"48","2","3","3","2","1","1","103301","2"
"20","2","1","2","1","2","2","103401","3"
"14","3","1","1","3","2","2","103601","3"
"17","1","2","1","3","3","2","103701","3"
"49","3","2","2","3","1","1","103801","3"
"44","2","1","2","1","1","3","104001","3"
"53","3","2","1","3","2","2","104201","2"
"9","1","2","3","3","2","3","104301","1"
"23","3","2","3","3","1","1","104401","2"
"38","2","2","2","1","2","1","104501","3"
"21","3","2","2","2","1","3","104601","1"
"15","1","2","1","3","2","3","104701","3"
"22","1","1","2","3","3","3","104801","2"
"55","2","2","3","1","2","2","104901","1"
"47","2","3","1","1","2","3","105001","2"
"35","3","1","1","3","1","3","105101","2"
"50","2","3","2","2","2","2","105201","1"
"37","1","2","3","3","3","2","105301","1"
"54","2","3","2","2","1","3","105401","1"
"41","2","2","3","1","1","1","105501","3"
"32","1","3","2","3","2","3","105601","1"
"67","1","3","2","1","2","2","105701","2"
"1","2","3","2","2","2","2","105801","1"
"2","3","2","2","1","2","1","105901","2"
"3","2","2","1","3","1","3","106001","3"
"58","1","3","3","2","2","2","106101","2"
"68","1","3","3","1","1","2","106301","2"
"4","1","3","2","1","2","2","106401","3"
"61","1","3","1","3","2","2","106501","3"
"62","3","3","1","2","1","2","106601","3"
"60","2","2","1","3","2","1","106701","2"
"57","1","1","1","1","2","2","106801","3"
"59","3","1","2","3","1","1","107001","2"
"16","1","1","2","3","3","2","107101","2"
"70","2","2","2","1","2","1","109201","2"
"72","2","3","2","2","2","3","109301","1"
"71","1","2","1","3","3","3","109401","2"
"64","1","2","2","1","2","3","110801","2"
"65","2","2","1","2","3","2","110901","1"
"63","3","3","1","3","1","1","111001","2"
"69","2","2","2","2","1","3","111401","3"
"66","3","1","1","2","2","3","118001","2"
