1ceda40092f3c8247760abe5367df30f73244930424b510e24ec1720904e4830,434a052bc8e9fb8ff8cb4cc99ff7b872da00d9fc0d71e7e80cf177393e15c93f,196a21b6373b05c7c3c8e16d30baaff793e79fb941dea8a96b2409dbae806635
"101","1","1"
"103","1","2"
"105","1","3"
"101","2","4"
"102","2","5"
"103","2","6"
"105","2","7"
"101","3","8"
"102","3","9"
"103","3","10"
"101","4","11"
"103","4","12"
"104","4","13"
"105","4","14"
"103","5","15"
"104","5","16"
"105","5","17"
"102","6","18"
"104","6","19"
"106","6","20"
"101","7","21"
"102","7","22"
"106","7","23"
"102","8","24"
"103","8","25"
"106","8","26"
"103","9","27"
"104","9","28"
"105","9","29"
"101","10","30"
"103","10","31"
"105","10","32"
"107","11","33"
"108","11","34"
