abf59c22bc77173825c49242148ef07e8a849762e039d7f777a4f9183098de49,30bdd41edbf6100d89cbd39e2d49c282694b1de50c640cb1bb85638e7ed65e28,a30dee0765bc8b83e0fa3103a270cc18d25ecb0c63b60fd340561c40f10ba75f,08d4109885a37b525d151d95334d8992ceea59149f581fa3ad1472b20a8262e6,9d44106bb9b98fde52769a3a669725a5a50190ddfa4891976775b3dfdd17b135
"25011","2","1000","32000101","320001011"
"25012","2","1000","32000101","320001012"
"25013","2","1000","32000102","320001021"
"25014","2","1000","32000102","320001022"
"91002","8","1000","32000103","320001031"
"94002","12","3000000","32000103","320001032"
"25015","2","1000","32000103","320001033"
"25021","2","1000","32000103","320001034"
"25013","2","1000","32000104","320001041"
"25014","2","1000","32000104","320001042"
"25012","2","1000","32000105","320001051"
"25015","2","1000","32000105","320001052"
"91002","8","1000","32000106","320001061"
"94002","12","3000000","32000106","320001062"
"25011","2","1000","32000106","320001063"
"25021","2","1000","32000106","320001064"
"25014","2","1000","32000107","320001071"
"25015","2","1000","32000107","320001072"
"25011","2","1000","32000108","320001081"
"25013","2","1000","32000108","320001082"
"91002","8","1000","32000109","320001091"
"94002","12","3000000","32000109","320001092"
"25012","2","1000","32000109","320001093"
"25021","2","1000","32000109","320001094"
"25011","2","3000","32000110","320001101"
"25012","2","3000","32000110","320001102"
"25013","2","3000","32000110","320001103"
"25014","2","3000","32000110","320001104"
"25015","2","3000","32000110","320001105"
"25011","2","3000","32000111","320001111"
"25012","2","3000","32000111","320001112"
"25013","2","3000","32000111","320001113"
"25014","2","3000","32000111","320001114"
"25015","2","3000","32000111","320001115"
"25011","2","3000","32000112","320001121"
"25012","2","3000","32000112","320001122"
"25013","2","3000","32000112","320001123"
"25014","2","3000","32000112","320001124"
"25015","2","3000","32000112","320001125"
"21953","2","1","32000113","320001131"
"25021","2","2000","32000113","320001132"
