aa47fe946a5d1754c9ccb7493a5176d5c1a311c74123b0f8b444f11f1da2e51c,be0c8877705cecd7940eb62161ebd7b8a7c918ae2426f1bc6f8e4acb20b2d9e5,d991fa60388179c14da16a3d88b3743d323a0e037e761076666a663f9219667d,2083a59d5e7962d52e43b63ec51796b3c462e9142f1e0aee6050bcf61fd6ef19,29d6b6995dd2886e99fffbdc9d1fb4a41a7103c9416bbcd0402788317941c198,9a7ddf61e9a8d053908bf8d31fa240d67e03e3d86ad5746097caef88395418bd,c1f9550a7db1dccdba70443808b847ce4a2322cff1b49917fe5a7b7f4f40eecc,2006e17b97fc830c12927fcd66cce3c4c3f9a125ecde2fa3f8e10509151de541,cb5d202da12cf2ed514fbe6718fb19d56a37f93d324f2dd7658483a7d8a034d5,905f7018c6202580153c2c4996c536f731da13eff665a76886cf699cf4beaba0,5b6d2d61c75af5b3120c52d5ab00b8c55275ba821c222d42efc5a04c55a9b9e8,1010742e93ce50abca79460357a29065de4f9b9c05c0722ad4cfff9db1802f5c,44744538ffc296243488c82656703c766e189cf791d81c291ff17b12ec6d9788,3bd3472c6b25098fce12d6189b9d778f622127ab07a5af44b9c526f6588d90cc
"塔爾格姆地區","bgm_M32","0","0","20001","0","0","20001101","bgm_M32","0","1","201","0","1"
"塔爾格姆地區","bgm_M32","0","0","20001","0","0","20001201","bgm_M32","0","0","201","0","1"
"馬席納地區","bgm_M98_2","0","0","20002","0","0","20002101","bgm_M98","0","0","201","0","1"
"馬席納地區","bgm_M98_2","0","0","20002","0","0","20002201","bgm_M98","0","0","201","0","1"
"蘭德索爾郊外","bgm_M106","0","0","20003","0","0","20003101","bgm_M106","0","0","201","0","1"
"蘭德索爾郊外","bgm_M106","0","0","20003","0","0","20003201","bgm_M106","0","0","201","0","1"
"塔帕斯海灘 周邊","bgm_M112","0","0","20004","0","0","20004101","bgm_M112","0","0","201","0","1"
"塔帕斯海灘 周邊","bgm_M112","0","0","20004","0","0","20004201","bgm_M112","0","0","201","0","1"
"伊爾席翁的孤島","bgm_M121","0","0","20005","0","0","20005101","bgm_M121","0","0","201","0","1"
"伊爾席翁的孤島","bgm_M121","0","0","20005","0","0","20005201","bgm_M121","0","0","201","0","1"
"王城蘭德索爾","bgm_M128","0","0","20006","85","0","20006101","bgm_M128","0","0","201","0","1"
"王城蘭德索爾","bgm_M128","0","0","20006","0","0","20006201","bgm_M128","0","0","201","0","1"
"蘭德索爾郊外","bgm_M135","0","0","20007","0","0","20007101","bgm_M135","0","1","201","0","1"
"靈界","bgm_M29","208","1","20007","0","0","20007102","bgm_M29","202","2","201","80","1"
"蘭德索爾中央地區","bgm_M135","209","1","20007","0","1","20007103","bgm_M135","202","3","201","0","1"
"蘭德索爾郊外","bgm_M135","0","0","20007","0","31","20007201","bgm_M135","0","1","201","0","1"
"蘭德索爾近郊","bgm_M162","0","0","20008","35","0","20008101","bgm_M162","0","0","201","0","1"
"蘭德索爾近郊","bgm_M162","0","0","20008","0","0","20008201","bgm_M162","0","0","201","0","1"
"咲戀育幼院","bgm_M171","0","0","20009","110","11","20009101","bgm_M171","0","1","201","0","1"
"王城蘭德索爾","bgm_M171","0","0","20009","0","0","20009201","bgm_M171","0","1","201","0","1"
"往神殿的參道","bgm_M182","0","0","20010","1","0","20010101","bgm_M182","0","1","201","180","1"
"往神殿的參道","bgm_M182","0","0","20010","0","0","20010201","bgm_M182","0","1","201","0","1"
"王城蘭德索爾","bgm_M189","0","0","20011","0","0","20011101","bgm_M189","0","1","201","0","1"
"廚房競技場","bgm_M189","0","0","20011","110","0","20011102","bgm_M189","0","2","201","0","1"
"廚房競技場","bgm_M189","0","0","20011","0","0","20011201","bgm_M189","0","1","201","0","1"
"王城蘭德索爾","bgm_M206","0","0","20012","115","0","20012101","bgm_M206","0","1","201","0","1"
"王城蘭德索爾","bgm_M206","0","0","20012","0","0","20012201","bgm_M206","0","1","201","0","1"
"加托羅斯山","bgm_M215","0","0","20013","100","0","20013101","bgm_M215","0","1","201","0","1"
"光之裂縫","bgm_M215","208","1","20013","0","11","20013102","bgm_M215","202","2","201","0","1"
"光之裂縫","bgm_M215","0","0","20013","0","0","20013201","bgm_M215","0","1","201","0","1"
"大江戶町","bgm_M223","0","0","20014","120","0","20014101","bgm_M223","0","1","201","0","1"
"大江戶町","bgm_M223","0","0","20014","0","0","20014201","bgm_M223","0","1","201","0","1"
"晴雨海灘","bgm_M237","0","0","20015","98","12","20015101","bgm_M237","0","1","201","0","1"
"晴雨海灘","bgm_M237","0","0","20015","0","0","20015201","bgm_M237","0","0","201","0","1"
"真步真步王國避暑聖地？","bgm_M245_02","0","0","20016","150","0","20016101","bgm_M245","0","0","201","0","1"
"真步真步王國避暑聖地？","bgm_M245_02","0","0","20016","0","0","20016201","bgm_M245","0","0","201","0","1"
"聖德蕾莎女子學院","bgm_M254","0","0","20017","70","0","20017101","bgm_M254","0","1","201","0","1"
"聖德蕾莎女子學院","bgm_M254","0","0","20017","0","0","20017201","bgm_M254","0","0","201","0","1"
"鬼屋附近地區","bgm_M265_Top","0","0","20018","0","0","20018101","bgm_M265","0","1","201","0","1"
"鬼魂墓地","bgm_M265_Top","0","1","20018","0","0","20018102","bgm_M265","202","2","201","0","1"
"鬼魂墓地","bgm_M265_Top","0","0","20018","0","0","20018201","bgm_M265","0","1","201","0","1"
"艾爾皮斯島 開墾營地一帶","bgm_M273","0","0","20019","90","0","20019101","bgm_M273","0","0","201","0","1"
"艾爾皮斯島 開墾營地一帶","bgm_M273","0","0","20019","0","0","20019201","bgm_M273","0","0","201","0","1"
"王都蘭德索爾 郊外","bgm_M281","0","0","20020","0","0","20020101","bgm_M281","0","1","201","0","1"
"王都蘭德索爾 中央廣場","bgm_M281","0","0","20020","0","11","20020102","bgm_M281","0","2","201","0","1"
"王都蘭德索爾 中央廣場","bgm_M281","0","0","20020","0","0","20020201","bgm_M281","0","1","201","0","1"
"公會競速賽　1區→2區","bgm_M294","0","0","20021","30","0","20021101","bgm_M294","0","1","201","0","1"
"公會競速賽　3區→4區","bgm_M294","0","0","20021","30","0","20021102","bgm_M294","0","2","201","0","1"
"公會競速賽　3區→4區","bgm_M294","0","0","20021","0","0","20021201","bgm_M294","0","1","201","0","1"
