6b526d4b66b7c42c1d3674ed9bd6ddf755629c28f93c36a9fe39853531f26b55,6a4a0463575920960dbe9bb5f3fe268922d3fca0f56435e7019c680347afc47e,06506acc18b5aad2dad502693feea05c5dceffb7a1f69ef3f0bc4ab145a51c1f,dd907b011bb77832c8ca6f31951badfa6351b76c38961eb04399c8266161445a
"1st Anniversary 特別登入獎勵","10000","2019/08/01 05:00:00","2019/08/15 04:59:00"
"1.5Year Anniversary 特別登入獎勵","10002","2020/01/21 05:00:00","2020/02/07 04:59:59"
"2nd Anniversary 特別登入獎勵","10003","2020/06/22 05:00:00","2020/07/08 04:59:59"
"2.5 Year Anniversary 特別登入獎勵","10004","2021/02/09 05:00:00","2021/02/26 04:59:59"
"3rd Anniversary 特別登入獎勵","10005","2021/08/01 05:00:00","2021/08/15 04:59:59"
"3.5 Year Anniversary 特別登入獎勵","10006","2022/02/01 05:00:00","2022/02/18 04:59:59"
"4th Anniversary 特別登入獎勵","10007","2022/08/01 05:00:00","2022/08/15 04:59:59"
"4.5 Year Anniversary 特別登入獎勵","10008","2023/01/20 05:00:00","2023/02/06 04:59:59"
"5th Anniversary 特別登入獎勵","10009","2023/08/01 05:00:00","2023/08/15 04:59:59"
"5.5 Year Anniversary 特別登入獎勵","10010","2024/02/07 05:00:00","2024/02/24 04:59:59"
"6th Anniversary 特別登入獎勵","10011","2024/08/01 05:00:00","2024/08/16 04:59:59"
"6.5 Year Anniversary 特別登入獎勵","10012","2025/02/01 05:00:00","2025/02/18 04:59:59"
