60ae3fb5762e791a0612cbabc8ea06df37fec222fd71e962d6ab188fdfa9f78d,e744b626509ce96daa56138e5ed921dfab0f44b02b1f9f55ced24f2e5afb921c,ec6f32c104241bf0f292081e74243b3a89c451145fae39d868256cea0fa2310e,7ea08c3bd3086995d9d3c776190a12cc3dfc6d5f33554324e49bf8a31d3b8127,e12666d025c8500dc1319c965ec1eeef347e00ac90343fb7a338c6e2c6175f88,241b41b946b1846303e0890fdaffbbdf34ece125bd6ad2f1df8ca5f213b2f263,2e2b63af16ee0af105d9a77456cff5bc24c50351d75195d7253519506a9c445a,4b200259c0185fb8934abde590558628ec9dce58cc38611aba0bd0c1f9c7d22c
"1","1","ㄧㄥ","ㄨㄛ","蘋果","紅色又酸酸甜甜的水果。","10001","1000100"
"1","2","ㄧㄣ","ㄕ","禁忌的果實","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","10001","1000101"
"1","2","ㄓ","ㄨㄛ","智慧之果","吃了可以增強記憶力，提高智能的水果。","10001","1000102"
"1","1","ㄟ","ㄧㄥ","黑猩猩","又強又黑還很強壯。最愛香蕉的生物。","10002","1000200"
"1","2","ㄧㄥ","ㄟ","靈長類","動物分類中的一種。","10002","1000201"
"1","2","ㄨ","ㄡ","嗚吼嗚吼","形容大猩猩兇猛叫聲的擬聲語。","10002","1000202"
"1","3","ㄓ","ㄧㄢ","擲岩猴仙","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","10002","1000203"
"1","1","ㄚ","ㄚ","喇叭","統稱特定的銅管樂器的說法。","10003","1000300"
"1","2","ㄧㄠ","ㄠ","小號","銅管樂器中的一種。","10003","1000301"
"1","2","ㄨㄢ","ㄧ","管樂器","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","10003","1000302"
"1","1","ㄥ","ㄧ","鳳梨","生長在溫暖地區，黃色且味道酸甜的水果。","10004","1000400"
"1","1","ㄛ","ㄨㄛ","菠蘿","在某些地區就是這樣叫這種水果的。","10004","1000401"
"1","1","ㄨㄤ","ㄞ","旺來","「鳳梨」的台語讀音。","10004","1000402"
"1","1","ㄨㄥ","ㄕ","紅寶石","也有人稱其為寶石女王，鮮艷的紅色寶石。","10005","1000500"
"1","1","ㄠ","ㄕ","寶石","用在裝飾品中，既美麗又珍貴的礦物。","10005","1000501"
"1","2","ㄛ","ㄕ","魔法石","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","10005","1000502"
"1","3","ㄧㄡ","ㄣ","秋乃的胸針","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","10005","1000503"
"1","3","ㄗ","ㄕ","紫藤紅輝石","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","10005","1000504"
"1","1","ㄧ","ㄧㄡ","啤酒","用穀物釀成的酒類。","10006","1000600"
"1","1","ㄧㄡ","ㄟ","酒杯","用單手拿著，裝飲料用的容器。","10006","1000601"
"1","2","ㄞ","ㄧㄡ","麥酒","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","10006","1000602"
"1","3","ㄥ","ㄨㄟ","生命之水","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","10006","1000603"
"1","1","ㄨㄥ","ㄧㄢ","弓箭","用弓與箭組成的武器。","10007","1000700"
"1","1","ㄧㄢ","ㄕ","箭矢","「箭」的別種說法。","10007","1000701"
"1","2","ㄩㄢ","ㄧ","遠距離武器","指可以飛得很遠的攻擊型武器。","10007","1000702"
"1","2","ㄧㄡ","ㄜ","邱比特","羅馬神話中的小愛神。","10007","1000703"
"1","2","ㄚ","ㄧㄝ","打獵","獵殺動物的行為。","10007","1000704"
"1","2","ㄡ","ㄧㄝ","狩獵","人類獵殺動物以取得資源的行為。","10007","1000705"
"1","1","ㄧㄣ","ㄨ","音符","在音樂上用來表示音高的記號。","10008","1000800"
"1","1","ㄩㄢ","ㄩ","旋律","音樂中音符的流動。","10008","1000801"
"1","2","ㄡ","ㄧ","ㄉㄡㄖㄨㄟㄇㄧ","將音階由低到高排列 3個。","10008","1000802"
"1","2","ㄜ","ㄧㄢ","和弦","數個音符根據樂理結成的組合。","10008","1000803"
"1","1","ㄧㄢ","ㄧㄠ","顏料","為了在畫上著色的材料。","10009","1000900"
"1","1","ㄨㄟ","ㄞ","水彩","水性的顏料。","10009","1000901"
"1","2","ㄨㄢ","ㄨㄢ","軟管","盛裝膏狀物的容器。","10009","1000902"
"1","2","ㄢ","ㄜ","藍色","藍色。或是憂鬱的顏色。","10009","1000903"
"1","1","ㄧㄢ","ㄧㄢ","劍","以刀刃進行攻擊的武器總稱。","10010","1001000"
"1","2","ㄨ","ㄧ","武器","用於戰鬥的工具。","10010","1001001"
"1","2","ㄨㄢ","ㄧㄢ","短劍","長度較短的劍。","10010","1001002"
"1","2","ㄧㄣ","ㄧ","近戰武器","近身格鬥用的武器。","10010","1001003"
"1","3","ㄨㄥ","ㄧㄢ","公主之劍","「貪吃佩可」的專用裝備。能帶給貪吃佩可更加強大的力量，「皇家裝備」真正的模樣。","10010","1001004"
"1","1","ㄧㄢ","ㄧㄥ","眼鏡","為了補正視力，在眼睛周邊戴在身上的道具。","10011","1001100"
"1","2","ㄧㄥ","ㄧㄢ","鏡片","用在眼鏡或各式東西上，折射光線用的透明物體。","10011","1001101"
"1","2","ㄨ","ㄗ","書呆子","只知道念書並對其餘事情一竅不通的人。","10011","1001102"
