de6f6a10efd93e280b3e9834a2bd281b96e5cec2bf6590d17111614388452c29,9afc10fe5d3bf548f164df7d91bb0e578c50c311f5846af05bb5210b19febe66,829759482770f96673efafd89d5d6ee4685aba0bf66672ec630e61d7d5b59bbb,e294ecd469e3da63799cb83491ed0128740d9ca45b81eb2419e703ab5b7ce408,dcbcbf3df9c7598ad520967f259ef114e8ffa29a216e7089e8f4d2dd4b083828,d5adb6c99e6feff19ba476ce3e38413c32cf22f58b920c849cc66a0d085e4a92
"6","60000001","4","10011001","101011","1"
"6","60000002","4","10011001","101071","1"
"6","60000003","4","10011001","101101","1"
"7","60000004","4","10011001","101131","1"
"6","60000005","4","10011001","101161","1"
"6","60000006","4","10011001","101191","1"
"7","60000007","4","10011001","101251","1"
"7","60000008","4","10011001","101281","1"
"7","60000009","4","10011001","101371","1"
"7","60000010","4","10011001","101401","1"
"7","60000011","4","10011001","101431","1"
"7","60000012","4","10011001","101521","1"
"7","60000013","4","10011001","101551","1"
"7","60000014","4","10011001","101581","1"
"7","60000015","4","10011001","101611","1"
"2","60000016","4","10011002","102011","1"
"2","60000017","4","10011002","102013","1"
"2","60000018","4","10011002","102014","1"
"2","60000019","4","10011002","102041","1"
"2","60000020","4","10011002","102071","1"
"2","60000021","4","10011002","102101","1"
"2","60000022","4","10011002","102131","1"
"2","60000023","4","10011002","102162","1"
"2","60000024","4","10011002","102163","1"
"2","60000025","4","10011002","102191","1"
"2","60000026","4","10011002","102192","1"
"2","60000027","4","10011002","102221","1"
"2","60000028","4","10011002","102222","1"
"2","60000029","4","10011002","102251","1"
"3","60000030","4","10011002","102252","1"
"3","60000031","4","10011002","102281","1"
"3","60000032","4","10011002","102461","1"
"3","60000033","4","10011002","102551","1"
"3","60000034","4","10011002","102552","1"
"3","60000035","4","10011002","102581","1"
"3","60000036","4","10011002","102582","1"
"3","60000037","4","10011002","102611","1"
"3","60000038","4","10011002","102612","1"
"3","60000039","4","10011002","122282","1"
"3","60000040","4","10011002","122311","1"
"3","60000041","4","10011002","122312","1"
"3","60000042","4","10011002","122341","1"
"3","60000043","4","10011002","122342","1"
"3","60000044","4","10011002","122371","1"
"3","60000045","4","10011002","122372","1"
"3","60000046","4","10011002","122401","1"
"3","60000047","4","10011002","122431","1"
"3","60000048","4","10011002","122432","1"
"3","60000049","4","10011002","122491","1"
"3","60000050","4","10011002","122493","1"
"3","60000051","4","10011002","122521","1"
"3","60000052","4","10011002","122613","1"
"3","60000053","4","10011002","122614","1"
"2","60000054","4","10011003","113011","1"
"2","60000055","4","10011003","113012","1"
"2","60000056","4","10011003","113013","1"
"2","60000057","4","10011003","113071","1"
"2","60000058","4","10011003","113101","1"
"2","60000059","4","10011003","113131","1"
"2","60000060","4","10011003","113162","1"
"2","60000061","4","10011003","113191","1"
"2","60000062","4","10011003","113221","1"
"2","60000063","4","10011003","113222","1"
"2","60000064","4","10011003","113252","1"
"3","60000065","4","10011003","113283","1"
"3","60000066","4","10011003","113342","1"
"3","60000067","4","10011003","113372","1"
"3","60000068","4","10011003","113401","1"
"3","60000069","4","10011003","113431","1"
"3","60000070","4","10011003","113521","1"
"3","60000071","4","10011003","113522","1"
"3","60000072","4","10011003","113551","1"
"3","60000073","4","10011003","113552","1"
"3","60000074","4","10011003","113553","1"
"3","60000075","4","10011003","113581","1"
"3","60000076","4","10011003","113611","1"
"3","60000077","4","10011003","113614","1"
"2","60000078","4","10011003","123041","1"
"2","60000079","4","10011003","123042","1"
"2","60000080","4","10011003","123072","1"
"2","60000081","4","10011003","123132","1"
"2","60000082","4","10011003","123161","1"
"2","60000083","4","10011003","123192","1"
"2","60000084","4","10011003","123193","1"
"2","60000085","4","10011003","123251","1"
"3","60000086","4","10011003","123281","1"
"3","60000087","4","10011003","123282","1"
"3","60000088","4","10011003","123311","1"
"3","60000089","4","10011003","123341","1"
"3","60000090","4","10011003","123343","1"
"3","60000091","4","10011003","123371","1"
"3","60000092","4","10011003","123432","1"
"3","60000093","4","10011003","123461","1"
"3","60000094","4","10011003","123491","1"
"3","60000095","4","10011003","123582","1"
"3","60000096","4","10011003","123583","1"
"3","60000097","4","10011003","123612","1"
"2","60000098","4","10011004","114011","1"
"2","60000099","4","10011004","114012","1"
"2","60000100","4","10011004","114041","1"
"2","60000101","4","10011004","114072","1"
"2","60000102","4","10011004","114102","1"
"2","60000103","4","10011004","114132","1"
"2","60000104","4","10011004","114162","1"
"2","60000105","4","10011004","114191","1"
"2","60000106","4","10011004","114221","1"
"2","60000107","4","10011004","114222","1"
"2","60000108","4","10011004","114252","1"
"3","60000109","4","10011004","114281","1"
"3","60000110","4","10011004","114282","1"
"3","60000111","4","10011004","114312","1"
"3","60000112","4","10011004","114341","1"
"3","60000113","4","10011004","114371","1"
"3","60000114","4","10011004","114372","1"
"3","60000115","4","10011004","114432","1"
"3","60000116","4","10011004","114461","1"
"3","60000117","4","10011004","114522","1"
"3","60000118","4","10011004","114551","1"
"3","60000119","4","10011004","114581","1"
"2","60000120","4","10011004","114611","1"
"2","60000121","4","10011004","124042","1"
"2","60000122","4","10011004","124071","1"
"2","60000123","4","10011004","124101","1"
"2","60000124","4","10011004","124131","1"
"2","60000125","4","10011004","124161","1"
"2","60000126","4","10011004","124192","1"
"2","60000127","4","10011004","124251","1"
"3","60000128","4","10011004","124311","1"
"3","60000129","4","10011004","124342","1"
"3","60000130","4","10011004","124401","1"
"3","60000131","4","10011004","124431","1"
"3","60000132","4","10011004","124491","1"
"3","60000133","4","10011004","124521","1"
"100","60000134","2","10012098","31012","1"
"100","60000135","2","10012099","31038","1"
"100","62001045","2","62001045","60001","1"
"100","62001046","2","62001046","60002","3"
