b19cc1c65cdb4f0cc2c95287f4b48b82f9f148f08dcc1268af010da09fe808cb,a4f9dc029a502ff064e711f52ffac724489fd6be9d83d4195c4fef5fc0c18934,03cdbf3657358a6c9c9f84d7ce9538d1244bfeeaf853d89222d21fb873fdc77d,254a3de1ef24cdde7838b2420662c79a4b135e9700e2151c108dd5ce48d759d1,953ee5fd4284a8565611c705de76d41bcfb4dacb4e4c426bb1fe517fbd7aa5b2,700ca5e891f3b7fc4ed21fa527e6ae6c3402f9de23f938e67eb5c4330db6f389,f14d8884a8f0851be258301d85eaa6fdd9cff156b580174b64bf3c7bb7c73df4,07de2b6050c353b85eba989b5cc81aeb6470b73467d437afb1c36bb0e1408153,c7c2bd654f9b4d30bfe5232eabfb452fd9d2687280191692bb4775e3a563ad77
"610201101","0","0","1","50","0","1.6","1",""
"610201151","0","0","1","-75","200","1.8","1",""
"610201201","0","0","1","50","0","1.6","1",""
"610201202","0","0","1","50","0","1.6","1",""
"610201203","0","0","1","50","0","1.6","1",""
"610201251","0","0","1","-75","200","1.65","1",""
"610201252","0","0","1","-75","200","1.8","1",""
"610201253","0","0","1","-75","200","1.8","1",""
"610201301","0","0","1","50","0","1.6","1",""
"610201302","0","0","1","50","0","1.6","1",""
"610201303","0","0","1","50","0","1.6","1",""
"610201351","0","0","1","-75","200","1.65","1",""
"610201352","0","0","1","-75","200","1.8","1",""
"610201353","0","0","1","-75","200","1.8","1",""
"610201401","0","1","2","0","0","1","0",""
"610201402","0","1","3","0","0","1","0",""
"610201403","0","1","4","0","0","1","0",""
"610201451","-200","0","2","0","0","0.78","0",""
"610201452","-140","0","3","0","0","0.78","0",""
"610201453","-60","0","4","0","0","0.78","0",""
"610201501","0","1","2","0","0","1","0",""
"610201502","0","1","3","0","0","1","0",""
"610201503","0","1","4","0","0","1","0",""
"610201551","-200","0","2","0","0","0.78","0",""
"610201552","-140","0","3","0","0","0.78","0",""
"610201553","-60","0","4","0","0","0.78","0",""
"610202101","0","0","1","-45","190","1.7","1",""
"610202201","0","0","1","-55","190","1.4","1",""
"610202202","0","0","1","-45","190","1.7","1",""
"610202203","0","0","1","-45","190","1.7","1",""
"610202301","0","0","1","-55","190","1.4","1",""
"610202302","0","0","1","-45","190","1.7","1",""
"610202303","0","0","1","-45","190","1.7","1",""
"610202401","-200","0","2","0","0","1","0",""
"610202402","-140","0","3","0","0","1","0",""
"610202403","-60","0","4","0","0","1","0",""
"610202404","-60","0","5","0","0","1","0",""
"610202501","-200","0","2","0","0","1","0",""
"610202502","-140","0","3","0","0","1","0",""
"610202503","-60","0","4","0","0","1","0",""
"610202504","-60","0","5","0","0","1","0",""
"610203101","0","0","1","-80","190","1.03","1",""
"610203201","0","0","1","-42","190","0.66","1",""
"610203202","0","0","1","-80","190","1.03","1",""
"610203203","0","0","1","-80","190","1.03","1",""
"610203301","0","0","1","-42","190","0.66","1",""
"610203302","0","0","1","-80","190","1.03","1",""
"610203303","0","0","1","-80","190","1.03","1",""
"610203401","-200","0","2","0","0","0.78","0",""
"610203402","-140","0","3","0","0","0.78","0",""
"610203403","-60","0","4","0","0","0.78","0",""
"610203404","-30","0","5","0","0","0.78","0",""
"610203501","-200","0","2","0","0","0.78","0",""
"610203502","-140","0","3","0","0","0.78","0",""
"610203503","-60","0","4","0","0","0.78","0",""
"610203504","-30","0","5","0","0","0.78","0",""
"610204101","0","0","1","-65","305","1.75","1",""
"610204201","0","0","1","-55","305","1.4","1",""
"610204202","0","0","1","-65","305","1.75","1",""
"610204203","0","0","1","-65","305","1.75","1",""
"610204301","0","0","1","-55","305","1.4","1",""
"610204302","0","0","1","-65","305","1.75","1",""
"610204303","0","0","1","-65","305","1.75","1",""
"610204401","-200","0","2","0","0","0.85","0",""
"610204402","-140","0","3","0","0","0.85","0",""
"610204403","-60","0","4","0","0","1","0",""
