116cef6cf6d9ab3df2e08961807a797f86c934ff8763ff8ff668fb0268a80b0d,4619df1266c26c5e74c902882edfe0a0328c9e55573912f07673eb3529d074bd,73761149fd9aa9947ace46241c1f3264a9869a0dfb907f4e3488a663ac85109d,548c88fee6eec8e7fc69eeb7175482d8b86b2db7fa927a6f700e2f4cbe3507e8,df89eef215d8c824f3b44cf9eac4a0c21b6765a2e9985a86da986e68123e8c05,9e1b2b5ee4b0b8ce60fdccd9ec9c9d494a375079d634701d443c10a283da0037,4877ebb96e762839fd3aa77b753875925cbf43f5c44ec0fed4af301e9c142e86,115c7de8749be1d3e5dd3bfd35bb0320ee20cce3d695b1623764bd60393b93df,9a304e02dae48b8262706f6fab7e79276f51af524a463629502e3d6ca2455bf4,41d65a3e1305f815e9cbb5ee9b43ff894a0befd390a9eff1128af58d05f3e57b,60fc017d5aadcb9de88c728c905bd503f469f58c1df239e1472241223f801a62,672babd1428816f67be723c673a7990ed076dac491d169e998615b212e2bdde1,022731000f8dba4281bb7a5416995bd8a9302cfac40bf76a43a3794788d11c76,583a2b9b06c2864eaff70e58269fa2354a234ff2d19a26193076c20dcd4c6470
"1","105","0.029","101","160","0","122601","1.5","1","1","0","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","1","110"
"2","111","0.014","102","120","1","122401","2.5","3","0","0","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","2","105"
"3","105","0.017","103","350","0","122501","2.5","2","0","1","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","3","110"
"4","105","0.016","104","130","1","107501","1.5","3","0","0","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","4","110"
"5","105","0.014","105","160","0","107601","2.5","1","1","0","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","5","110"
"6","103","0.029","106","255","0","107801","3.5","2","0","1","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","6","120"
"7","103","0.013","107","160","0","110601","3.5","1","1","0","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","7","120"
"8","103","0.014","108","350","0","110401","2.5","2","0","1","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","8","110"
"9","100","0.012","109","130","1","110501","1.5","3","0","0","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","9","105"
"10","103","0.014","110","200","0","115701","2.5","1","1","0","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","10","105"
"11","103","0.071","111","350","0","113601","2.5","2","0","1","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","11","105"
"12","103","0.014","112","130","1","107901","1.5","3","0","0","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","12","120"
"13","105","0.022","113","200","0","108001","1.5","2","1","0","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","13","110"
"14","108","0.031","114","160","0","110301","2.5","1","1","0","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","14","110"
"15","105","0.036","115","130","1","107701","0.5","1","0","0","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","15","110"
"16","95","0.048","116","350","0","113101","3.5","2","0","1","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","16","110"
"17","105","0.043","117","130","1","113301","1.5","3","0","0","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","17","105"
"18","95","0.018","118","130","1","113201","1.5","2","0","0","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","18","105"
"19","108","0.021","119","160","0","117001","2.5","2","1","0","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","19","110"
"20","105","0.036","120","255","0","113501","2.5","1","0","1","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","20","110"
"21","105","0.02","121","350","0","113401","2.5","3","0","1","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","21","105"
"22","105","0.018","122","130","1","110101","2.5","1","0","0","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","22","110"
"23","111","0.03","123","160","0","110001","3.5","3","1","0","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","23","105"
"24","103","0.027","124","130","1","117201","1.5","1","0","0","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","24","110"
"25","108","0.02","125","160","0","117301","3.5","2","1","0","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","25","105"
"26","105","0.04","126","350","0","117401","2.5","3","0","1","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","26","110"
"27","105","0.009","127","350","0","117101","3.5","1","0","1","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","27","110"
"28","105","0.022","128","255","0","122901","3.5","1","0","1","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","28","120"
"29","105","0.028","129","130","1","122801","2.5","3","0","0","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","29","110"
"30","108","0.023","130","130","0","122701","3.5","2","1","0","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","30","105"
