f0dae6a776e7868b6ac9003cb055a2d31a71c18940087b9a159232746a932f30,1431a32ed952a9c7839a2bcad59b7ce5d803671a1a4a2dfe664d6a6963cf4f28,f95834096775ebec94065f061e5e488a96cccaadf48f532cab9f714989c7f97e,28a43ccb3420627ef4cefd65a37f508476521cdea04831dbddbaaef72cd449c9,92d5540386b62a2db6a60a34e15a6bbc6fe22a94fba2f850f2812a8445bfe8c0,9336b9aee2c78a81ae976d762241e2f6c7c908c12a1bd8e0c2439899dd95596e,9f2a65d8e6832f6dce59b876a7ce72d990600f1d01143744a56016d9ebcce2fe,e1571716eafc9d3ef88b5c82af86765c617790c5ac0860036f510f5a12fe5e13,e3bf0ed6f4eb7a898abe02ea1ef43c2567d8fd3f29c70538ba2bbe552177b318,06b3436f136c40a59dc1a8daf8c05fb552925035c76105608bcb12f0954fd6ea,3725f4138ea810000be4123ce01f2731278440ad731c071e0ff61d9a8db00ed0,2bf51409c9a8c54e11e60a2cddd1da0e4ffeb45ce9b901dc20cea57dea7fb576,24993f5aafb2c8b5d750f41d6e2a758628fedf3dec100405003bd0387b4ee2bc,7337d09104fb3d94f5d7c30653d63d6cf071057569a76710596f3fedcafa71cf,6d32eb771713c0eb31154f4d8de916a521bf10e1920881c2ba98e3b94e9f5f9d
"540","0","111","1","0","113","100","112","1","0","2816","0","11","2023/02/15 05:00:00","0"
"493","0","211","1","0","213","100","212","2","0","2816","0","21","2023/02/16 05:00:00","0"
"458","0","311","1","0","313","100","312","3","0","2816","0","31","2023/02/17 05:00:00","0"
"420","0","411","1","0","413","100","412","4","0","2816","0","41","2023/02/18 05:00:00","0"
"380","0","511","1","0","513","100","512","5","0","2816","0","51","2023/02/19 05:00:00","0"
"340","0","611","1","0","613","100","612","6","0","2816","0","61","2023/02/20 05:00:00","0"
"430","0","711","1","0","713","100","712","7","1","2816","0","71","2023/02/21 05:00:00","0"
"402","0","811","1","0","813","100","812","8","1","2816","0","81","2023/02/22 05:00:00","0"
"302","0","911","1","0","913","100","912","9","1","2816","0","91","2023/02/23 05:00:00","0"
"264","0","1011","1","0","1013","100","1012","10","1","2816","0","101","2023/02/24 05:00:00","0"
"225","0","1111","1","0","1113","100","1112","11","1","2816","0","111","2023/02/25 05:00:00","0"
"328","0","1211","1","0","1213","100","1212","12","1","2816","0","121","2023/02/26 05:00:00","0"
"280","0","1311","1","0","1313","100","1312","13","1","2816","0","131","2023/02/27 05:00:00","0"
"269","0","1411","1","0","1413","100","1412","14","1","2816","0","141","2023/02/28 05:00:00","0"
"180","0","1511","1","0","1513","100","1512","15","1","2816","0","151","2023/03/01 05:00:00","0"
"138","0","1611","1","0","1613","100","1612","16","1","2816","0","161","2023/03/02 05:00:00","0"
"97","0","1711","1","0","1713","100","1712","17","1","2816","0","171","2023/03/03 05:00:00","0"
