8a0947ea34b03d3c93494ee9f1681b4b030228b832a99e840bb0436d5f69d74d,ac0ea8bf99794e721aca9b7c1e607836973dc64d252315865e817f8f37c0d0cb,3d8cf3d5473e7b7a4606d3241d5527ab4aaf93aeacd2fa95941bf4273d939d76,dcc982e7270abb047f2c4ec5fd6941b2baf81cf415cb7a637fe457449a853074,73a27e89f6ffe040601d4e5a698b24e031d3c0de6dc626a2989f12d18041a183,329c79ef33d02a7f0f5e128a964a0832121cd6f273dd1e3259bfef4b35d108e0,27de37aa2855f7c5e1119b0b8b3ea2271e9ce2d1a785ecb63946440756a6172b,4d7b7cda32ed58d5d0440a0eed02581605b234e6bc1bf32952a49d9dd1e90ed8,7e6a845e334154f643dcd9305adee9d531080c4c90b571b0ab5c30d3fdc9e65a,af741c3f46ae7cd994bf905d1500b3c08fcfc6caf303e1934fd03620c0de99cb,7e8fbe5cfa6dcbe99d52243da06074be8e6aa6b101b3fe76c7cec6298e6fdec5,f99909d545b2b7e4a1d506c696c32686cf326cd7fc9b3a60a29660d4507f6daf,6dd7ee590e525c9844efa3861e20831b021b487202d3757cc70f817ca9215e47,906e6fd04b58aac91882ee55d4789559185df60f7d114b1556798fa4b40d30e6,9886eccc3b042b16ef7e44ecb3b088eb69d759eebc355296733007176d2b96d1,1a0c2d45d484e6ec5802b484237910dcf7892593b0ff2b2db9d3043465343d18,c20d21b78be8ad80210f240b00ae88f2432165ae582d39c767842da7e83d6f2b
"11001001","11001","克梅利亞洞窟","10","100000","43200","7200","1","4101351","4104351","4101401","4104401","4201401","11001001","-470","108","1"
"11001002","11001","盧可拉諾大瀑布","10","100000","43200","7200","1","4106351","4110351","4106401","4110401","4203401","11001002","-235","90","2"
"11001003","11001","艾里巨木","10","100000","43200","7200","1","4102351","4105351","4102401","4105401","4201401","11001003","0","108","3"
"11001004","11001","伊雷亞溪谷","10","100000","43200","7200","1","4108351","4109351","4108401","4109401","4203401","11001004","235","90","4"
"11001005","11001","史達爾斷崖","10","100000","43200","7200","1","4103351","4107351","4103401","4107401","4201401","11001005","470","108","5"
"11002001","11002","阿爾巴岸堤","10","100000","43200","7200","1","4301351","4101401","4104401","4201401","4301401","11002003","-470","108","6"
"11002002","11002","撒達爾史朵\n沙灘","10","100000","43200","7200","1","4305351","4106401","4110401","4203401","4305401","11002002","-235","90","7"
"11002003","11002","達爾里克\n巨岩","10","100000","43200","7200","1","4302351","4102401","4105401","4201401","4302401","11002001","0","108","8"
"11002004","11002","安卡爾川","10","100000","43200","7200","1","4304351","4108401","4109401","4203401","4304401","11001005","235","90","9"
"11002005","11002","達克比亞\n森林","10","100000","43200","7200","1","4303351","4103401","4107401","4201401","4303401","11001001","470","108","10"
"11003001","11003","密瑪斯\n洞穴","10","100000","43200","7200","1","4201351","4201401","4101401","4104401","4109401","11003001","-470","108","11"
"11003002","11003","雷安特河","10","100000","43200","7200","1","4202351","4202401","4108401","4102401","4110401","11003002","-155","90","11"
"11003003","11003","刻蘭德\n廢墟","10","100000","43200","7200","1","4203351","4203401","4103401","4105401","4109401","11003003","160","108","11"
"11003004","11003","迪歐涅加\n冰海","10","100000","43200","7200","1","4204351","4204401","4106401","4107401","4110401","11003004","470","90","11"
