bb8f96b96d5f75c9e0e4ccd145f9f8430172baa41d8a430de573358d1b4e79c9,28ba37a92251669f40511945f127148d68d363411f20431a3381490b8ed42758,676a4a3dfe9b59a7366e508b25e1e30b01ef6736a85af2e3408cea342ea2aee3,c3d74fbb99715958d34b5fb8978ff24b86dc139866fea445e55b3c55c153f9f5,e9d27c918c9471bf0e00ba6eed03154103ae156bfd26a65a20a6c0cb2464d2a9,33ce4139336bef47f22f0c4c74a0bd08620499f1ba2ccd2961c1abdb4dec3e91,56fafcdf6df95ba23093afc41f7edd772803069588ef98941d10f905352a1e51,33a79ec52ac937a16ea7622db79420e13a14595dab89b453cf9b7d02e8342f81,dccfadf55132fa2bfc391f970f6d5be48a44932c5e38fcd05b62bb420152d5b0,ac54288dcf2dffb873c60cbd72e875b93f2b49755c2b014d231e8a91b17f5c0a,66d915d8ec031f8cdc9e5231af8baa4f05502697c81bb5561d97504e7c591df5
"1","0","102","1","lsv_idle_normal","1.95","1009801","-200","-495","122711","1009801001"
"1","1","100","1","lsv_idle_normal","1.95","1009801","100","-480","122811","1009801002"
"1","1","101","1","lsv_idle_normal","1.95","1009801","270","-510","122911","1009801003"
"1","0","0","5","lsv_white_loop","1","1009801","0","0","333","1009801004"
"333","0","1","6","","0","1009801","1","0","1","1009801005"
"122711","0","1","6","","0","1009801","1","0","1","1009801006"
"122811","0","1","6","","0","1009801","1","0","1","1009801007"
"122911","0","1","6","","0","1009801","1","0","1","1009801008"
"1","","","93","","","1009801","","","0","1009801009"
"333","0","1","6","","0.8","1009801","1","0.4","1","1009801010"
"122711","0.2","0","3","","0.2","1009801","lsv_idle_normal","1","lsv_jump1","1009801011"
"122811","0.2","0","3","","0.2","1009801","lsv_idle_normal","1","lsv_jump1","1009801012"
"122911","0.2","0","3","","0.2","1009801","lsv_idle_normal","1","lsv_jump1","1009801013"
"0.3","","","93","","","1009801","","","","1009801014"
"122711","","-235","2","","","1009801","0.75","0","-200","1009801015"
