4801734133d343d3376f7dc3995eed46d61b43cb6689b65006579dedfd1b4f34,c5897328b117cbba18b1355c3f5fb8956842f526927273de156e8ab642b9e79a,40949921667972400c4cf049cf8d1e451852b1ecc87d236b665c55fcdc2b1b84,7f9f4fab497386cd1422c38484c7926b68ee12e22cbb29ea2a4c9f23f5aa9baa,abaf98183b814bc4db51207a377c220da76909e53aac8c49b24b903eeebe2959,53791386270907f10a0109d129327d959903f95e403512cc65c1b2d79bac141a,527cae88913d588f4192348de71dfde6e89be464b73a9b837b54e5f92757fad4,0a0424b57adf33a344e620a42102c9c9548f51f6f09b6802b6d041313ff184d4,e6fd771f2717f83e7b8ecc21c771c749ba44f16940b8546bd13ae528ba7d3962,fe23e90d10964b065273f0354c3d7b16cba53f577819c337723eeeaaf079af55,417ecb16e86c8eb223ecdb145304f2c8174718250493e6ad8aae51a84b17dab2,ab64a0c9f9c52a9c265862186690565af1e44b1a5fcbf01d1875847798df4e1d
"0","1010001","0","vo_10020900","1","0","2","vo_10020900_0001","0","1","0","0"
"0","1010002","0.818181818181818","0","2","1","1","0","0","1","180","0"
"1","1010003","0","0","3","1","4","0","0.818181818181818","1","0","0"
"0","1010004","0.634285714285714","0","4","2","1","0","0","1","226","0"
"1","1010005","0","0","5","2","4","0","1.03428571428571","1","0","0"
"0","1010006","1.33714285714286","0","6","2","1","0","0","1","460","226"
"1","1010007","0","0","7","2","4","0","2.13714285714286","1","0","0"
"0","1010008","0","vo_10020900","8","0","2","vo_10020900_0002","0","1","0","0"
"0","1010009","1.12948051948052","0","9","3","1","0","0","1","132","0"
"1","1010010","0","0","10","3","4","0","2.12948051948052","1","0","0"
"0","1010011","0","vo_10020900","11","0","2","vo_10020900_0003","0","1","0","0"
"0","1010012","0.545454545454545","0","12","3","1","0","0","1","271","132"
"1","1010013","0","0","13","3","4","0","1.04545454545455","1","0","0"
"0","1010014","1.71545454545455","0","14","3","1","0","0","1","700","271"
"1","1010015","0","0","15","3","4","0","2.71545454545455","1","0","0"
"0","1010016","0","vo_10020900","16","0","2","vo_10020900_0004","0","1","0","0"
"0","1010017","1.67857142857143","0","17","4","1","0","0","1","244","0"
"1","1010018","0","0","18","4","4","0","2.17857142857143","1","0","0"
"0","1010019","0","vo_10020900","19","0","2","vo_10020900_0005","0","1","0","0"
"0","1010020","1.28311688311688","0","20","4","1","0","0","1","715","244"
"1","1010021","0","0","21","4","4","0","1.98311688311688","1","0","0"
"0","1010022","1.2987012987013","0","22","5","1","0","0","1","214","0"
"1","1010023","0","0","23","5","4","0","1.9987012987013","1","0","0"
"0","1010024","2.07792207792208","0","24","5","1","0","0","1","603","214"
"1","1010025","0","0","25","5","4","0","3.07792207792208","1","0","0"
"0","1010026","0","vo_10020900","26","0","2","vo_10020900_0006","0","1","0","0"
"0","1010027","1.06363636363636","0","27","6","1","0","0","1","241","0"
"1","1010028","0","0","28","6","4","0","1.56363636363636","1","0","0"
"0","1010029","2.96","0","29","6","1","0","0","1","750","241"
"1","1010030","0","0","30","6","4","0","3.96","1","0","0"
"0","1010031","0","vo_10020900","31","0","2","vo_10020900_0007","0","1","0","0"
"0","1010032","0.386363636363636","0","32","7","1","0","0","1","85","0"
"1","1010033","0","0","33","7","4","0","0.886363636363636","1","0","0"
"0","1010034","3.54090909090909","0","34","7","1","0","0","1","750","85"
"1","1010035","0","0","35","7","4","0","4.54090909090909","1","0","0"
"0","1010036","0","vo_10020900","36","0","2","vo_10020900_0008","0","1","0","0"
"0","1010037","0.431818181818182","0","37","8","1","0","0","1","138","0"
"1","1010038","0","0","38","8","4","0","1.03181818181818","1","0","0"
"0","1010039","0","vo_10020900","39","0","2","vo_10020900_0009","0","1","0","0"
"0","1010040","0.709090909090909","0","40","8","1","0","0","1","349","138"
"1","1010041","0","0","41","8","4","0","1.30909090909091","1","0","0"
"0","1010042","0","vo_10020900","42","0","2","vo_10020900_0010","0","1","0","0"
"0","1010043","3.07662337662338","0","43","8","1","0","0","1","750","349"
"1","1010044","0","0","44","8","4","0","4.07662337662338","1","0","0"
"0","1010045","0","vo_10020900","45","0","2","vo_10020900_0011","0","1","0","0"
"0","1010046","1.43506493506493","0","46","9","1","0","0","1","242","0"
"1","1010047","0","0","47","9","4","0","2.43506493506493","1","0","0"
"0","1010048","0","vo_10020900","48","0","2","vo_10020900_0012","0","1","0","0"
"0","1010049","2.75","0","49","9","1","0","0","1","754","242"
"1","1010050","0","0","50","9","4","0","3.95","1","0","0"
"0","1010051","0","vo_10020900","51","0","2","vo_10020900_0013","0","1","0","0"
"0","1010052","1.67792207792208","0","52","10","1","0","0","1","556","313"
"1","1010053","0","0","53","10","4","0","2.27792207792208","1","0","0"
"0","1010054","0.9","0","54","10","1","0","0","1","750","556"
