720f119bddd5b8219f4fef6dd40aecf4c9eb73d6c5992f8cc900d98e3ee5ec8d,c1735877e9654bc48b4318862361e510e87770e0efea836708e282a529e72892,69b43ecabbe7f30ec460f4a7057d6c65ac8c4c243ca9e5ffa4741bfced5ee2e1,543590dacd99ec740cfe798845a46b762a3ce485fb3aa048c7615c7323b025f6,6634863b059aec3c2567e600d1ec7a844c9db27c22d6398cfc61814516ac139a,8c4614bcc90b5ce40f57e0cbb875c57992ec8667d6e5d7eab07a6ebd5c7f6241,08eef246d6354e74319d7ef1e252c90d490446894910b352a9673e79a670d6db
"1","50","0","9999999","1","0","50"
"2","80","0","9999999","2","0","20"
"3","30","0","2000","3","0","70"
"3","40","0","5000","4","30","30"
"3","40","20","10000","5","40","0"
"3","30","30","15000","6","40","0"
"3","25","35","20000","7","40","0"
"3","20","40","25000","8","40","0"
"3","15","45","30000","9","40","0"
"3","10","50","35000","10","40","0"
"3","10","55","40000","11","35","0"
"3","5","60","45000","12","35","0"
"3","5","65","50000","13","30","0"
"3","0","70","55000","14","30","0"
"3","0","75","60000","15","25","0"
"3","0","80","65000","16","20","0"
"3","0","85","70000","17","15","0"
"3","0","90","75000","18","10","0"
"3","0","95","80000","19","5","0"
"3","0","100","9999999","20","0","0"
