ea8b404db7b54ac3a0b12b6ca02b3cf59cf6b0f2db7de8d11dd5dc2c1c8b1280,cdb471e19a4cfe12be63a9b1c59bcb489156266d5ed84923189d600008bdb9c1,874749869aa7ce81016ae71e3f024173186979ee02826db22174f84b102b695f,df4508ae0a40a30bd4c7e599c6366ef7913f96fa0934b98a7436d9ea73f167d2,016b41373e6fe9e4abe834722961cbc097a5da1a5c19b366cb2589935b0b4aa3,274c749189150e5d6e0d2a6c6d7cb9c663dbf1086c06617ed2db2cc4c7716f31,9e374b21d1df8fc9cec93fd9f02abe4976aaff01182d4082534bf4106e1b3452,e1029611e88b7834d8d7bc7edc3ff8bfd5e1d4534734064bc78ef11c0e76af6a,e68542725ee48c1ca1f324bfac0c307da67f108ede33b8ec0daa8acd4ccfe16b,06923f07dba70e298323627607d9cb80c9f8f02fc9afc4a6aba3689e827c88ad,00b337a528f72348322b5e42a33f0da8d5782438a514d093b4c7ebbf6956882f,9004d59d106237cd9438b95bf9c1cc9b5e51fa4e6ef8d64e29728ca7c8268852,9cc802ce2a1a58d0da3f93da33d81b8c7273ddc8d3df002a2df69a56f869021a,3d76b1cc9d449197ed16e764f5bc9d229eac8ec57e3ea9090175654a5bab205f,f752819fb29a4c9130d46de4c7793ca74a8322fd8b8b044df432c767c3067e1e,76f108214e825c93bcdab941d82c6d26b2d280ed0f34b77e526ecaf06d8b672b,5578638f6162a5e14214d6987538f206fed8fe46f71cba4bd6d837d0648ce028,6f5184269f97aff49c6d44a98e0d30902a4ea7ca0846297a2f6a19c0a6f91d22
"0","0","12","5000","1","94002","0","0","0","0","0","分數累積獲得 20000 分","0","0","0","0","20000","0"
"0","0","12","10000","2","94002","0","0","0","0","0","分數累積獲得 40000 分","0","0","0","0","40000","0"
"0","0","12","15000","3","94002","0","0","0","0","0","分數累積獲得 60000 分","0","0","0","0","60000","0"
"0","0","12","20000","4","94002","0","0","0","0","0","分數累積獲得 80000 分","0","0","0","0","80000","0"
"23001","0","8","50","5","91002","0","0","5","0","0","分數累積獲得 100000 分","0","0","0","0","100000","2"
"0","0","12","25000","6","94002","0","0","0","0","0","分數累積獲得 120000 分","0","0","0","0","120000","0"
"0","0","12","30000","7","94002","0","0","0","0","0","分數累積獲得 140000 分","0","0","0","0","140000","0"
"0","0","12","35000","8","94002","0","0","0","0","0","分數累積獲得 160000 分","0","0","0","0","160000","0"
"0","0","12","40000","9","94002","0","0","0","0","0","分數累積獲得 180000 分","0","0","0","0","180000","0"
"23001","0","8","50","10","91002","0","0","5","0","0","分數累積獲得 200000 分","0","0","0","0","200000","2"
"0","0","12","55000","11","94002","0","0","0","0","0","分數累積獲得 220000 分","0","0","0","0","220000","0"
"0","0","12","35000","12","94002","0","0","0","0","0","分數累積獲得 240000 分","0","0","0","0","240000","0"
"0","0","12","40000","13","94002","0","0","0","0","0","分數累積獲得 260000 分","0","0","0","0","260000","0"
"0","0","12","45000","14","94002","0","0","0","0","0","分數累積獲得 280000 分","0","0","0","0","280000","0"
"91002","0","15","1","15","11001021","23001","0","150","0","2","分數累積獲得 300000 分","0","0","10","0","300000","8"
