b928180eda125c3c2ef7c864c74c0cd3e60b867b264ec3a6a455b6a12503a496,dbdfd1400e12f3cf0fe01061a1ec6f69ef7f2d46042ed0ad9d3057f0e03af98f,7b10f466527db68b511e2595fe2c7f789f2dd4a4b173faba5d948877e9d7ac4d,1febaa354f4ed12834a589a650750984a20b338d74563b6d1eedb20ecb6acabe,82b2ee6d9b4dd351423051f55712f86226a6b7bf6966fd5317744a45d44a4ba5,58c98b69e31a165c712f3a2b65227a916b50ee8a48607a79c6c0b1d745758632,695ba3082c41231f72aa938f877cefaa624a4036d3c2cdc7d330052607cbcf7a,2dc0c05c3aba9702c543cc1349bb6e6f86032add87e23bd65c7dc2bd2ce2d48f,285a328867c1102392a91e70079638e0c1449ea56260140382a5275cd6db1b7e,377a57787b4c71c02119f5fd04b436720d78f7064ba1bb25a673af2138b62c67,306f1b0f136262eb1f6e55b0822f82f4b7076679367a4e9e41d001499e8899b9,3b5075a6a24407602d74f9d327fad1376cbd5fdec3dfa681a79bbf071e86f41b
"0","0","0","4","0","1","0","100580101","0","1005801","0.8","1"
"0","0","vo_ske","2","0","2","0","100580102","vo_ske_0101","1005801","0","0"
"0.705","0","0","1","1","3","94","100580103","0","1005801","0","0"
"0","0","0","4","0","4","0","100580104","0","1005801","1.549","1"
"1.807","94","0","1","1","5","362","100580105","0","1005801","0","0"
"0","0","0","4","0","6","0","100580106","0","1005801","3.027","1"
"1.141","0","0","1","2","7","263","100580107","0","1005801","0","0"
"0","0","0","4","0","8","0","100580108","0","1005801","1.9","1"
"1.78","263","0","1","2","9","400","100580109","0","1005801","0","0"
"0","0","0","4","0","10","0","100580110","0","1005801","4.544","1"
"0","0","vo_ske","2","0","11","0","100580111","vo_ske_0102","1005801","0","0"
"1.322","0","0","1","3","12","195","100580112","0","1005801","0","0"
"0","0","0","4","0","13","0","100580113","0","1005801","2.917","1"
"0","0","vo_ske","2","0","14","0","100580114","vo_ske_0103","1005801","0","0"
"1.932","0","0","1","4","15","228","100580115","0","1005801","0","0"
"0","0","0","4","0","16","0","100580116","0","1005801","2.582","1"
"0.996","228","0","1","4","17","367","100580117","0","1005801","0","0"
"0","0","0","4","0","18","0","100580118","0","1005801","3.856","1"
"0","0","vo_ske","2","0","19","0","100580119","vo_ske_0104","1005801","0","0"
"0.67","0","0","1","5","20","90","100580120","0","1005801","0","0"
"0","0","0","4","0","21","0","100580121","0","1005801","1.785","1"
"2.253","90","0","1","5","22","364","100580122","0","1005801","0","0"
"0","0","0","4","0","23","0","100580123","0","1005801","2.253","1"
"0.962","0","0","1","6","24","0","100580124","0","1005801","0","0"
"0","0","0","4","0","25","0","100580125","0","1005801","2.244","1"
"1.707","0","0","1","6","26","334","100580126","0","1005801","0","0"
"0","0","0","4","0","27","0","100580127","0","1005801","4.225","1"
"0","0","vo_ske","2","0","28","0","100580128","vo_ske_0105","1005801","0","0"
"1.256","0","0","1","7","29","227","100580129","0","1005801","0","0"
"0","0","0","4","0","30","0","100580130","0","1005801","3.119","1"
"0","0","vo_ske","2","0","31","0","100580131","vo_ske_0106","1005801","0","0"
"0.702","0","0","1","8","32","73","100580132","0","1005801","0","0"
"0","0","0","4","0","33","0","100580133","0","1005801","1.386","1"
"1.352","73","0","1","8","34","318","100580134","0","1005801","0","0"
"0","0","0","4","0","35","0","100580135","0","1005801","2.053","1"
"0.733","318","0","1","8","36","383","100580136","0","1005801","0","0"
"0","0","0","4","0","37","0","100580137","0","1005801","1.868","1"
"1.764","0","0","1","9","38","340","100580138","0","1005801","0","0"
"0","0","0","4","0","39","0","100580139","0","1005801","2.905","1"
"0.969","340","0","1","9","40","340","100580140","0","1005801","0","0"
"0","0","0","4","0","41","0","100580141","0","1005801","0.969","1"
"0.808","0","0","1","10","42","0","100580142","0","1005801","0","0"
"0","0","0","4","0","43","0","100580143","0","1005801","2.8","1"
"0","0","vo_ske","2","0","44","0","100580144","vo_ske_0107","1005801","0","0"
"0.25","0","0","1","10","45","52","100580145","0","1005801","0","0"
"0","0","0","4","0","46","0","100580146","0","1005801","0.25","1"
"1.817","52","0","1","10","47","328","100580147","0","1005801","0","0"
"0","0","0","4","0","48","0","100580148","0","1005801","3.312","1"
"0.666","328","0","1","10","49","389","100580149","0","1005801","0","0"
"0","0","0","4","0","50","0","100580150","0","1005801","1.17","1"
