741a8d90aadf0752c267ed84cb81490d00f72e70cc213fab05dfe35d9d2a3633,6c9c42c3d13de5613f0b87551e8bfa6abb22fa5a6e38f74aa03d7a45c2052366,0f8c5761ca693d6b802193503c3c8bcb587cd6ad526e35e5c325a426256e5a31,006299c6809942c642402a056e310b7f1ebce5ab8bfaceb609fc00e044d07c1b,b5627378d3450482a014ea195b41200957bf121bc5aea2846eccd21fdf18b8fb,b2e38f54d14204f832123bebb175528488fcc690c274696f549aef67e55f7ffc,eccaa6fdc9e4f1af2d0e230ad0e4f6c6800d86eb7b4f3fcaedbb23f416c840a0,f4cd2525c3e928c62d65a39ca11aa880561f4c7d1374f743806b24d692599fe8,32316951776b45565f9c256c9e110d29f89ab722e23a221175663e7c4d7c42d5,954f0e835d29124e1752bbc6e926b2c67956557670fe3090b77477845d1a4e08,33f6fdf0d57fb87c888a8bd697b1010b91528bee850566ed642a1c38056d9372
"1","105831","1","1.3","1","100","01_uek_cmn_idol_def_N","1010001","-157","-496","0"
"1","105931","1","1.3","1","110","01_uek_cmn_idol_def_N","1010002","-178","-355","0"
"1","112631","1","1.3","1","100","01_uek_cmn_idol_def_N","1010003","-124","410","1"
"1","112531","1","1.3","1","110","01_uek_cmn_idol_def_N","1010004","-258","389","1"
"1","106031","1","1.3","1","120","01_uek_cmn_idol_def_N","1010005","-234","-415","0"
"1","112431","1","1.3","1","120","01_uek_cmn_idol_def_N","1010006","-235","262","1"
"105831","01_uek_01_peko","3","0","1","0","","1010007","1","01_uek_cmn_pose03","0.2"
"105931","01_uek_01_kokkoro","3","0","1","0","","1010008","1","01_uek_talk_normal","0.2"
"106031","01_uek_01_kyaru","3","0","1","0","","1010009","1","01_uek_cmn_pose02","0.2"
"112631","01_uek_01_mio","3","0","1","0","","1010010","1","01_uek_cmn_pose03","0.2"
"112531","01_uek_01_rin","3","0","1","0","","1010011","1","01_uek_cmn_pose02","0.2"
"112431","01_uek_01_uduki","3","0","1","0","","1010012","1","01_uek_cmn_pose01","0.2"
"3","","93","","1","","","1010013","","",""
"112631","01_uek_cmn_pose03","3","0.2","1","1","","1010014","0","",""
"112431","01_uek_cmn_pose01","3","0.2","1","1","","1010015","0","",""
"105831","01_uek_cmn_pose03","3","0.2","1","1","","1010016","0","",""
"105931","01_uek_talk_normal","3","0.2","1","0","","1010017","1","01_uek_cmn_idol_def_N","0.1"
"106031","01_uek_cmn_pose02","3","0.2","1","0","","1010018","1","01_uek_cmn_idol_def_N","0.1"
"112531","01_uek_cmn_pose02","3","0.2","1","0","","1010019","1","01_uek_cmn_idol_def_N","0.1"
"105831","唔哇……！\n變得超大的，\n太讚了吧☆","11","","1","10","","1010020","","",""
"0","","91","","1","","","1010021","","",""
"105931","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","11","","1","10","","1010022","","",""
"0","","91","","1","","","1010023","","",""
"112631","這種情況下，\n就讓人想看看\n上面是怎樣呢！","11","","1","10","","1010024","","",""
"0","","91","","1","","","1010025","","",""
"112531","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","11","","1","10","","1010026","","",""
"0","","91","","1","","","1010027","","",""
"106031","反正我也挺感興趣，\n就陪陪妳們吧。","11","","1","10","","1010028","","",""
"0","","91","","1","","","1010029","","",""
"112431","好♪大家一起\n加油以登頂\n為目標吧！","11","","1","10","","1010030","","",""
"0","","91","","1","","","1010031","","",""
"1","104431","1","1.3","2","100","02_uek_cmn_idol_def_N","1020001","0","0","0"
"104431","02_uek_02_ilya","3","","2","0","","1020002","0","02_uek_02_ilya_loop",""
"104431","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","11","","2","10","","1020003","","0",""
"0","","91","","2","","","1020004","0","",""
"1","105831","1","1.3","3","100","01_uek_cmn_idol_def_N","1030001","-10","-140","0"
"1","105931","1","1.3","3","100","01_uek_cmn_idol_def_N","1030002","10","120","1"
"1","106031","1","1.3","3","100","01_uek_cmn_idol_def_N","1030003","0","0","1"
"105831","01_uek_03_peko","3","","3","0","","1030004","0","01_uek_03_peko_loop",""
"106031","01_uek_03_kyaru","3","","3","0","","1030005","0","01_uek_03_kyaru_loop",""
"105831","小凱留！\n妳快看，\n景色很棒哦☆","11","","3","10","","1030006","","0",""
"0","","91","","3","","","1030007","","",""
"106031","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","11","","3","10","","1030008","","0",""
"0","","91","","3","","","1030009","","",""
"105931","01_uek_03_kokkoro","3","","3","0","","1030010","1","01_uek_cmn_idol_def_N",""
"105931","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","11","","3","10","","1030011","","0",""
"1","101131","1","1.3","4","100","02_uek_cmn_idol_def_N","1040001","-30","-120","0"
"1","104931","1","1.3","4","100","02_uek_cmn_idol_def_N","1040002","-5","20","1"
"101131","02_uek_talk_joy2","3","","4","1","","1040003","","",""
"101131","千萬行星也要\n始於腳下！\n我會加油的！","11","","4","10","","1040004","","0",""
"0","","91","","4","","","1040005","","",""
"101131","02_uek_cmn_idol_def_N","3","0.2","4","1","","1040006","","",""
"104931","02_uek_04_shizuru","3","0.2","4","1","","1040007","","",""
"104931","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","11","","4","10","","1040008","","0",""
"0","","91","","4","","","1040009","","",""
"104931","02_uek_cmn_idol_def_N","3","0.2","4","1","","1040010","","",""
"1","105031","1","1.3","5","100","02_uek_cmn_idol_def_N","1050001","0","-70","0"
"1","101631","1","1.3","5","100","02_uek_cmn_idol_def_N","1050002","1","70","1"
"105031","02_uek_05_misaki","3","","5","0","","1050003","-15","02_uek_05_misaki_loop",""
"101631","02_uek_05_suzuna","3","","5","0","","1050004","0","02_uek_05_suzuna_loop",""
"105031","我要登上大人\n的階梯了～！","11","","5","10","","1050005","","0",""
"0","","91","","5","","","1050006","0","",""
"101631","人家也要成為\n超級巨星名模囉！","11","","5","10","","1050007","","0",""
"1","100531","1","1.3","6","100","02_uek_cmn_idol_def_N","1060001","25","120","1"
"1","103731","1","1.3","6","100","02_uek_cmn_idol_def_N","1060002","5","-20","0"
"100531","02_uek_cmn_pose04","3","","6","1","","1060003","","",""
"100531","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","11","","6","10","","1060004","","0",""
"0","","91","","6","","","1060005","","",""
"103731","02_uek_talk_normal","3","0.2","6","1","","1060006","","",""
"103731","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","11","","6","10","","1060007","","0",""
"0","","91","","6","","","1060008","","",""
"103731","02_uek_cmn_idol_def_N","3","0.2","6","1","","1060009","","",""
"1","103831","1","1.3","7","100","02_uek_cmn_idol_def_N","1070001","-20","-60","0"
"103831","02_uek_07_shiori","3","0.2","7","1","","1070002","","",""
"103831","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","11","","7","10","","1070003","","",""
"1","104531","1","1.3","8","100","02_uek_08_kuka_loop","1080001","40","90","0"
"2","2","31","1","8","90","","1080002","1","60",""
"104531","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","11","","8","10","","1080003","0","0",""
"0","","91","","8","","","1080004","","",""
"2","105831","1","0.9","9","100","05_idle","1090001","-35","-195","0"
"2","302102","1","1.2","9","1000","302102_idle","1090002","-30","150","0"
"102","15","31","1","9","150","","1090003","1","50",""
"103","16","31","1","9","150","","1090004","1","400",""
"1","112531","1","1.3","10","100","01_uek_cmn_idol_def_N","1100001","-25","-160","0"
"1","112431","1","1.3","10","100","01_uek_cmn_idol_def_N","1100002","-5","-40","1"
"1","112631","1","1.3","10","100","01_uek_cmn_idol_def_N","1100003","20","125","1"
"112631","01_uek_talk_surprise2","3","","10","1","","1100004","0","",""
"112631","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","11","","10","10","","1100005","0","0",""
"0","","91","","10","","","1100006","","",""
"112631","01_uek_cmn_idol_def_N","3","0.2","10","1","","1100007","0","",""
"112431","01_uek_talk_joy1","3","","10","1","","1100008","","",""
"112431","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","11","","10","10","","1100009","0","0",""
"0","","91","","10","","","1100010","","",""
"112431","01_uek_cmn_idol_def_N","3","0.2","10","1","","1100011","","",""
"112531","01_uek_talk_normal","3","","10","1","","1100012","","",""
"112531","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","11","","10","10","","1100013","0","0",""
"0","","91","","10","","","1100014","","",""
"112531","01_uek_cmn_idol_def_N","3","0.2","10","1","","1100015","","",""
"0","","91","","10","","","1100016","","",""
"1","104731","1","1.3","11","100","03_uek_cmn_idol_def_N","1110001","-20","-135","0"
"1","107131","1","1.3","11","100","03_uek_cmn_idol_def_N","1110002","5","100","1"
"104731","03_uek_11_jun","3","0","11","0","","1110003","1","03_uek_11_jun_loop",""
"107131","03_uek_11_chris","3","0","11","0","","1110004","1","03_uek_cmn_idol_def_N","0.2"
"104731","唔，視野一片白……\n小克莉絲，\n妳要小心！","11","","11","10","","1110005","0","",""
"0","","91","","11","","","1110006","","",""
"107131","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","11","","11","10","","1110007","0","0",""
"1.5","","93","","11","","","1110008","","",""
"104731","-135","2","","11","0","","1110009","1","1.5",""
"1110007","","91","","11","","","1110010","","",""
"1","101031","1","1.3","12","100","03_uek_cmn_idol_def_N","1120001","-20","-120","0"
"1","101431","1","1.3","12","100","03_uek_cmn_idol_def_N","1120002","-5","10","1"
"101031","03_uek_talk_joy1","3","","12","1","","1120003","0","",""
