13b7e666833ab7529daa1117a64a51eb7f1a96360643e9d2276712b5d42d1056,7ab338982f9390fb2d50c5c1f0be4224c27a7f3362f5a7121af673d3264c83cb,7d13af6059138560915463a39127c0f1feef1978022842efb343f6616bf831d8,dd7f4d11a0aa1e19d320344d27878f130e38fe4e25ceeb7fb9671599838f7230
"20","20","1","2"
"30","30","1","3"
"50","80","2","3"
"80","160","3","3"
"60","60","1","4"
"100","160","2","4"
"180","340","3","4"
"360","700","4","4"
"500","1200","5","4"
"100","100","1","5"
"160","260","2","5"
"280","540","3","5"
"480","1020","4","5"
"780","1800","5","5"
"100","100","1","6"
"160","260","2","6"
"280","540","3","6"
"480","1020","4","6"
"780","1800","5","6"
"100","100","1","7"
"160","260","2","7"
"280","540","3","7"
"480","1020","4","7"
"780","1800","5","7"
"100","100","1","8"
"160","260","2","8"
"280","540","3","8"
"480","1020","4","8"
"780","1800","5","8"
"100","100","1","9"
"160","260","2","9"
"280","540","3","9"
"480","1020","4","9"
"780","1800","5","9"
"100","100","1","10"
"160","260","2","10"
"280","540","3","10"
"480","1020","4","10"
"780","1800","5","10"
