6507241202297a7be160338bbfc70700380783001250411e8b57e339318b2fb0,4cd6aafee284147d2dd421ba061532ac82e4d969d8f7506373e7a21a1e2cadee,e784a2f7d96e27f202ecdc5d3c7f2303487b09823ea18334cd40ba105438dacc,7b60b2c3e5c76cc2b363bf211cb4bc2f7bcb690c728bf63e85fc7343f1d89edf,9e04e81b438a2775af4049ba7d2e633823d009a036fb5689e32f1f87bdb76a33,b28a1d62814062a30554d354f84589585892a06ee612da7a3901638f37765582,7cd31e35147697d611ee0d1c5387c4794eba4275722ec2f5a919ac5cd531eaeb,6e6e40fabaeedf969b4f9844c9eefec268e0b1b03789af32afd7d2a2a535b166,34f2087f7261101a2907a9ee724a06f64d7dfcb414a99789aeeb13b0f3c01206
"8","22","6","7","-1","53003","10001","1","5"
"4","22","6","7","-1","53002","10002","1","5"
"6","22","5","6","5","53003","10101","1","4"
"5","22","5","6","5","53002","10102","1","4"
"5","22","4","5","4","53003","10201","1","3"
"5","22","4","5","4","53002","10202","1","3"
"4","22","3","4","3","53003","10301","1","3"
"3","22","3","4","3","53002","10302","1","3"
"3","22","2","3","2","53003","10401","1","2"
"2","22","2","3","2","53002","10402","1","2"
"2","22","1","2","1","53003","10501","1","1"
"1","22","1","2","1","53002","10502","1","1"
"2","22","0","1","0","53002","10601","1","1"
"8","22","6","7","-1","53003","10701","2","5"
"4","22","6","7","-1","53002","10702","2","5"
"6","22","5","6","5","53003","10801","2","4"
"5","22","5","6","5","53002","10802","2","4"
"5","22","4","5","4","53003","10901","2","3"
"5","22","4","5","4","53002","10902","2","3"
"4","22","3","4","3","53003","11001","2","3"
"3","22","3","4","3","53002","11002","2","3"
"3","22","2","3","2","53003","11101","2","2"
"2","22","2","3","2","53002","11102","2","2"
"2","22","1","2","1","53003","11201","2","1"
"1","22","1","2","1","53002","11202","2","1"
"2","22","0","1","0","53002","11301","2","1"
"8","22","6","7","-1","53003","11401","3","5"
"4","22","6","7","-1","53002","11402","3","5"
"6","22","5","6","5","53003","11501","3","4"
"5","22","5","6","5","53002","11502","3","4"
"5","22","4","5","4","53003","11601","3","3"
"5","22","4","5","4","53002","11602","3","3"
"4","22","3","4","3","53003","11701","3","3"
"3","22","3","4","3","53002","11702","3","3"
"3","22","2","3","2","53003","11801","3","2"
"2","22","2","3","2","53002","11802","3","2"
"2","22","1","2","1","53003","11901","3","1"
"1","22","1","2","1","53002","11902","3","1"
"2","22","0","1","0","53002","12001","3","1"
"8","22","6","7","-1","53003","12101","4","5"
"4","22","6","7","-1","53002","12102","4","5"
"6","22","5","6","5","53003","12201","4","4"
"5","22","5","6","5","53002","12202","4","4"
"5","22","4","5","4","53003","12301","4","3"
"5","22","4","5","4","53002","12302","4","3"
"4","22","3","4","3","53003","12401","4","3"
"3","22","3","4","3","53002","12402","4","3"
"3","22","2","3","2","53003","12501","4","2"
"2","22","2","3","2","53002","12502","4","2"
"2","22","1","2","1","53003","12601","4","1"
"1","22","1","2","1","53002","12602","4","1"
"2","22","0","1","0","53002","12701","4","1"
"8","22","6","7","-1","53003","12801","5","5"
"4","22","6","7","-1","53002","12802","5","5"
"6","22","5","6","5","53003","12901","5","4"
"5","22","5","6","5","53002","12902","5","4"
"5","22","4","5","4","53003","13001","5","3"
"5","22","4","5","4","53002","13002","5","3"
"4","22","3","4","3","53003","13101","5","3"
"3","22","3","4","3","53002","13102","5","3"
"3","22","2","3","2","53003","13201","5","2"
"2","22","2","3","2","53002","13202","5","2"
"2","22","1","2","1","53003","13301","5","1"
"1","22","1","2","1","53002","13302","5","1"
"2","22","0","1","0","53002","13401","5","1"
"8","22","6","7","-1","53003","13501","6","5"
"4","22","6","7","-1","53002","13502","6","5"
"6","22","5","6","5","53003","13601","6","4"
"5","22","5","6","5","53002","13702","6","4"
"5","22","4","5","4","53003","13801","6","3"
"5","22","4","5","4","53002","13902","6","3"
"4","22","3","4","3","53003","14001","6","3"
"3","22","3","4","3","53002","14002","6","3"
"3","22","2","3","2","53003","14101","6","2"
"2","22","2","3","2","53002","14102","6","2"
"2","22","1","2","1","53003","14201","6","1"
"1","22","1","2","1","53002","14202","6","1"
"2","22","0","1","0","53002","14301","6","1"
"8","22","6","7","-1","53003","14401","7","5"
"4","22","6","7","-1","53002","14402","7","5"
"6","22","5","6","5","53003","14501","7","4"
"5","22","5","6","5","53002","14502","7","4"
"5","22","4","5","4","53003","14601","7","3"
"5","22","4","5","4","53002","14701","7","3"
"4","22","3","4","3","53003","14801","7","3"
"3","22","3","4","3","53002","14802","7","3"
"3","22","2","3","2","53003","14901","7","2"
"2","22","2","3","2","53002","14902","7","2"
"2","22","1","2","1","53003","15001","7","1"
"1","22","1","2","1","53002","15002","7","1"
"2","22","0","1","0","53002","15101","7","1"
