d6863c287d373bcc60475ab043173b256e4f0ec146c33f5f49578758dce1ee17,8a76a856c009d475c4e8c0cd4865871b411fe7547cb1df1c014e0dd85655082f,b7cdc0dcc54daf4267f3995d15c7dbb6301605bff95e35ee994be4d1bd71f546,8cd73cd7430faad51948dc9bd77c39d40b7c7cfc36723054510554adf0c9ea9c,03ea36000c542bc74787477b65bea97e6836a956b4756e94296493da854bc619,8513238615691c82f3d79611302eb7c34ada672b8290af9dc970cef58d2e2275,24314b2ce619707e665b33e3f9ca2bc4ef69df224cbc4df2a7afcfeab38cf6b7,47f19e111bd34f566e878e3ea6d9f6f3dbaae14f5b8f852f872f5b7d1ab462bd,220a44fae14704df8bc95dd3ee4cacc4ff4daf92494859914863d263a5a827c0,2c747ae9b44ee880fcfcfde2afba69fa84c33a98548bf21ae5494f3176eb0ea7,7361bb31176df59ada9712eb730b91ce3d9e47232d3e5c74a8c0a4b414134816,fdc078f71c9aa6ecab8f8509b236b5496cbedf88a668e7b079990b5ae12eb441,00001edc498aab4f27ca85b8d4a4b6c2c0965abe430d3ab0bd152b6d4d7e60ce,4fb36a1201ea1919cd4a1dade2888f0db28fe862b6ffabc05fa7c0be884fc8a6
"102","10001","6004","601","完成活動任務1-1 (NORMAL)","71001001","1","2018/08/28 16:00:00","71001001","10001101","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-2 (NORMAL)","71001002","1","2018/08/28 16:00:00","71001002","10001102","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-3 (NORMAL)","71001003","1","2018/08/28 16:00:00","71001003","10001103","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-4 (NORMAL)","71001004","1","2018/08/28 16:00:00","71001004","10001104","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-5 (NORMAL)","71001005","1","2018/08/28 16:00:00","71001005","10001105","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-6 (NORMAL)","71001006","1","2018/08/28 16:00:00","71001006","10001106","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-7 (NORMAL)","71001007","1","2018/08/28 16:00:00","71001007","10001107","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-8 (NORMAL)","71001008","1","2018/08/28 16:00:00","71001008","10001108","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-9 (NORMAL)","71001009","1","2018/08/28 16:00:00","71001009","10001109","2018/09/19 15:59:59","9003","0","0"
"102","10001","6004","601","完成活動任務1-10 (NORMAL)","71001010","1","2018/08/28 16:00:00","71001010","10001110","2018/09/19 15:59:59","9003","0","0"
