0f99f35d06a3af66b3a315aad2940085383e155b942b2fc22a59c1198e1ffb35,d454ab945134417e8422b5893f2bee6d3405ef980e9460c880c1fb99eb788b80,5c0c4579fedae35e3fe8ba83fa8b5f3e44aff8ac91f925902d1bd345e7e8a5b4,545334dad5930628f7b2ce0729c1825902e5c4f833868eb529b07a32c57c218d,a3ce732fd9533023a9349d1cd0fcbbf21644e149ebd24227d1162cd942c5490b,86fe894bd836d5d2cbbd2cf520143a36ce351ed5fc40c9596853726eff716cd3,06d8695411b22aef92074bac265c5abf3b02dc9511f678c7c210cfa0bb4c5a56,7c5caf7f244a844bedaeb3405334768f9465dad4a48290280d1c41bcfeeb4834,bdd45d92f4204b0e7347e19056ac0c443c9666c84c80b58e5c2d8b1746bd3aee,9f8cefcbf0940d6a1b1634aa07f7c23f1fd84a3309cded54fc5c6c7e3eeb7ab2,a4779369d8f3358c6786ee37847df9920a7b02a4152ac02f8ec10ff7620e2bf6
"-200","-495","1","1009801","0","lsv_idle_normal","1.95","102","122711","1","1009801001"
"100","-480","1","1009801","1","lsv_idle_normal","1.95","100","122811","1","1009801002"
"270","-510","1","1009801","1","lsv_idle_normal","1.95","101","122911","1","1009801003"
"0","0","1","1009801","0","lsv_white_loop","1","0","333","5","1009801004"
"1","0","333","1009801","0","","0","1","1","6","1009801005"
"1","0","122711","1009801","0","","0","1","1","6","1009801006"
"1","0","122811","1009801","0","","0","1","1","6","1009801007"
"1","0","122911","1009801","0","","0","1","1","6","1009801008"
"","","1","1009801","","","","","0","93","1009801009"
"1","0.4","333","1009801","0","","0.8","1","1","6","1009801010"
"lsv_idle_normal","1","122711","1009801","0.2","","0.2","0","lsv_jump1","3","1009801011"
"lsv_idle_normal","1","122811","1009801","0.2","","0.2","0","lsv_jump1","3","1009801012"
"lsv_idle_normal","1","122911","1009801","0.2","","0.2","0","lsv_jump1","3","1009801013"
"","","0.3","1009801","","","","","","93","1009801014"
"0.75","0","122711","1009801","","","","-235","-200","2","1009801015"
"0.75","0","122811","1009801","","","","-220","100","2","1009801016"
"0.75","0","122911","1009801","","","","-250","270","2","1009801017"
"1","1","122711","1009801","0","","0.4","1","1","6","1009801018"
"1","1","122811","1009801","0","","0.4","1","1","6","1009801019"
"1","1","122911","1009801","0","","0.4","1","1","6","1009801020"
"","","2","1009801","","","","","0","93","1009801021"
"","","122911","1009801","","","0.2","1","lsv_talk_joy1","3","1009801022"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0121","21","1009801023"
"1","1","122911","1009801","0","0","0","10","「小繆快快長大日記」♪\n開始囉開始囉～","11","1009801024"
"","","0","1009801","","","","","","91","1009801025"
"","","122911","1009801","","","0.2","1","lsv_idle_normal_joyR","3","1009801026"
"","","122711","1009801","","","0.2","1","lsv_talk_normal","3","1009801027"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0122","21","1009801028"
"1","1","122711","1009801","0","0","0","10","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","11","1009801029"
"","","0","1009801","","","","","","91","1009801030"
"","","122711","1009801","","","0.2","1","lsv_idle_normal","3","1009801031"
"","","122911","1009801","","","0.2","1","lsv_idle_normal","3","1009801032"
"lsv_talk_cool_loop","1","122811","1009801","0.2","","0","0","lsv_talk_cool","3","1009801033"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0123","21","1009801034"
"1","1","122811","1009801","0","0","0","10","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","11","1009801035"
"","","0","1009801","","","","","","91","1009801036"
"","","122811","1009801","","","0.2","1","lsv_talk_bitter","3","1009801037"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0124","21","1009801038"
"1","1","122811","1009801","0","0","0","10","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","11","1009801039"
"","","0","1009801","","","","","","91","1009801040"
"","","122811","1009801","","","0.2","1","lsv_idle_joy","3","1009801041"
"","","122711","1009801","","","0.2","1","lsv_talk_anger2","3","1009801042"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0125","21","1009801043"
"1","1","122711","1009801","0","0","0","10","寫、寫得隨興一點……！\n這我做不到。","11","1009801044"
"","","0","1009801","","","","","","91","1009801045"
"","","122711","1009801","","","0.2","1","lsv_idle_anger2","3","1009801046"
"","","122911","1009801","","","0.2","1","lsv_talk_normal","3","1009801047"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0126","21","1009801048"
"1","1","122911","1009801","0","0","0","10","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","11","1009801049"
"","","0","1009801","","","","","","91","1009801050"
"","","122911","1009801","","","0.2","1","lsv_idle_normal_joyR","3","1009801051"
"lsv_talk_guts2_anger_loop","1","122711","1009801","0.2","","0","0","lsv_talk_guts2_anger","3","1009801052"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0127","21","1009801053"
"1","1","122711","1009801","0","0","0","10","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","11","1009801054"
"","","0","1009801","","","","","","91","1009801055"
"","","122711","1009801","","","0.2","1","lsv_talk_normal_worry","3","1009801056"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0128","21","1009801057"
