2e056847e19152b506feba2839388f4c24cf2ab4ed95df805e87c1fcd7ed2276,d1df86366d461124b8af6e82aac974c335561e73223f2f6346696e6dea8a6f8a,b72574d133aaa117fff185766617af606098b21dff99093a51b0d67d741133a2,7373a0a6b7c5b559db2743be9c439227904b9ac682194fb6582a96f93d0dd009,6c943ac574605b0d198be30e4fb0b013c1f6e35e8a36d0994ce355beee08468d,a555006361f6e04ae535a627167e764b5d3e0f2f62c6e8f1e3ad56cdfe4ce52a,ff66666c3a1284c500a568b0e7147602d4fa89968724313e3daaff04fec28d6c,1ebb8be103c5206efeea287c7c91578750535d604dbe9e6df6f71adf2ed66799,6ce84acc145dfae994500e2bf9612bff243510327ea13f353dd2c13e051d906c,6e1797b541fa191948fde7e246bd393f568b24bd47e9f4f4aafc543b3420095d,1e0f3bea0762aa37f2aefdc65168a5f8c41e207f51daccfb444bf87b0ed5fe3d,02885205140f6c70ff213692f645c2dad17294c12a3bcbbf2569147012de3384,2bfe9ab517ad5c1be5da91fafe65f59e2e739a076ca04e476ab50df254e4dfc4,2650069d1381808980aad9d6949cc8891db1a5313f0e8717c14ed1988c0d8371,207328ac1f797866a1d4ab5f2a10552778d9fb83bcc4f892f61bf1e660eaab54,d45de16470e8c8482b03c91209e34ae487720c09dc801bd4e874dd6b2377651e,c3f20bef5e91bdf96671a2c6a2918cdcb156f080f4e53edd598e45ea1190c0b9,0d80b11d85c364a76b973ade45df5aa0d106aaec573e2c35a0bbaf41e5f09783
"20003","8","1","12","0","2","91002","94002","150","150000","0","0","5","1","5","20","22003","2"
"20003","8","2","12","0","2","91002","94002","145","100000","0","0","9","6","2","15","22003","2"
"20003","8","3","12","0","2","91002","94002","140","80000","0","0","19","10","5","11","22002","2"
"20003","8","4","12","0","2","91002","94002","130","80000","0","0","29","20","5","10","22002","2"
"20003","8","5","12","0","2","91002","94002","120","70000","0","0","39","30","4","9","22002","2"
"20003","8","6","12","0","2","91002","94002","110","70000","0","0","49","40","4","8","22002","2"
"20003","8","7","12","0","2","91002","94002","100","60000","0","0","99","50","3","7","22002","2"
"20003","8","8","12","0","2","91002","94002","80","40000","0","0","499","100","2","2","22002","2"
"20002","8","9","12","0","2","91002","94002","50","20000","0","0","999","500","1","7","22002","2"
"20002","8","10","12","0","2","91002","94002","20","16000","0","0","4999","1000","3","4","22001","2"
"20002","8","11","12","0","2","91002","94002","15","9000","0","0","9999","5000","2","3","22001","2"
"20001","8","12","12","0","2","91002","94002","10","4000","0","0","11999","10000","1","8","22001","2"
"20001","8","13","12","0","2","91002","94002","5","3000","0","0","13999","12000","1","7","22001","2"
"20001","8","14","12","0","2","91002","94002","4","2000","0","0","14999","14000","1","6","22001","2"
"20001","8","15","12","0","2","91002","94002","3","1800","0","0","30000","15000","1","5","22001","2"
