dc4cbae37bf844d36dc4bf47e063c16b1d5116d05df179dde9b35db2115ecd2b,2b1585b9e4f2c09878fa925fafdd0fd95c31e567ef2a985f3e3ba7688f71281f,adefaaad54929935d6370255055df7d0405d8f2b188960cb01da981697c10f51,58523c9dd9eb113bb137962af4dff4f439651be9af098e7fd78e653d6aa90998,d0ccfd5f64c46211ce4a282a8b85ddf9bf2460d48c776b9e904af6ea541089d1,601e238ea8d52564ac1041748c5b0068e22e22373d19e817356d0e7aea32a8c6,2f4bb94d322781eb591dd77b16ca764b01459827929b642f66c27efce1692c2e,5cd72204c6bd1eea8f026bbac39a99abd02992b76c6a267b01e4fc58d43fa4fa,b3c412602bc8718a19e30a5f26965df0f215124817800f6c31d39cd2c7c7a34e,4c39ccb9dda670254fac7156cf92d7c03ea0c52ba9983e6b3195df0d7fe6dfc5,9362bcea2648602e97ac4c624a1e771bd4a43bd5a1c6269f616ccdbe7d726f03
"1.5","115","1","101001","nop_idle_joy1","0","111831","-150","101","-100","1"
"1.5","114","1","101002","nop_idle_normal_joy","1","120731","-150","101","100","1"
"1.5","111","1","101003","nop_idle_arm_crossed","0","120831","-127","101","-215","1"
"1.5","110","1","101004","nop_idle_normal","1","111931","-127","101","215","1"
"1.5","113","1","101005","nop_idle_thinking","0","120931","-150","101","-330","1"
"1.5","112","1","101006","nop_idle_normal","1","112031","-150","101","330","1"
"1.5","115","1","102001","nop_idle_joy1","0","108731","-150","102","-100","1"
"1.5","114","1","102002","nop_idle_joy_normal","1","108831","-150","102","100","1"
"1.5","111","1","102003","nop_idle_normal","0","108931","-127","102","-215","1"
"1.5","113","1","103001","nop_idle_joy1","0","102011","-135","103","-100","1"
"1.5","115","1","103002","nop_idle_normal","0","100411","-150","103","-215","1"
"1.5","114","1","103003","nop_idle_wish","1","103631","-143","103","100","1"
"1.5","115","1","104001","nop_idle_normal","0","101231","-150","104","-100","1"
"1.5","114","1","104002","nop_idle_normal","1","104011","-150","104","100","1"
"1.5","111","1","104003","nop_idle_normal","0","101511","-127","104","-215","1"
"1.5","113","1","105001","nop_idle_normal","0","103111","-135","105","-100","1"
"1.5","111","1","105002","nop_idle_sad","1","102211","-135","105","100","1"
"1.5","115","1","105003","nop_05_miyako_idle_normal","0","100711","-150","105","-215","1"
"1.5","112","1","105004","nop_idle_joy1","1","100611","-150","105","215","1"
"1.5","114","5","105005","nop_skull_idle","1","2051","-135","105","-25","1"
"1.5","115","1","106001","nop_idle_arm_crossed","0","104731","-150","106","-215","1"
"1.5","114","1","106002","nop_idle_arm_crossed","1","107131","-150","106","215","1"
"1.5","111","1","106003","nop_idle_normal","0","103731","-135","106","-100","1"
"1.5","110","1","106004","nop_idle_joy1","1","100511","-135","106","100","1"
"1.5","115","1","107001","nop_idle_normal","0","102831","-150","107","-100","1"
"1.5","114","1","107002","nop_idle_normal","1","102111","-150","107","100","1"
"1.5","111","1","107003","nop_idle_normal","0","102511","-127","107","-215","1"
"1.5","110","1","107004","nop_idle_normal","1","102311","-127","107","215","1"
"1.5","115","1","108001","nop_idle_joy_normal","0","101011","-150","108","-100","1"
"1.5","114","1","108002","nop_idle_arm_crossed","1","104331","-150","108","100","1"
"1.5","111","1","108003","nop_idle_joy1","0","101711","-127","108","-215","1"
"1.5","110","1","108004","nop_idle_normal","1","101431","-127","108","215","1"
"1.5","115","1","109001","nop_idle_joy1","0","103311","-150","109","-100","1"
"1.5","111","1","109002","nop_idle_joy_normal","0","105211","-127","109","-215","1"
"1.5","114","1","109003","nop_idle_sad2","1","102611","-150","109","100","1"
"1.5","110","1","109004","nop_idle_normal","1","103811","-127","109","215","1"
"1.5","115","1","110001","nop_idle_joy1","0","103231","-150","110","-100","1"
"1.5","110","1","110002","nop_10_yukari_02","1","103411","-127","110","215","1"
"1.5","111","5","110003","nop_10_yukari_02","1","11","-127","110","215","1"
"1.5","114","1","110004","nop_idle_doya","1","104811","-150","110","100","1"
"1.5","111","1","110005","nop_idle_joy_normal","0","104611","-127","110","-215","1"
"1.5","115","1","111001","nop_11_anna_idle_arm_crossed","0","100911","-150","111","-100","1"
"1.5","114","1","111002","nop_idle_joy_normal","1","101311","-150","111","100","1"
"1.5","111","1","111003","nop_11_eriko_idle_wish","0","102711","-127","111","-215","1"
"1.5","110","1","111004","nop_idle_normal","1","105111","-127","111","215","1"
"1.5","115","1","112001","nop_idle_joy1","1","101831","-143","112","100","1"
"1.5","110","1","112002","nop_idle_joy_normal","0","101611","-135","112","-100","1"
"1.5","114","1","112003","nop_idle_joy_normal","0","105011","-150","112","-215","1"
"1.5","113","1","113001","nop_idle_normal_joy","1","105331","-150","113","100","1"
"1.5","114","1","113002","nop_13_kuka_idle_memory2","0","104511","-150","113","-100","1"
"1.5","110","1","113003","nop_idle_joy1","0","103031","-127","113","-215","1"
"1.5","111","1","113004","nop_idle_thinking","0","100811","-150","113","-330","1"
"1.5","115","1","113005","nop_idle_sad","1","105511","-150","113","240","1"
"1.5","115","1","114001","nop_idle_normal","1","106831","-150","114","100","1"
"1.5","114","1","114002","nop_idle_normal","0","101131","-150","114","-100","1"
"1.5","110","1","114003","nop_idle_normal","0","104931","-127","114","-215","1"
"1.5","115","1","115001","nop_idle_joy1","1","102931","-143","115","100","1"
"1.5","110","1","115002","nop_idle_wish","0","104211","-135","115","-100","1"
"1.5","114","1","115003","nop_idle_normal","0","105411","-150","115","-215","1"
"1.5","115","1","116001","nop_idle_normal","1","106731","-150","116","100","1"
"1.5","114","1","116002","nop_idle_joy1","0","106631","-150","116","-100","1"
"1.5","110","1","116003","nop_16_kaya_idle_normal2","0","106531","-127","116","-215","1"
"1.5","116","5","116004","nop_rago_idle","1","2","-150","116","180","1"
"1.5","115","1","117001","nop_idle_normal","1","111031","-150","117","100","1"
"1.5","114","1","117002","nop_idle_joy2","0","110931","-150","117","-100","1"
"1.5","110","1","117003","nop_17_chloe_idle_normal2","0","110831","-127","117","-215","1"
"1.5","115","5","117004","NoItem_idle","0","1","-150","117","-100","1"
"1.5","115","1","118001","nop_18_muimi_idle_joy_normal","1","114711","-150","118","-100","1"
"1.5","114","1","118002","nop_18_karin_idle_normal","0","118511","-150","118","100","1"
"1.5","111","1","118003","nop_idle_normal","0","115031","-127","118","-215","1"
"1.5","110","1","118004","nop_idle_joy1","1","118031","-127","118","215","1"
"1.2","100","1","201001","nop_idle_joy1","0","111831","0","201","-60","1"
"1.2","101","1","201002","nop_idle_normal_joy","1","120731","0","201","60","1"
"1.2","102","1","201003","nop_idle_arm_crossed","0","120831","-5","201","-130","1"
"1.2","103","1","201004","nop_idle_normal","1","111931","-5","201","130","1"
"1.2","104","1","201005","nop_idle_thinking","0","120931","-20","201","-200","1"
"1.2","105","1","201006","nop_idle_normal","1","112031","-20","201","200","1"
"1.2","100","1","202001","nop_idle_joy1","0","108731","0","202","-60","1"
"1.2","101","1","202002","nop_idle_joy_normal","1","108831","0","202","60","1"
"1.2","102","1","202003","nop_idle_normal","0","108931","-5","202","-130","1"
"1.2","100","1","203001","nop_idle_joy1","0","102011","0","203","-60","1"
"1.2","101","1","203002","nop_idle_normal","0","100411","-5","203","-130","1"
"1.2","102","1","203003","nop_idle_wish","1","103631","-5","203","60","1"
"1.2","100","1","204001","nop_idle_normal","0","101231","0","204","-60","1"
"1.2","101","1","204002","nop_idle_normal","1","104011","0","204","60","1"
"1.2","102","1","204003","nop_idle_normal","0","101511","-5","204","-130","1"
"1.2","100","1","205001","nop_idle_normal","0","103111","0","205","-80","1"
"1.2","101","1","205002","nop_idle_sad","1","102211","0","205","60","1"
"1.2","104","1","205003","nop_05_miyako_idle_normal","0","100711","-5","205","-150","1"
"1.2","103","1","205004","nop_idle_joy1","1","100611","-5","205","130","1"
"1.2","102","5","205005","nop_skull_idle","1","2051","0","205","-20","1"
"1.2","102","1","206001","nop_idle_arm_crossed","0","104731","-5","206","-130","1"
"1.2","103","1","206002","nop_idle_arm_crossed","1","107131","-5","206","130","1"
"1.2","100","1","206003","nop_idle_normal","0","103731","0","206","-60","1"
"1.2","101","1","206004","nop_idle_joy1","1","100511","0","206","60","1"
"1.2","100","1","207001","nop_idle_normal","0","102831","0","207","-60","1"
"1.2","101","1","207002","nop_idle_normal","1","102111","0","207","60","1"
"1.2","102","1","207003","nop_idle_normal","0","102511","-5","207","-130","1"
"1.2","103","1","207004","nop_idle_normal","1","102311","-5","207","130","1"
"1.2","100","1","208001","nop_idle_joy_normal","0","101011","0","208","-60","1"
"1.2","101","1","208002","nop_idle_arm_crossed","1","104331","0","208","60","1"
"1.2","102","1","208003","nop_idle_joy1","0","101711","-5","208","-130","1"
"1.2","103","1","208004","nop_idle_normal","1","101431","-5","208","130","1"
"1.2","100","1","209001","nop_idle_joy1","0","103311","0","209","-60","1"
"1.2","102","1","209002","nop_idle_joy_normal","0","105211","-5","209","-130","1"
"1.2","101","1","209003","nop_idle_sad2","1","102611","0","209","60","1"
"1.2","103","1","209004","nop_idle_normal","1","103811","-5","209","130","1"
"1.2","100","1","210001","nop_idle_joy1","0","103231","0","210","-60","1"
"1.2","103","1","210002","nop_10_yukari_02","1","103411","-5","210","130","1"
"1.2","104","5","210003","nop_10_yukari_02","1","11","-5","210","130","1"
"1.2","101","1","210004","nop_idle_doya","1","104811","0","210","60","1"
"1.2","102","1","210005","nop_idle_joy_normal","0","104611","-5","210","-130","1"
"1.2","100","1","211001","nop_11_anna_idle_arm_crossed","0","100911","0","211","-60","1"
"1.2","101","1","211002","nop_idle_joy_normal","1","101311","0","211","60","1"
"1.2","102","1","211003","nop_11_eriko_idle_wish","0","102711","-5","211","-130","1"
"1.2","103","1","211004","nop_idle_normal","1","105111","-5","211","130","1"
