8782b824d25f0d6b35d027080e1ca4ace683de92a97c14f11285e08f44bef5f3,700003d0c68493109027501aa6089ad749840b217fb2e057d0cc4be6dae1d221,c9a51b319c802088ec12022cc91cd2f9d3dad5e90e36df632cea2a56fbcb4d26,a1d8c96bb8dcf5a2df16d8b0441c24a96262dd1e4d22968dcdf1f0ffcf7458d7,37be08c2c21a82f53b2738ff9c86794fbfa49aa3c6b08eea1dbe36fc27856ff2,e1d9f071226d0ef0247cd8f7cf2688da59dd10dad962a5b7b959cf5fe8312855,4dfffefcdf15b3cdec3f6c8d8ebf3ae6144e594a8c7b8819b7b0b9345ac76848,dbc3d8ab56db3fa6018db81082b53aba87258f1b0400f75b0baa5ba1fac2f518,df7eaef3589ebb9546ddc8adb3f01b51addd83802b26f9c59c918cea7f5b67b6,d773c6931d4514e61f281dd6bd1bf610339cd65a48fd8af373d13cbc65dd6c59,dc31ec58f65fc3d3a7a7c9143cf1c762299b3c9b4df90202e0ca67ada0a27616,8bb7250ced9c63d716d40a229ffffe7967cfa68edb82c1166df2664242756645,58645335342c715b3e17141c6bb8b378082947a4f1c62d61ee16ad76a003b564,d0300e7ceac166f3dee174d1d9f4923d6fd0d4f168505e178243733657409171,79ba16bcdc5001a067478f74de217e5387331b32814d42f04ace12e9462abb13,b6f87ee6d63fc7b5f198986388ab55ccd9ea76d6e41ad75b36f26f7fb575ada3,e7b3aae5a3beffb4a90843f2736b860d6b2daf4ea2306a00ffd7ffcf1f94c34c,d3ce85ea80912d6d178eeac6372792c8aac44a451b1820e22b82e15c8ef03c1c,f562bf78be90001d75502b9d48ab58026c00c32c0bf0fb15276037cac79b8f2e,76921919cc8058d095feedfc95aeda4957bb54d32b0fd95487de9bf8b6c8b55c,d370576acd3508e046cd0a55de0a636f6a8d283a38974676dffdc25a018244e7
"3100","EnemyD","EnemyA","AccelBoardA","2500","NONE","600","1800","NONE","JumpOverTrap","NONE","1000","0","NONE","0","SpeedTerritoryA","1000","0","NONE","0","0"
"3000","SpeedTerritoryA","EnemyC","AccelBoardA","2000","NONE","500","1300","NONE","AccelBoardA","NONE","800","0","NONE","0","WholeCake","1001","0","NONE","0","0"
"2000","SpeedTerritoryA_NoColl","Balloon","EnemyA_NoColl","1600","NONE","400","1300","NONE","TrapA_NoCall","NONE","1000","0","NONE","0","EnemyB_NoColl","1002","0","NONE","0","0"
"3300","EnemyB","JumpOverTrap","AccelBoardA","3000","NONE","700","2300","NONE","AccelBoardA","NONE","1500","0","NONE","0","JumpOverTrap","1003","0","NONE","0","0"
"0","JumpOverTrap","JumpOverTrap","EnemyA","2700","NONE","800","1900","NONE","NONE","NONE","1300","0","NONE","0","SpeedTerritoryA","1004","0","NONE","0","0"
"3300","SpeedTerritoryA","JumpBoard","JumpOverEnemyC","2600","NONE","300","2000","NONE","EnemyC","NONE","1500","0","NONE","0","AccelBoardA","1005","0","NONE","0","0"
"3000","TrapA","EnemyA","TrapA","2500","NONE","700","1800","NONE","AccelBoardA","NONE","1300","0","TrapA","0","JumpOverTrap","1006","3700","NONE","0","0"
"3100","JumpOverTrap","AccelBoardA","EnemyC","2400","NONE","500","1800","NONE","JumpOverTrap","NONE","1300","0","NONE","0","EnemyC","1007","0","NONE","0","0"
"3400","EnemyC","AccelBoardA","JumpBoard","2700","NONE","500","2300","NONE","JumpOverTrap","NONE","1100","0","EnemyC","0","AccelBoardA","1008","3700","NONE","0","0"
"3300","EnemyA_NoColl","Balloon","TrapA_NoCall","2900","NONE","400","2000","NONE","JumpOverTrap","NONE","1000","0","SpeedTerritoryA","0","JumpOverTrap","1009","3700","NONE","0","0"
"3500","JumpOverTrap","JumpOverTrap","SpeedTerritoryA","3000","NONE","400","2200","NONE","JumpOverTrap","NONE","1400","0","NONE","0","EnemyB","1010","0","NONE","0","0"
"2800","JumpBoard","EnemyH","SpeedTerritoryA","2400","NONE","400","1500","NONE","EnemyA","NONE","900","0","AccelBoardA","0","JumpOverTrap","1011","3300","NONE","0","0"
"3750","SpeedTerritoryA_NoColl","Balloon","SpeedTerritoryA_NoColl","2850","NONE","300","2200","NONE","EnemyB","NONE","1200","0","NONE","0","JumpBoard","1012","0","NONE","0","0"
"3300","TrapA","SpeedTerritoryA","AccelBoardA","2600","NONE","900","2100","NONE","TrapA","NONE","1400","0","NONE","0","EnemyH","1013","0","NONE","0","0"
"2600","TrapA","WholeCake","SpeedTerritoryA","2200","NONE","400","1800","JumpOverEnemyB","JumpOverTrap","NONE","1400","0","AccelBoardA","3500","JumpOverEnemyB","1014","3000","NONE","0","0"
"3700","SpeedTerritoryA_NoColl","Balloon","EnemyA_NoColl","2500","NONE","600","1900","NONE","EnemyC","NONE","1100","0","NONE","0","TrapA_NoCall","1015","0","NONE","0","0"
