9ff4105762cd5e2a0513f71dbddd7eb9d97bda3be510bec6db801e00fe17e567,78ef925cb59a01745b9767d9c146fe0f922d6cc326a65dbe678a6e8b1f88d820,49677597b59a26d29cba0869501d87aa07d6975ec080dcf9eb441db0c7a6a2a1,fee98282fcc12e2e03d21dc12c9a26e6ccbfa9d3da84f7ad89f9935fa58b2d72,6a45aec62e8e63989c8314d9a404ac31dd0a4ae7808cbaf8f01467d7c8f50004,97b87aeb982a3be13b553a0d417008dd631c58e63c4cbd1e1bb6c06448ed29ec,88b8f7a5f6b7f1446db08bdc968aa7f90041f697db7daec5f345e8104f932673,6415df43de954ffd6e858b8fb530db248dfc5d7a711eb21b3df44b8abdf280ef
"710100011","100","0","710000101","710000105","710000001","710000102","710000104"
"710100021","100","0","710000201","710000203","710000002","710000202","710000204"
"710100031","100","0","710000301","710000305","710000003","710000304","710000302"
"710100041","100","0","710000401","710000405","710000004","710000404","710000402"
"710100051","100","0","710000502","710000501","710000005","710000505","710000504"
"710100061","100","710000604","710000601","710000602","710000006","710000605","710000603"
"710100071","100","710000705","710000704","710000702","710000007","710000701","710000703"
"710100081","100","710000804","710000805","710000801","710000008","710000802","710000803"
"710100091","100","710000905","710000902","710000904","710000009","710000903","710000901"
"710100101","100","0","0","0","710000010","0","710001001"
"710100111","100","710001104","710001101","710001105","710000011","710001103","710001102"
"710100121","100","710001204","710001205","710001202","710000012","710001201","710001203"
"710100131","100","710001305","710001301","710001302","710000013","710001303","710001304"
"710100141","100","710001405","710001401","710001402","710000014","710001404","710001403"
"710100151","100","710001504","710001501","710001502","710000015","710001505","710001503"
"710100161","100","710001604","710001602","710001603","710000016","710001601","710001605"
"710100171","100","710001704","710001703","710001702","710000017","710001701","710001705"
"710100181","100","710001805","710001801","710001802","710000018","710001804","710001803"
"710100191","100","710001905","710001902","710001903","710000019","710001901","710001904"
"710100201","100","0","710002002","0","710000020","710002001","710002002"
"710100211","100","710002105","710002104","710002101","710000021","710002102","710002103"
"710100221","100","710002205","710002204","710002202","710000022","710002201","710002203"
"710100231","100","710002305","710002302","710002301","710000023","710002304","710002303"
"710100241","100","710002405","710002404","710002402","710000024","710002401","710002403"
"710100251","100","710002505","710002502","710002504","710000025","710002503","710002501"
"710100261","100","710002604","710002602","710002605","710000026","710002601","710002603"
"710100271","100","710002704","710002702","710002701","710000027","710002705","710002703"
"710100281","100","710002804","710002801","710002805","710000028","710002802","710002803"
"710100291","100","710002905","710002901","710002902","710000029","710002904","710002903"
"710100301","100","0","710003002","710003001","710000030","710003003","710003002"
"710100311","100","710003105","710003102","710003104","710000031","710003101","710003103"
"710100321","100","710003205","710003204","710003202","710000032","710003201","710003203"
"710100331","100","710003305","710003304","710003301","710000033","710003302","710003303"
"710100341","100","710003405","710003404","710003401","710000034","710003402","710003403"
"710100351","100","710003505","710003501","710003504","710000035","710003502","710003503"
"710100361","100","710003605","710003601","710003604","710000036","710003602","710003603"
"710100371","100","710003705","710003704","710003702","710000037","710003701","710003703"
"710100381","100","710003805","710003801","710003802","710000038","710003804","710003803"
"710100391","100","710003904","710003902","710003905","710000039","710003901","710003903"
"710100401","100","0","710004002","710004001","710000040","710004003","710004002"
"710100411","100","710004105","710004102","710004101","710000041","710004104","710004103"
"710100421","100","710004205","710004203","710004201","710000042","710004202","710004204"
"710100431","100","710004305","710004304","710004301","710000043","710004302","710004303"
"710100441","100","710004405","710004402","710004404","710000044","710004403","710004401"
"710100451","100","710004505","710004501","710004504","710000045","710004502","710004503"
"710100461","100","710004605","710004604","710004601","710000046","710004602","710004603"
"710100471","100","710004705","710004701","710004704","710000047","710004702","710004703"
"710100481","100","710004804","710004801","710004803","710000048","710004802","710004805"
"710100491","100","710004905","710004904","710004902","710000049","710004901","710004903"
"710100501","100","710005004","710005002","710005001","710000050","710005003","710005002"
"710100511","100","710005105","710005102","710005101","710000051","710005103","710005104"
"710100521","100","710005205","710005202","710005201","710000052","710005204","710005203"
"710100531","100","710005304","710005301","710005305","710000053","710005303","710005302"
"710100541","100","710005404","710005402","710005403","710000054","710005401","710005405"
"710100551","100","710005505","710005504","710005501","710000055","710005502","710005503"
"710100561","100","710005604","710005601","710005605","710000056","710005603","710005602"
"710100571","100","710005705","710005701","710005704","710000057","710005702","710005703"
"710100581","100","710005805","710005801","710005802","710000058","710005804","710005803"
"710100591","100","710005905","710005902","710005901","710000059","710005903","710005904"
"710100601","100","710006004","710006002","710006001","710000060","710006003","710006002"
"710100611","100","710006105","710006101","710006102","710000061","710006104","710006103"
"710100621","100","710006204","710006203","710006202","710000062","710006201","710006205"
"710100631","100","710006303","710006301","710006305","710000063","710006302","710006304"
"710100641","100","710006405","710006404","710006402","710000064","710006401","710006403"
"710100651","100","710006504","710006502","710006505","710000065","710006501","710006503"
"710100661","100","710006605","710006604","710006602","710000066","710006603","710006601"
"710100671","100","710006702","710006703","710006701","710000067","710006705","710006704"
"710100681","100","710006804","710006803","710006801","710000068","710006802","710006805"
"710100691","100","710006905","710006903","710006902","710000069","710006901","710006904"
"710100701","100","710007003","710007002","710007001","710000070","710007004","710007002"
"710200711","100","710007105","710007102","710007104","710000071","710007103","710007101"
"710200721","100","710007205","710007202","710007204","710000072","710007203","710007201"
"710200731","100","710007305","710007302","710007304","710000073","710007303","710007301"
"710200741","100","710007405","710007402","710007404","710000074","710007403","710007401"
"710200751","100","710007505","710007503","710007504","710000075","710007502","710007501"
"710200761","100","710007605","710007602","710007604","710000076","710007603","710007601"
"710200771","100","710007705","710007701","710007704","710000077","710007703","710007702"
"710200781","100","710007805","710007802","710007804","710000078","710007803","710007801"
"710200791","100","710007905","710007903","710007904","710000079","710007902","710007901"
"710200801","100","710008004","710008001","710008003","710000080","710008002","710008001"
"710200811","100","710008105","710008102","710008104","710000081","710008103","710008101"
"710200821","100","710008205","710008202","710008204","710000082","710008203","710008201"
"710200831","100","710008305","710008302","710008304","710000083","710008303","710008301"
"710200841","100","710008405","710008402","710008404","710000084","710008403","710008401"
"710200851","100","710008505","710008502","710008504","710000085","710008503","710008501"
"710200861","100","710008605","710008602","710008604","710000086","710008603","710008601"
"710200871","100","710008705","710008703","710008704","710000087","710008702","710008701"
"710200881","100","710008805","710008802","710008804","710000088","710008803","710008801"
"710200891","100","710008905","710008902","710008904","710000089","710008903","710008901"
"710200901","100","710009004","710009001","710009003","710000090","710009002","710009001"
"710200911","100","710009105","710009102","710009104","710000091","710009103","710009101"
"710200921","100","710009205","710009202","710009204","710000092","710009203","710009201"
"710200931","100","710009305","710009302","710009303","710000093","710009304","710009301"
"710200941","100","710009405","710009402","710009404","710000094","710009403","710009401"
"710200951","100","710009505","710009504","710009503","710000095","710009502","710009501"
"710200961","100","710009605","710009602","710009604","710000096","710009603","710009601"
"710200971","100","710009705","710009702","710009704","710000097","710009703","710009701"
"710200981","100","710009805","710009802","710009804","710000098","710009801","710009803"
"710200991","100","710009905","710009902","710009904","710000099","710009903","710009901"
"710201001","100","710010003","710010001","710010004","710000100","710010002","710010001"
"710201011","100","710010105","710010102","710010104","710000101","710010103","710010101"
"710201021","100","710010205","710010203","710010204","710000102","710010202","710010201"
"710201031","100","710010305","710010302","710010304","710000103","710010303","710010301"
"710201041","100","710010405","710010402","710010404","710000104","710010403","710010401"
"710201051","100","710010505","710010502","710010504","710000105","710010503","710010501"
"710201061","100","710010605","710010602","710010604","710000106","710010603","710010601"
"710201071","100","710010705","710010701","710010702","710000107","710010703","710010704"
"710201081","100","710010805","710010802","710010804","710000108","710010803","710010801"
"710201091","100","710010905","710010902","710010904","710000109","710010903","710010901"
"710201101","100","710011004","710011001","710011003","710000110","710011002","710011001"
"710301111","100","710011105","710011103","710011102","710000111","710011104","710011101"
"710301121","100","710011205","710011201","710011204","710000112","710011202","710011203"
"710301131","100","710011305","710011301","710011302","710000113","710011304","710011303"
"710301141","100","710011405","710011401","710011404","710000114","710011403","710011402"
"710301151","100","710011505","710011503","710011502","710000115","710011504","710011501"
"710301161","100","710011605","710011603","710011604","710000116","710011602","710011601"
"710301171","100","710011705","710011703","710011704","710000117","710011702","710011701"
"710301181","100","710011805","710011802","710011804","710000118","710011803","710011801"
"710301191","100","710011905","710011903","710011902","710000119","710011904","710011901"
"710301201","100","710012004","710012001","710012003","710000120","710012002","710012001"
"710301211","100","710012103","710012104","710012102","710000121","710012105","710012101"
"710301221","100","710012205","710012201","710012204","710000122","710012202","710012203"
"710301231","100","710012305","710012302","710012304","710000123","710012303","710012301"
"710301241","100","710012403","710012402","710012404","710000124","710012405","710012401"
"710301251","100","710012504","710012502","710012505","710000125","710012503","710012501"
"710301261","100","710012605","710012604","710012602","710000126","710012603","710012601"
"710301271","100","710012705","710012702","710012704","710000127","710012703","710012701"
"710301281","100","710012805","710012803","710012802","710000128","710012804","710012801"
"710301291","100","710012905","710012904","710012902","710000129","710012901","710012903"
"710301301","100","710013004","710013001","710013003","710000130","710013002","710013001"
"710401311","100","710013105","710013102","710013104","710000131","710013103","710013101"
"710401321","100","710013205","710013202","710013204","710000132","710013203","710013201"
"710401331","100","710013305","710013302","710013304","710000133","710013303","710013301"
"710401341","100","710013405","710013402","710013404","710000134","710013403","710013401"
"710401351","100","710013505","710013502","710013504","710000135","710013503","710013501"
"710401361","100","710013605","710013602","710013604","710000136","710013603","710013601"
"710401371","100","710013705","710013702","710013704","710000137","710013703","710013701"
"710401381","100","710013803","710013802","710013805","710000138","710013804","710013801"
"710401391","100","710013905","710013902","710013904","710000139","710013903","710013901"
"710401401","100","710014004","710014001","710014003","710000140","710014002","710014001"
