616886c7c853c2f0b5ef673f9428a6342dcf089c2d30e7471a348665b40e45bf,4709c7ff9c54e8787bf6ce538a001a6b0b608eb729568a696239795c04876f91,ad8cdcd6b166f98ff7c5efadbd64d15848fa659a6b3355c71f131e719f06f068,13eeaaf5de874f20365f1ffc12b807688f180d8ef846af1fa4db69e61e2550c4,8355d924a4f76e67bc9cc54c24924f641b6138c4b058eeac61a6aab9d9df91be,be6790df93efeebb1fa65b2e1e0bed26f3543f79b656e2528e230717384a7718,c18331724d88be10797a8e596799e08a4f99cc4a011e39d3f141e9707e2188fc,82cf98b0c1ffcaeeb06b27dfd50850684cf21a4eddeb012e266e9aef9e53100f,d37cdb8d1200a8b78c6b2aa63094b67315c6901457901f3806da5a6f2a1a0b92,681971086a77d7201e0abfc40a022b0bb6a5069643b10f0076b8390969f0a29e,8e7dff2dfd5cc0bffb141ab477d9ec101f15a0663d621e4674814e23c0aabc89
"","","25","4514","bgm_M321_2C","","","4514001","","bgm_M321",""
"-1000","2","1","4514","105811","250","-70","4514002","0","1","wac_birthday_idle_normal"
"200","2","1","4514","106011","256","-270","4514003","1","1","wac_birthday_idle_doya"
"320","2","1","4514","105911","258","-310","4514004","1","1","wac_birthday_idle_wish"
"440","2","1","4514","106431","257","-290","4514005","1","1","wac_birthday_idle_smile"
"","","13","4514","300","","","4514006","","105811",""
"","","13","4514","300","","","4514007","","106011",""
"0","1","31","4514","600","0","1","4514008","","600",""
"0","0","31","4514","602","0","1","4514009","","602",""
"0","0","31","4514","603","0","1","4514010","","603",""
"60","1","31","4514","604","30","1","4514011","","604",""
"0","1","31","4514","611","0","1","4514012","","611",""
"0","0","31","4514","700","0","1","4514013","","700",""
"0","0","31","4514","701","0","1","4514014","","701",""
"0","0","31","4514","702","0","1","4514015","","702",""
"0","0","31","4514","800","0","1","4514016","","800",""
"60","1","31","4514","900","30","1","4514017","","900",""
"","","93","4514","","","","4514018","","1",""
"wac_birthday_reaction_03","0.2","3","4514","wac_birthday_reaction_01","0","1","4514019","0.2","105911",""
"","","93","4514","","","","4514020","","0.1",""
"wac_birthday_reaction_04","0.2","3","4514","wac_birthday_reaction_05","0","1","4514021","0.2","106011",""
"wac_birthday_reaction_03","0.2","3","4514","wac_birthday_reaction_02","0","1","4514022","0.2","106431",""
"","","93","4514","","","","4514023","","0.3",""
"","0.2","3","4514","wac_birthday_run_01","1","","4514024","","105811",""
"3","","2","4514","0","-70","","4514025","","105811",""
"","","93","4514","","","","4514026","","2.5",""
"","","32","4514","1","","","4514027","","602",""
"","","93","4514","","","","4514028","","0.6",""
"","","32","4514","0","","","4514029","","600",""
"","","32","4514","0","","","4514030","","611",""
"","","32","4514","0","","","4514031","","604",""
"","","32","4514","1","","","4514032","","701",""
"0.01","","33","4514","0","0","","4514033","","900",""
"wac_birthday_wish_02","0.2","3","4514","wac_birthday_blowout_02","0","1","4514034","0.2","105811",""
"0.01","","2","4514","-200","-330","","4514035","","105811",""
"","0.2","3","4514","wac_birthday_idle_doya","1","","4514036","","106011",""
"0.01","","2","4514","180","-320","","4514037","","106011",""
"","0.2","3","4514","wac_birthday_idle_wish","1","","4514038","","105911",""
"0.01","","2","4514","300","-360","","4514039","","105911",""
"","0.2","3","4514","wac_birthday_idle_smile","1","","4514040","","106431",""
"0.01","","2","4514","420","-340","","4514041","","106431",""
"","","93","4514","","","","4514042","","0",""
"","","32","4514","1","","","4514043","","800",""
"","","93","4514","","","","4514044","","0.7",""
"","","32","4514","1","","","4514045","","702",""
"","","93","4514","","","","4514046","","0.5",""
"","","23","4514","se_sys_login_birthday_blow_candle","0","","4514047","","se_common",""
"","","32","4514","0","","","4514048","","701",""
"","","93","4514","","","","4514049","","0.4",""
"","","23","4514","se_sys_login_birthday_cracker","0","","4514050","","se_common",""
"","","32","4514","1","","","4514051","","700",""
"","","23","4514","se_sys_login_birthday_calendar_applause","0","","4514052","","se_common",""
"wac_birthday_idle_doya","0.2","3","4514","wac_birthday_clap","0","1","4514053","0.2","106011",""
"","","93","4514","","","","4514054","","0.1",""
"wac_birthday_idle_wish","0.2","3","4514","wac_birthday_clap_to_wish","0","1","4514055","0.2","105911",""
"","","93","4514","","","","4514056","","0.1",""
"wac_birthday_idle_smile","0.2","3","4514","wac_birthday_clap","0","1","4514057","0.2","106431",""
"","","93","4514","","","","4514058","","2",""
"","","131","4514","","","","4514059","","1",""
"0","","21","4514","vo_wac_04514_000","0","","4514060","","vo_wac_04514",""
"1","0","11","4514","這是生日蛋糕嗎！？\n謝謝你♪\n看起來好好吃……\n我馬上來大快朵頤囉♪","10","1","4514061","0","105811","0.5"
"","","91","4514","","","","4514062","","0",""
"","0.2","3","4514","wac_birthday_idle_kyapi","1","","4514063","","105811",""
"","0.2","3","4514","wac_birthday_talk_normal","1","","4514064","","106011",""
"0","","21","4514","vo_wac_04514_001","0","","4514065","","vo_wac_04514",""
"1","0","11","4514","慢著慢著，等一下────！！\n蠟燭都還沒拿下來耶！？\n妳這個人真的是一點也沒變啊……\n呵呵，生日快樂。","10","1","4514066","0","106011","0.5"
"","","91","4514","","","","4514067","","0",""
"","0.2","3","4514","wac_birthday_idle_doya","1","","4514068","","106011",""
"","0.2","3","4514","wac_birthday_talk_kyapi","1","","4514069","","105811",""
"0","","21","4514","vo_wac_04514_002","0","","4514070","","vo_wac_04514",""
"1","0","11","4514","嘻嘻，謝謝妳♪\n我會好好品嚐的！\n能夠得到大家的祝福，\n今天是最棒的紀念日♪","10","1","4514071","0","105811","0.5"
"","","91","4514","","","","4514072","","0",""
