e0800bf39d50d683ad0f814df30788093bcd2aba897d6fbad39e96120e110b90,b7a10da0c8a182f2ff37434a48cb6e11ffff975b59536b8e85addf5c7e92ac2d,3ec8ff4c33f1cb4329f25d17a2720fe9adbe1dbcd05c8ec122c540a463f7b284,276e9ddab55dc460ca7c94adb53e6255da9c382e455af03e0c6576e23bd55c2a,3b4e7dfd07540ad27bdc9a3f54a2d2ba8867ace503473f22affda55cafeae6d1,e64922357aae9258311a9896aa9181654d537ee03960467048c8eefbc3137a10,cf87403b90b4e145cd1a3c3e05cd4fabea9eab4b7e1beb86385af2c0fedc0738,4cfff54e126c63433498beda552c715614529101d527d501ec0b54222656271c,c9185cf7ab5853bed68039d489ea5f1fdc8e01cec723899b039358a420be5d76,6aacf6935e05931ac088bc9e2ff97883b0528b645b7581e032ac6fa1572e436c,e40bc955c75b560928878e12fb98e40fecff13379000f2b680747663dede8ef1,52b7ed1930f5b272f874e530f1a10f8b42773174c58002aa8cabab62ed5d02ff
"2","24009","1","0","80005_1","80005_3","1","★3必中3周年轉蛋券","1","80005_2","80005","80000"
"2","24010","1","0","80006_1","80006_3","1","★3必中4周年轉蛋券","1","80006_2","80006","80000"
"2","24014","1","0","80010_1","80010_3","1","★3必中 公主連結慶典2023紀念轉蛋券","1","80010_2","80010","80000"
"2","24015","1","0","80011_1","80011_3","1","★3必中 5周年紀念轉蛋券","1","80011_2","80011","80000"
"2","24016","1","0","80012_1","80012_3","1","★3必中 新手衝刺轉蛋券","1","80012_2","80012","80000"
"2","24017","1","0","80013_1","80013_3","1","★3必中 公主連結慶典2024紀念轉蛋券","1","80013_2","80013","80000"
"2","24018","1","0","80014_1","80014_3","1","★3必中 公主連結慶典2025紀念轉蛋券","1","80014_2","80014","80000"
"2","24027","1","0","80023_1","80023_3","1","★3必中 新手衝刺任務轉蛋券","1","80023_2","80023","80000"
"2","24028","1","3","80024_1","80024_3","0","回歸10連轉蛋券","10","80024_2","80024","80001"
"2","24029","1","3","80025_1","80025_3","0","回歸SP10連轉蛋券","10","80025_2","80025","80001"
"2","24030","1","2","80026_1","80026_3","0","佐賀偶像是傳奇合作紀念 10連轉蛋券","10","80026_2","80026","80001"
