b924ad8c402e1256386adbd54c5ad5ae08d2f7b3c592ae1d3e9bfdd7b312bb54,30f2d27217db4e837c871848433906ff655123fa64b76ee8a314eb789edf0acf
"21001","20000"
"21002","20000"
"21003","20000"
"21004","20000"
"21005","20000"
"21006","20000"
"21007","20000"
"21008","20000"
"21009","20000"
"21010","20000"
"21011","20000"
"21012","20000"
"21013","20000"
"21014","20000"
"21015","20000"
"21016","20000"
"21017","20000"
"21018","20000"
"21019","20000"
"21020","20000"
"21021","20000"
"21022","20000"
"21023","20000"
"21024","20000"
"21025","20000"
"21026","20000"
"21900","20000"
"21901","20000"
"21902","20000"
"21903","20000"
"21904","20000"
"21905","20000"
