86f262b5abfefedbe8b02aa0fa1f879b752fc66957d9c2198f694f287059dee1,d9e5369609112f0a89911a3f39f85bf51763a6beff51bca06e1b97864a9ff07e,33e33168e7affe242718a77c0a8138b56a4d9b9c7520e9ad6972374749a98936,896d1ab0a84c914261dc2d5ab2c4ce9a6f833cb765ab2d71cea03edac15fa969,e85c310425b0c1b18003acb6c49f3ed19dde858424e6f89bedc900798eb4d3e4,4eb907717c4349899b70515bcc8500a9d529e5b71775bdef5ac4fca237047625,e693af64723ec5a63e75c679b853fa4380d87783cd52b964f6aaeb8cf15451c7,7eaf9861820a2bde2042f122a4afbf19c50d78d7ae67ec0510a9f487bda488a4
"190801","2020-06-22 16:00:00","13","準備了各式各樣的\n小遊戲哦！\n要遊玩哪個小遊戲呢？","2030-04-01 14:00:00","1000001","0","1000"
"190801","2020-06-22 16:00:00","13","介紹你有趣的小遊戲！\n你要遊玩哪個\n小遊戲呢？","2030-04-01 14:00:00","1000002","0","1000"
"190801","2020-06-22 16:00:00","13","這個賣\n{0}盧幣！\n請務必購買\n遊玩哦！","2030-04-01 14:00:00","1001001","0","1001"
"190801","2020-06-22 16:00:00","12","請點擊動來動去的愛心！\n來幫忙\n靜流和惠理子\n製作巧克力蛋糕吧！","2030-04-01 14:00:00","1002001","0","1002"
"190801","2020-06-22 16:00:00","11","請拉空花，\n讓她飛得越遠越好吧！\n利用各種事件讓空花\n得到絕頂體驗吧！","2030-04-01 14:00:00","1003001","0","1003"
"190801","2020-06-22 16:00:00","3","點擊左邊右邊，\n打倒奄美魔物吧！\n釋放！\n琉球犬大迴旋踢擊！","2030-04-01 14:00:00","1004001","0","1004"
"190801","2020-06-22 16:00:00","7","要不要點擊面板，\n和龍族巢穴的大家一起\n進行接龍對決？\n用韻腳把字詞連接起來吧！","2030-04-01 14:00:00","1005001","0","1005"
"190801","2020-09-01 16:00:00","2","配合老鼠靈敏的動作，\n點擊擊退牠吧！\n和充滿幹勁的鈴一起\n保護重要的起司吧！","2030-04-01 14:00:00","1006001","0","1006"
"190801","2021-01-06 16:00:00","4","這是美里與社員們的\n打擊特訓喔！\n以全壘打為目標，\n看準擊球時機把球打出去吧。","2030-04-01 14:00:00","1007001","0","1007"
"190801","2022-01-03 16:00:00","6","使用慈樂之音代幣\n來獲得加油道具吧！\n代幣可以用盧幣來交換喔。\n","2030-04-01 14:00:00","1008001","0","1008"
"190801","2022-04-25 16:00:00","13","試著在布丁筆記本中確認\n吃掉的布丁吧！\n布丁的材料可以使用\n盧幣購買喔。","2030-04-01 14:00:00","1009001","0","1009"
"190801","2022-08-01 16:00:00","4","小隊一起來挑戰謎題看看吧！\n看是要單獨試試自己的實力，還是要和多\n位夥伴一起遊玩，請選擇\n喜歡的模式吧♪","2030-04-01 14:00:00","1010001","0","1010"
"190801","2022-11-25 16:00:00","6","在3個回合內盡情奔馳，\n以綜合排名第１名為目標吧！\n各參加角色與GP的特徵，\n也是值得注目喔♪","2030-04-01 14:00:00","1011001","0","1011"
"190801","2024-01-17 16:00:00","6","跟凱留同學、鈴奈同學一起\n用猜謎來學習吧！\n放學後兩個人單獨待在教室……\n總覺得很令人怦然心動呢♪","2030-04-01 14:00:00","1012001","0","1012"
"190801","2024-08-15 16:00:00","6","開始行軍，出發討伐魔物！\n惠理子小姐和真琴小姐她們\n那可靠的背影，\n真是令新兵們十分景仰呢♪","2030-04-01 14:00:00","1013001","0","1013"
"190801","2025-03-15 16:00:00","6","跟蠻賊三姊妹一起\n挑戰戰車戰鬥！\n依照零件跟成員不同的搭配組合\n機器的特徵也會改變唷♪","2030-04-01 14:00:00","1014001","0","1014"
