f18fb3388e4940331c9a00d0e583fba1c4f9b7f0273c45489a94b3e0f8749816,a397f6ab47b7bec15e80f524611873beb2ec2f21b1b85c35c3dd707b76e8d0ce,09f84026b18653be1c0002029a5511c703eff3774c4940d8cccd67dc4b32bd19
"10101","1","1"
"10102","1","2"
"10103","1","3"
"10104","1","4"
"10201","2","1"
"10202","2","2"
"10203","2","3"
"10204","2","4"
"10301","3","1"
"10302","3","2"
"10303","3","3"
"10304","3","4"
"10401","4","1"
"10402","4","2"
"10403","4","3"
"10404","4","4"
"10501","5","1"
"10502","5","2"
"10503","5","3"
"10504","5","4"
"10601","6","1"
"10602","6","2"
"10603","6","3"
"10604","6","4"
"10701","7","1"
"10702","7","2"
"10703","7","3"
"10704","7","4"
"10801","8","1"
"10802","8","2"
"10803","8","3"
"10804","8","4"
"99999","0","0"
