c61f5f70265ea2b2e27a90a7709d4b91563bc843f77185a404859bf70429dc85,88bf4b374622c1fdfe3af2c894200a3f3018db8baf37b6c2c4efaf585b5adca1,dc912fb7cec7569a270715c9e0484bb38a5e213cbd18950e5618b8375303cd65,3b342549de5bc756ccd7f45a43ab51454a0c4ec24baf03a2ae831bc3e21c1ebf,7973276966ebda1e39c62a3fae265d97843fce7576f75fbb1e5a5cb33e3951ca,e47e58025d90a0c7fd2ca99cf643a2f5e3dd6ab5203d9e462e0a4ac6cdbe2bfe,d17b15433769369e773d94a100a5ac9b37768ccb9011f463a6c536f9484c94da,b7ad08e4a8138d15a70c3608285d01fd9e0f4204e7f2b5f7b2b825a2f76b8faf,0966684b7794e311e453b2957475b517ba91f3367a6749eafee2205de7be04d2,3b19f7c11f5d0a80455d3e683bf591c603fa36d1126e17e98ae2bfe56465ed1b,04855c9264fa4f33a715d15e5b8d32ba1a187452a2a4d7223943c4a20a005881,0d6aedbb633a2a24d90dfbc9a9b9b708a680f1f17bff1ae1f3e7a36271b5a952,ee2730305823ed134076cf2821f1c3e28cbcac639b8ee5f3611031c4882e1511,ba3cc10e3d096caf8d5faea588f91f52c7fc754a439bed7883400eaed9fbdb69
"1001","1","4","30","6","7","1","1","1","1","1","1","30","-1"
"1002","1","31","60","6","11","1","1","1","1","1","1","60","-1"
"1003","1","61","90","6","15","1","1","1","1","1","1","90","-1"
"1004","1","91","120","6","19","1","1","1","1","1","1","120","-1"
"1005","1","121","150","6","23","1","1","1","1","1","1","150","-1"
"1006","1","151","180","6","27","1","1","1","1","1","1","180","-1"
"1007","1","181","210","6","29","1","1","1","1","1","1","210","-1"
"1008","1","211","240","6","29","1","1","1","1","1","1","240","-1"
"1009","1","241","270","6","29","1","1","1","1","1","1","270","-1"
"1010","1","271","-1","6","29","1","1","1","1","1","1","290","-1"
"1101","2","4","30","5","7","1","1","1","1","1","1","30","-1"
"1102","2","31","60","5","11","1","1","1","1","1","1","60","-1"
"1103","2","61","90","5","15","1","1","1","1","1","1","90","-1"
"1104","2","91","120","5","19","1","1","1","1","1","1","120","-1"
"1105","2","121","150","5","23","1","1","1","1","1","1","150","-1"
"1106","2","151","180","5","27","1","1","1","1","1","1","180","-1"
"1107","2","181","210","5","29","1","1","1","1","1","1","210","-1"
"1108","2","211","240","5","29","1","1","1","1","1","1","240","-1"
"1109","2","241","270","5","29","1","1","1","1","1","1","270","-1"
"1110","2","271","-1","5","29","1","1","1","1","1","1","290","-1"
"1201","3","4","30","5","7","1","1","1","1","1","1","-1","-1"
"1202","3","31","60","5","11","1","1","1","1","1","1","-1","-1"
"1203","3","61","90","5","15","1","1","1","1","1","1","-1","-1"
"1204","3","91","120","5","19","1","1","1","1","1","1","-1","-1"
"1205","3","121","150","5","23","1","1","1","1","1","1","-1","-1"
"1206","3","151","180","5","27","1","1","1","1","1","1","-1","-1"
"1207","3","181","210","5","29","1","1","1","1","1","1","-1","-1"
"1208","3","211","240","5","29","1","1","1","1","1","1","-1","-1"
"1209","3","241","270","5","29","1","1","1","1","1","1","-1","-1"
"1210","3","271","-1","5","29","1","1","1","1","1","1","-1","-1"
"1301","4","4","30","5","7","1","1","1","1","1","1","30","-1"
"1302","4","31","60","5","10","1","1","1","1","1","1","60","-1"
"1303","4","61","90","5","13","1","1","1","1","1","1","90","-1"
"1304","4","91","120","5","16","1","1","1","1","1","1","120","-1"
"1305","4","121","150","5","19","1","1","1","1","1","1","150","-1"
"1306","4","151","180","5","22","1","1","1","1","1","1","180","-1"
"1307","4","181","210","5","25","1","1","1","1","1","1","210","-1"
"1308","4","211","240","5","28","1","1","1","1","1","1","240","-1"
"1309","4","241","270","5","28","1","1","1","1","1","1","270","-1"
"1310","4","271","-1","5","28","1","1","1","1","1","1","290","-1"
"1401","5","4","30","5","7","1","1","1","1","1","1","-1","-1"
"1402","5","31","60","5","10","1","1","1","1","1","1","-1","-1"
"1403","5","61","90","5","13","1","1","1","1","1","1","-1","-1"
"1404","5","91","120","5","16","1","1","1","1","1","1","-1","-1"
"1405","5","121","150","5","19","1","1","1","1","1","1","-1","-1"
"1406","5","151","180","5","22","1","1","1","1","1","1","-1","-1"
"1407","5","181","210","5","25","1","1","1","1","1","1","-1","-1"
"1408","5","211","240","5","28","1","1","1","1","1","1","-1","-1"
"1409","5","241","270","5","28","1","1","1","1","1","1","-1","-1"
"1410","5","271","-1","5","28","1","1","1","1","1","1","-1","-1"
"1501","6","4","30","3","7","1","1","1","1","1","1","-1","-1"
"1502","6","31","60","3","10","1","1","1","1","1","1","-1","-1"
"1503","6","61","90","3","13","1","1","1","1","1","1","-1","-1"
"1504","6","91","120","3","16","1","1","1","1","1","1","-1","-1"
"1505","6","121","150","3","19","1","1","1","1","1","1","-1","-1"
"1506","6","151","180","3","22","1","1","1","1","1","1","-1","-1"
"1507","6","181","210","3","22","1","1","1","1","1","1","-1","-1"
"1508","6","211","240","3","22","1","1","1","1","1","1","-1","-1"
"1509","6","241","270","3","22","1","1","1","1","1","1","-1","-1"
"1510","6","271","-1","3","22","1","1","1","1","1","1","-1","-1"
"1601","7","4","30","6","7","1","1","1","1","1","1","30","5"
"1602","7","31","60","6","11","1","1","1","1","1","1","60","5"
"1603","7","61","90","6","15","1","1","1","1","1","1","90","5"
"1604","7","91","120","6","19","1","1","1","1","1","1","120","5"
"1605","7","121","150","6","23","1","1","1","1","1","1","150","5"
"1606","7","151","180","6","27","1","1","1","1","1","1","180","5"
"1607","7","181","210","6","29","1","1","1","1","1","1","210","5"
"1608","7","211","240","6","29","1","1","1","1","1","1","240","5"
"1609","7","241","270","6","29","1","1","1","1","1","1","270","5"
"1610","7","271","-1","6","29","1","1","1","1","1","1","290","5"
"1701","8","4","30","5","7","1","1","1","1","1","1","30","5"
"1702","8","31","60","5","11","1","1","1","1","1","1","60","5"
"1703","8","61","90","5","15","1","1","1","1","1","1","90","5"
"1704","8","91","120","5","19","1","1","1","1","1","1","120","5"
"1705","8","121","150","5","23","1","1","1","1","1","1","150","5"
"1706","8","151","180","5","27","1","1","1","1","1","1","180","5"
"1707","8","181","210","5","29","1","1","1","1","1","1","210","5"
"1708","8","211","240","5","29","1","1","1","1","1","1","240","5"
"1709","8","241","270","5","29","1","1","1","1","1","1","270","5"
"1710","8","271","-1","5","29","1","1","1","1","1","1","290","5"
