f011711a88621c4d86a0be59a2530c33a12def29a4638299da1a5eead0f8108d,6a4686e5c776a8ace26b8d9760fb167e5aa9e7df8aa856c00e1e3146de3192a1,cf00932be107d61c6c3b9376b574b4dc0fe01b5cc358e309d7c94b2041f17bab,e2a817d3a9246ee54bd3f848ec8168e25be137605b2e14b553a1300b55fbecaa,44e87855d10c5ca2d010842e4fb3280246ac5093854e9cbc9345e6e1ccc0b30f
"12","10000101","150000","100001011","94002"
"2","10000101","6","100001012","22003"
"12","10000102","500000","100001021","94002"
"2","10000102","6","100001022","22003"
"12","10000103","500000","100001031","94002"
"4","10000103","3","100001032","140001"
"2","10000103","3","100001033","25001"
"12","10000104","500000","100001041","94002"
"2","10000104","6","100001042","22003"
"12","10000105","500000","100001051","94002"
"4","10000105","4","100001052","140001"
"2","10000105","4","100001053","25001"
"12","10000106","500000","100001061","94002"
"2","10000106","6","100001062","22003"
"12","10000107","500000","100001071","94002"
"4","10000107","4","100001072","140001"
"2","10000107","4","100001073","25001"
"12","10000108","500000","100001081","94002"
"2","10000108","6","100001082","22003"
"12","10000109","500000","100001091","94002"
"4","10000109","4","100001092","140001"
"2","10000109","4","100001093","25001"
"12","10050501","120000","100505011","94002"
"2","10050501","3","100505012","22003"
"12","10050502","120000","100505021","94002"
"2","10050502","4","100505022","22003"
"12","10050503","120000","100505031","94002"
"2","10050503","4","100505032","22003"
"12","10050511","120000","100505111","94002"
"2","10050511","3","100505112","22003"
"12","10050512","160000","100505121","94002"
"2","10050512","4","100505122","22003"
"12","10060601","120000","100606011","94002"
"2","10060601","3","100606012","22003"
"12","10060602","120000","100606021","94002"
"2","10060602","4","100606022","22003"
"12","10060603","120000","100606031","94002"
"2","10060603","4","100606032","22003"
"12","10060611","120000","100606111","94002"
"2","10060611","3","100606112","22003"
"12","10060612","160000","100606121","94002"
"2","10060612","4","100606122","22003"
"12","10070701","120000","100707011","94002"
"2","10070701","3","100707012","22003"
"12","10070702","120000","100707021","94002"
"2","10070702","4","100707022","22003"
"12","10070703","120000","100707031","94002"
"2","10070703","4","100707032","22003"
"12","10070711","120000","100707111","94002"
"2","10070711","3","100707112","22003"
"12","10070712","160000","100707121","94002"
"2","10070712","4","100707122","22003"
"12","10080801","120000","100808011","94002"
"2","10080801","3","100808012","22003"
"12","10080802","120000","100808021","94002"
"2","10080802","4","100808022","22003"
"12","10080803","120000","100808031","94002"
"2","10080803","4","100808032","22003"
"12","10080811","120000","100808111","94002"
"2","10080811","3","100808112","22003"
"12","10080812","160000","100808121","94002"
"2","10080812","4","100808122","22003"
