85bbc35157230a54f721c23ab002b6354ea1e1632281ecfa21ab3b904a0a0977,2021b6a5b19e41dbb9c032c463b6a8191e54d4f10dc9c37c60fbd193376fa6f6,34b1cfc666a94b8ed9ceeb981ba7bd8ff468b268b8b2cab80406f6989b52cda5,cb8c8ca0c61d7779df36728265dae9ea98f579b2321d096a0bbd93a2387897a6,dc7a26ed097414abda059dd47c08bcadf31991314ef40f4942f49c1e78d02afe,5fba66957b204a9adb10103116cf4f1e50e5cb220ee4d9ff63af8f3e3399278f,fc3651601ee2415fbbc6327b00cee729a10cb401c95fecb08ce811daf97bb618,902b430eeea72bcb45b4ee7f35bb710351334c8ab0a31f5de1a8a39810750757,fa148f92049b2466c829b5f311230c8f5e6b3eb68976d4ae51ee1388a18fea34
"","2","1","2","1","","23001","21600","1"
"","2","2","3","1","","23001","19800","1"
"","2","3","3","1","","23001","18000","1"
"","2","4","3","1","","23001","16200","1"
"","2","5","4","1","","23001","14400","1"
"","2","6","4","1","","23001","12960","1"
"","2","7","5","1","","23001","11520","1"
"","2","8","6","1","","23001","10080","1"
"","2","9","7","1","","23001","8640","1"
"","2","10","8","1","","23001","7200","1"
"","2","11","10","1","","23001","5760","1"
"","2","12","12","1","","23001","5040","1"
"","2","13","14","1","","23001","4320","1"
"","2","14","16","2","","23001","7200","1"
"","2","15","18","2","","23001","5400","1"
"","2","16","18","2","","23001","5040","1"
"","2","17","18","2","","23001","4800","1"
"","2","18","20","2","","23001","4500","1"
"","2","19","20","2","","23001","4320","1"
"","2","20","24","3","","23001","6000","1"
"","2","21","48","3","","23001","5700","1"
"","2","22","48","3","","23001","5400","1"
"","2","23","51","3","","23001","5220","1"
"","2","24","54","3","","23001","4980","1"
"","2","25","54","3","","23001","4800","1"
"","2","26","60","3","","23001","4500","1"
"","2","27","60","3","","23001","4320","1"
"","2","28","63","3","","23001","4200","1"
"","2","29","64","4","","23001","5400","1"
"","2","30","68","4","","23001","5220","1"
"","2","31","72","4","","23001","5040","1"
"","2","32","72","4","","23001","4920","1"
"","2","33","72","4","","23001","4800","1"
"","2","34","76","4","","23001","4680","1"
"","6","1","80","20","","93001","21600","2"
"","6","2","96","24","","93001","21600","2"
"","6","3","112","28","","93001","21600","2"
"","6","4","120","30","","93001","21600","2"
"","6","5","128","32","","93001","21600","2"
"","6","6","136","34","","93001","21600","2"
"","6","7","144","36","","93001","21600","2"
"","6","8","152","38","","93001","21600","2"
"","6","9","160","40","","93001","21600","2"
"","6","10","168","42","","93001","21600","2"
"","6","11","176","44","","93001","21600","2"
"","6","12","184","46","","93001","21600","2"
"","6","13","192","48","","93001","21600","2"
"","6","14","200","50","","93001","21600","2"
"","6","15","208","52","","93001","21600","2"
"","6","16","216","54","","93001","21600","2"
"","6","17","224","56","","93001","21600","2"
"","6","18","232","58","","93001","21600","2"
"","6","19","240","60","","93001","21600","2"
"","6","20","248","62","","93001","21600","2"
"","6","21","256","64","","93001","21600","2"
"","6","22","264","66","","93001","21600","2"
"","6","23","272","68","","93001","21600","2"
"","6","24","280","70","","93001","21600","2"
"","6","25","288","72","","93001","21600","2"
"","6","26","296","74","","93001","21600","2"
"","6","27","304","76","","93001","21600","2"
"","6","28","312","78","","93001","21600","2"
"","6","29","320","80","","93001","21600","2"
"","6","30","328","82","","93001","21600","2"
"","6","31","336","84","","93001","21600","2"
"","6","32","340","85","","93001","21600","2"
"","6","33","344","86","","93001","21600","2"
"","6","34","348","87","","93001","21600","2"
"","2","1","3","1","","20001","14400","3"
"","2","2","5","1","","20001","9600","3"
"","2","3","7","1","","20001","7200","3"
"","2","4","10","1","","20001","5400","3"
"","2","5","15","1","","20001","3600","3"
"","2","6","6","1","","20002","9600","3"
"","2","7","8","1","","20002","7200","3"
"","2","8","12","1","","20002","4800","3"
"","2","9","16","1","","20002","3600","3"
"","2","10","20","1","","20002","2700","3"
"","2","11","6","1","","20003","10800","3"
"","2","12","8","1","","20003","9000","3"
"","2","13","12","1","","20003","7200","3"
"","2","14","16","1","","20003","5400","3"
"","2","15","20","1","","20003","3600","3"
"","2","16","30","1","","20003","2880","3"
"","2","17","7","1","","20004","12600","3"
"","2","18","8","1","","20004","11400","3"
"","2","19","9","1","","20004","10200","3"
"","2","20","10","1","","20004","9300","3"
"","2","21","10","1","","20004","8700","3"
"","2","22","13","1","","20004","6600","3"
"","2","23","14","1","","20004","6300","3"
"","2","24","15","1","","20004","6000","3"
