6cea621f4cddf29fd503bd9964c0b3963f72835f7496d4d26cd0469c52c6359e,38623cfc33567dafcc93d48f5252d33ab9819031a740a2b5c2d2d19e7932e5b9,eb1e5bb6c61ecc43e7e6c8b15149a7c7b6af680873564c2bed01ea31ffb39731,568b63a90d0724452eca238d721add74a6d1b5101140240cd688972ce9647580,bf220db7f930cfb251e393cd430b181dedb0624d82175fb79b52d046a2b27a57,16b01a686661204898fffe9f89c91a9249ae1ed04cdd84f5565ca1c374cc9af1,6f45125eef25204d690a3db16b7d53ecc165626389dcfd1299aa856c8da39c2b,6a41ff6e5aa8634ab0072fc503eed588b52f50ffa43695956da58ec445af506e,148134fdfd9dcc332cb5e03f53f1215ff539dd1e5dfa436230bcedabd463681c
"100000001","1","0","1001","3","4101","100101","3","累積獲得3個★"
"100000002","2","0","1001","6","4101","100102","6","累積獲得6個★"
"100000003","3","1","1001","9","4101","100103","9","累積獲得9個★"
"100000004","4","0","1001","12","4101","100104","12","累積獲得12個★"
"100000005","5","0","1001","15","4101","100105","15","累積獲得15個★"
"100000006","6","0","1001","18","4101","100106","18","累積獲得18個★"
"100000007","7","1","1001","21","4101","100107","21","累積獲得21個★"
"100000008","8","0","1001","24","4101","100108","24","累積獲得24個★"
"100000009","9","1","1001","27","4101","100109","27","累積獲得27個★"
"100000010","10","0","1001","30","4101","100110","30","累積獲得30個★"
"100000011","11","0","1001","33","4101","100111","33","累積獲得33個★"
"100000012","12","1","1001","36","4101","100112","36","累積獲得36個★"
"100000013","13","0","1001","39","4101","100113","39","累積獲得39個★"
"100000014","14","0","1001","42","4101","100114","42","累積獲得42個★"
"100000015","15","1","1001","45","4101","100115","45","累積獲得45個★"
"100000016","16","0","1001","48","4101","100116","48","累積獲得48個★"
"100000017","17","1","1001","51","4101","100117","51","累積獲得51個★"
"100000018","18","0","1001","54","4101","100118","54","累積獲得54個★"
"100200001","1","0","1002","3","4101","100201","3","累積獲得3個★"
"100200002","2","0","1002","6","4101","100202","6","累積獲得6個★"
"100200003","3","1","1002","9","4101","100203","9","累積獲得9個★"
"100200004","4","0","1002","12","4101","100204","12","累積獲得12個★"
"100200005","5","0","1002","15","4101","100205","15","累積獲得15個★"
"100200006","6","0","1002","18","4101","100206","18","累積獲得18個★"
"100200007","7","1","1002","21","4101","100207","21","累積獲得21個★"
"100200008","8","0","1002","24","4101","100208","24","累積獲得24個★"
"100200009","9","1","1002","27","4101","100209","27","累積獲得27個★"
"100200010","10","0","1002","30","4101","100210","30","累積獲得30個★"
"100200011","11","0","1002","33","4101","100211","33","累積獲得33個★"
"100200012","12","1","1002","36","4101","100212","36","累積獲得36個★"
"100200013","13","0","1002","39","4101","100213","39","累積獲得39個★"
"100200014","14","0","1002","42","4101","100214","42","累積獲得42個★"
"100200015","15","1","1002","45","4101","100215","45","累積獲得45個★"
"100200016","16","0","1002","48","4101","100216","48","累積獲得48個★"
"100200017","17","1","1002","51","4101","100217","51","累積獲得51個★"
"100200018","18","0","1002","54","4101","100218","54","累積獲得54個★"
"100300001","1","0","1003","3","4101","100301","3","累積獲得3個★"
"100300002","2","0","1003","6","4101","100302","6","累積獲得6個★"
"100300003","3","1","1003","9","4101","100303","9","累積獲得9個★"
"100300004","4","0","1003","12","4101","100304","12","累積獲得12個★"
"100300005","5","0","1003","15","4101","100305","15","累積獲得15個★"
"100300006","6","0","1003","18","4101","100306","18","累積獲得18個★"
"100300007","7","1","1003","21","4101","100307","21","累積獲得21個★"
"100300008","8","0","1003","24","4101","100308","24","累積獲得24個★"
"100300009","9","1","1003","27","4101","100309","27","累積獲得27個★"
"100300010","10","0","1003","30","4101","100310","30","累積獲得30個★"
"100300011","11","0","1003","33","4101","100311","33","累積獲得33個★"
"100300012","12","1","1003","36","4101","100312","36","累積獲得36個★"
"100300013","13","0","1003","39","4101","100313","39","累積獲得39個★"
"100300014","14","0","1003","42","4101","100314","42","累積獲得42個★"
"100300015","15","1","1003","45","4101","100315","45","累積獲得45個★"
"100300016","16","0","1003","48","4101","100316","48","累積獲得48個★"
"100300017","17","1","1003","51","4101","100317","51","累積獲得51個★"
"100300018","18","0","1003","54","4101","100318","54","累積獲得54個★"
"100400001","1","0","1004","3","4101","100401","3","累積獲得3個★"
"100400002","2","0","1004","6","4101","100402","6","累積獲得6個★"
"100400003","3","1","1004","9","4101","100403","9","累積獲得9個★"
"100400004","4","0","1004","12","4101","100404","12","累積獲得12個★"
"100400005","5","0","1004","15","4101","100405","15","累積獲得15個★"
"100400006","6","0","1004","18","4101","100406","18","累積獲得18個★"
"100400007","7","1","1004","21","4101","100407","21","累積獲得21個★"
"100400008","8","0","1004","24","4101","100408","24","累積獲得24個★"
"100400009","9","1","1004","27","4101","100409","27","累積獲得27個★"
"100400010","10","0","1004","30","4101","100410","30","累積獲得30個★"
"100400011","11","0","1004","33","4101","100411","33","累積獲得33個★"
"100400012","12","1","1004","36","4101","100412","36","累積獲得36個★"
"100400013","13","0","1004","39","4101","100413","39","累積獲得39個★"
"100400014","14","0","1004","42","4101","100414","42","累積獲得42個★"
"100400015","15","1","1004","45","4101","100415","45","累積獲得45個★"
"100400016","16","0","1004","48","4101","100416","48","累積獲得48個★"
"100400017","17","1","1004","51","4101","100417","51","累積獲得51個★"
"100400018","18","0","1004","54","4101","100418","54","累積獲得54個★"
