2600933dc5e9102f0dc54876bfa1f421005a5add1709faacdec1f49752fbc878,45fdf3ad2ea3992617de325e09e492e56bd2bdbf59adc4f021a81b2d99e35516,11b212eaedba449f3d91f07f85bae82b49d3ab86a6fb1cbdcb8b46e1404b26fd,5513e8f906a894f3c0df2a3071e4935cd0cd7f19b0f6cf95373d76910d0c8eaf,bc3ca52771c81e22b16639b092f7c37dd99abaaa669b8b66702d194daf060883,4fb59cdd39cda7e151ba1f95a29f15e79a7c0311c4d6f83d19e1eaeffedb15e7,a2c3404c81a7bddb5ff87f08627213a579febf373e5a8be2f54e8c32d8b36171,fd3a5288be094a891836c562d85acf78d1c8d56d70842f36120ba4b965241b44,746f5228715bac271f84f012a6530b081402e2d1c8273908ad939c318e388097,a2016e959a0519bec1f2b0e74666bf0c1107fe29a8480e4862b6c7ee38d2b223,56c63c6500652ceb9366fc4dbf5e9abd9ff3637981693d6f92b85419be240c29
"1","0","0","10011105","1","0","10011","1001","2","pt","0"
"2","0","1","10015103","1","0","10015","1002","2","m","0"
"3","5021700","0","10021108","1","0","10021","1003","2","pt","0"
"4","5027700","0","5027007","1","0","10027","1004","3","pt","0"
"5","5040700","0","10040105","1","0","10040","1005","2","pt","0"
"6","0","0","5046006","1","1","10046","1006","1","pt","5046006"
"7","0","0","5072006","1","3","10072","1007","3","pt","5072006"
"8","5080700","0","5080007","0","3","10080","1008","3","pt","5080000"
"9","9004201","0","0","0","0","0","1009","0","pt","0"
"10","5096700","0","5096007","1","3","10096","1010","1","pt","5096007"
"11","0","0","10126107","1","3","10126","1012","2","pt","5126000"
"12","5142700","0","5142007","1","1","10142","1013","3","pt","5142000"
"13","5156700","0","5156007","1","1","10156","1014","3","pt","5156000"
