7a2043c68e9ffa45ea24219dec7ed74aec30d0c2c4f799217f0f7ef797169c91,44dd5c501d3ba2401d24ee09ef3aca2e644c797a12131d3712353988645983ff,ec1f2c3a4168be95df0260bb1fafb7bd2053f4f63ea12c7877cb4532fa993201,a323feb5a6c2702a0e49ad1300a1ca6fad05c97a384c66747eba89229d8eff71,5d3ea91e11d20385044f08d8f3e2234f6215114797a14702927044a772a08c2a,3964969a54e74ded6b431b1d2d8d09cdaccfd3e220bc3196f69b7948cc75c217
"0","1","100","10010","0","610010501"
"0","1","250","10010","0","610010502"
"0","1","450","10010","0","610010503"
"4","2","440","10010","6","610010601"
"3","2","300","10010","3","610010602"
"2","2","140","10010","1","610010603"
"1","2","20","10010","1","610010605"
"0","1","80","10012","0","610012501"
"0","1","180","10012","0","610012502"
"0","1","280","10012","0","610012503"
"0","1","380","10012","0","610012504"
"0","1","-500","10013","0","610013501"
"0","1","-400","10013","0","610013502"
"0","1","-300","10013","0","610013503"
"0","1","0","10015","0","610015501"
"0","1","10","10015","0","610015502"
"0","1","20","10015","0","610015503"
"0","1","-180","10017","0","610017501"
"0","1","-80","10017","0","610017502"
"1","2","20","10021","1","610021501"
"2","2","140","10021","1","610021502"
"3","2","300","10021","1","610021503"
"0","1","-120","10025","0","610025501"
"0","1","-10","10025","0","610025502"
"0","1","30","10025","0","610025503"
"0","1","-220","10027","0","610027502"
"0","1","10","10027","0","610027503"
"0","1","800","10027","0","610027504"
"0","1","100","10027","0","610027505"
"0","1","-120","10029","0","610029501"
"0","1","-10","10029","0","610029502"
"0","1","30","10029","0","610029503"
"0","1","-120","10031","0","610031501"
"0","1","-40","10031","0","610031502"
"0","1","10","10031","0","610031503"
"0","1","50","10031","0","610031504"
"0","1","-120","10033","0","610033501"
"0","1","-10","10033","0","610033502"
"0","1","30","10033","0","610033503"
"0","1","-80","10033","0","610033504"
"0","1","10","10035","0","610035501"
"0","1","-120","10035","0","610035502"
"0","1","90","10035","0","610035503"
"0","1","-220","10035","0","610035601"
"0","1","10","10035","0","610035602"
"0","1","100","10035","0","610035603"
"0","1","800","10035","0","610035604"
"0","1","80","10037","0","610037501"
"0","1","180","10037","0","610037502"
"0","1","280","10037","0","610037503"
"0","1","380","10037","0","610037504"
"0","1","-120","10038","0","610038501"
"0","1","-40","10038","0","610038502"
"0","1","10","10038","0","610038503"
"0","1","50","10038","0","610038504"
"0","1","-500","10039","0","610039501"
"0","1","-400","10039","0","610039502"
"0","1","-300","10039","0","610039503"
"0","1","-205","10040","0","610040501"
"0","1","122","10040","0","610040502"
"0","1","25","10040","0","610040503"
"0","1","295","10040","0","610040504"
"0","1","0","10041","0","610041501"
"0","1","10","10041","0","610041502"
"0","1","20","10041","0","610041503"
"0","2","-120","10042","0","610042501"
"0","2","-40","10042","0","610042502"
"0","2","10","10042","0","610042503"
"1","2","20","10045","1","610045501"
"2","2","140","10045","1","610045502"
"3","2","300","10045","1","610045503"
"0","1","-275","10046","0","610046404"
"0","1","-45","10046","0","610046405"
"0","1","115","10046","0","610046406"
"0","1","175","10046","0","610046407"
"0","2","-150","10048","0","610048601"
"0","2","-145","10048","0","610048602"
"0","1","-120","10049","0","610049501"
"0","1","-10","10049","0","610049502"
"0","1","30","10049","0","610049503"
"1","1","20","10050","1","610050404"
"2","1","140","10050","1","610050405"
"3","1","300","10050","1","610050406"
"0","1","-220","10051","0","610051502"
"0","1","10","10051","0","610051503"
"0","1","100","10051","0","610051505"
"1","1","20","10052","0","610052401"
