415c7653b2be7ea05da274cb28d9e153c527f7d44c5272fc0b0d2d033b99d1ee,b8524909dfe4ed3bd104c5cf0881979bfd0f6174b5f0b60f9821fbed7fd2e629,edc098bc21c87acdf8ef546a825c6f9c69ad63a311ec1d9e3fc58a650a3da1d2,b109d05c0fcf364e82c2b274a1d7548d72af9c1452be7ec477b0ff3a82b4aa44,39221369e00576858d6d8d6271d17a9cd57c460c0bf0b66582c66ac7f5f9cdb3,e572d525d22ee1905e3327f386bd8078fbbcca9e3abfecd84a4a81843a098dcc,fad93a187393e13a41abe002e015845c701efe38dd015bdbb648105d5c52635f,d5d08e5c3d7a681e3d37bfc97b862220883196ff5c43edf3ea145022a0b0eee3,bd604638b43ade941a3020bc52bade3f358c6d5b2f18a5b0594555866739ea24,44b073eaf0cfc8363673dcfbd52cf73c443c3da3b95d725dd7fa1d7e34745016,4226c31f9815f95384808a923f6e5a989864b2b3d7ca851a109e737fc22c01b5
"1.3","-100","1","2","1001","<weapon>_idle","55","-250","110010001","1000001","0"
"1","0","31","100","1001","","0","1","110010002","100",""
"0","0","31","101","1001","","0","1","110010003","101",""
"1","0","31","4","1001","","0","1","110010004","4",""
"1","0","31","5","1001","","94.5","1","110010005","5",""
"","","91","0","1001","","","","110010006","0",""
"","","93","0.4","1001","","","","110010007","0",""
"0.2","","3","1000001","1001","","0","","110010008","<weapon>_joy_short",""
"","","93","1.3","1001","","","","110010009","0",""
"0","","3","1000001","1001","","1","","110010010","<weapon>_run",""
"","1","2","1000001","1001","","-250","0","110010011","800",""
"","","93","0.7","1001","","","","110010012","0",""
"","","32","101","1001","","","","110010013","1",""
"","","93","0.7","1001","","","","110010014","0",""
"1.3","-640","1","2","1101","<weapon>_run","55","-250","111010001","1000001","0"
"1","0","31","100","1101","","0","1","111010002","100",""
"0","0","31","101","1101","","0","1","111010003","101",""
"1","0","31","4","1101","","0","1","111010004","4",""
"","","35","4","1101","","","","111010005","0",""
"1","0","31","5","1101","","0","1","111010006","5",""
"1","0","31","10","1101","","0","1","111010007","10",""
"","","91","0","1101","","","","111010008","",""
"","","35","100","1101","","","","111010009","1",""
"","2.1","2","1000001","1101","","-250","0","111010010","640",""
"","","93","1.7","1101","","","","111010011","0",""
"","","32","101","1101","","","","111010012","1",""
"","","93","0.7","1101","","","","111010013","0",""
"1.3","0","1","1","2001","look_loop","55","-240","120010001","1000001","0"
"0","0","31","1","2001","","0","1","120010002","1","0"
"","","35","1","2001","","","","120010003","0",""
"","","32","1","2001","","","","120010004","1",""
"1","0","31","2","2001","","345.4","1","120010005","2","0"
"","","35","2","2001","","","","120010006","0",""
"0","0","31","3","2001","","345.4","1","120010007","3","0"
"","","35","3","2001","","","","120010008","0",""
"","","32","3","2001","","","","120010009","1",""
"1","0","31","31000001","2001","","-345.4","1","120010010","31000001",""
"1","0","31","31000002","2001","","345.4","1","120010011","31000002",""
"1","0","31","100","2001","","0","1","120010012","100",""
"0","0","31","101","2001","","0","1","120010013","101",""
"","","91","0","2001","","","","120010014","",""
"","","35","100","2001","","","","120010015","1",""
"0","look_loop","3","1000001","2001","","0","1","120010016","look_in","0"
"","","93","1.3","2001","","","","120010017","0",""
"0","0","31","12","2101","","0","1","121010001","998",""
"0","0","31","14","2101","","0","1","121010002","997",""
"0","0","31","16","2101","","0","1","121010003","996",""
"","","32","31000001","2101","","","","121010004","0",""
"","","32","31000002","2101","","","","121010005","0",""
"0","1","121","0","2101","","-1","0","121010006","0",""
"","","35","1","2101","","","","121010007","1",""
"","","35","3","2101","","","","121010008","1",""
"0","","3","1000001","2101","","0","","121010009","pointing",""
"","","93","1","2101","","","","121010010","0",""
"0","1.47","121","505","2101","","-1.47","2","121010011","100",""
"0.2","","3","1000001","2101","","1","","121010012","run_talk1",""
"","1","2","1000001","2101","","-240","0","121010013","100",""
"","","23","se_travel","2101","","0","","121010014","se_travel_treasure_cha_run",""
"","","93","1","2101","","","","121010015","0",""
"0","0","31","11","2201","","0","1","122010001","998",""
"0","0","31","13","2201","","0","1","122010002","997",""
"0","0","31","15","2201","","0","1","122010003","996",""
"","","32","31000001","2201","","","","122010004","0",""
"","","32","31000002","2201","","","","122010005","0",""
"","","35","1","2201","","","","122010006","1",""
"","","35","3","2201","","","","122010007","1",""
"0","","3","1000001","2201","","0","","122010008","pointing",""
"","","93","1","2201","","","","122010009","0",""
"0","1.47","121","-505","2201","","1.47","2","122010010","100",""
"0.2","","3","1000001","2201","","1","","122010011","run_talk1",""
"","1","2","1000001","2201","","-240","0","122010012","100",""
"","","23","se_travel","2201","","0","","122010013","se_travel_treasure_cha_run",""
"","","93","1","2201","","","","122010014","0",""
"0","0","31","300000","3000","","345.4","1","130000001","300000",""
"","","91","0","3000","","","","130000002","",""
