e4e46906046ce12f47770a6bd7ac7dc7c844ff6831672a0dedbd1be6574672a6,4a994d6a60e795664473b3d66ec3ea927c15c3752395ea44eddbcdcf09ce5df3,64ceac70ce827a356bf66ae878e4679551b12760f7441f526bfa311e66da4db2,3fce71ae7d644ca0209ab9dc1316932f379173683181d4c2acae72ff734c5515,53724406f705aad20a01a06e6ddd1c0744520db9aade284c8281bc86ff60b6a9,a7395d74ad672d6c52d6d6fbd0829c4f288111c1495db6c60ec6b66063304d98,a029173e6e7a9507a56002640044d273090b381b56ac4b95b0f8f4342ddcfb15,f691dc15a86765bc6c9a260d7b1772a599a115690b0b12bcdb7cf2daebd3cd70,53a6ee7260e7512095b1b80b42762bd048c3f07eb66bd5ec641e2cfd7a676f62,97e3a06ba69c95e9628781d2bd9542543294435d1b5214eafb60e853f764ca88,8154d54b2b9f991815fde13f56f73a8468220e386dc6ad342bbb975126c1d200
"","","","","","","","","","1015","星"
"","白","","","衣","","","","","1019","愛"
"","","","","","綠","","","","1020",""
"","","","","","","","","","1021","普"
"","","","","","","","","K","1070",""
"","","","","","","","","","1071","短"
"","","","","","","","","","1079","順"
"","","","","","","","","","1080","七八九"
"","","","","","","","","","1131","H"
"","U","","","","U","","","","1196",""
"","","","","跆","","","","","1229",""
"","","","","","","","","","1242","三五七"
"","","","一","","","","","","1244","二"
"","","紅","","","","房","磚塊","","2002",""
"","","","蓑","","笠","","","","2011",""
"","","","","","五","","","","2012","南"
"","","","三五八九","","","","","","2024",""
"","","","","","E","","","","2031","S"
"","","","AE","","","","","","2032",""
"","R","","","","A","","","","2033",""
"","I","","","","E","","","","2034",""
"","R","","","","UA","","","","2036",""
"","L","","Y","","E","","","E","2037",""
"","L","","I","","E","","","V","2038",""
"","I","","","","L","","","","2040",""
"","A","","","","","","","","2041",""
"","","","","","","","","","2042","Y"
"","A","","","","","","","","2043","K"
"","A","","","","","","","","2045",""
"","R","","","","","","","","2046","Q"
"","R","","","","A","","","","2047",""
"","A","","","","","","","","2048","KQ"
"","","","","","B","","","","2049",""
"","A","","T","","U","","","","2050",""
"","C","","P","","EI","","","","2052",""
"","A","","T","","I","","","","2053",""
"O","","W","S","P","","R","E","","2054",""
"","R","","","","","","","","2055",""
"","","","","","V","","","","2056",""
"","WU","","","","","","","","2058",""
"","","","","","","","","","2059","R"
"","","","","","","","","","2060","R"
"","S","","","","","","","","2062",""
"","E","","S","","A","","","S","2063",""
"O","A","R","A","F","","E","C","","2064",""
"","","","S","","A","","","","2065",""
"","","","","","","","","","2066","C"
"","","","","","B","","","","2067",""
"","","","","","I","","","","2068","L"
"","E","","","","","","","","2069","C"
"","","","","","E","","","D","2070",""
"","","","I","","A","","","N","2071",""
"","C","","A","","","","","","2074",""
"","A","","A","","","","","","2077",""
"","R","","","","L","","","","2078",""
"","MF","","G","","E","","","E","2080","O"
"","","","","","","","","","2081","F"
"","","無","","","","","","","2084",""
"","L","","H","","P","","","E","2085","A"
"","","","EO","","","","","","2086","AI"
"","","","","","","","","","2092","P"
"","C","","","","","","","","2093",""
"","","","","","","","","","2096","萬"
"","","","華麗","","華","","","","2101",""
"","e","","","","","","","","2102",""
"","","","l","","","","","e","2149",""
"","誕","","","","","","","","2167","聖"
