f53fbb5875f224f65dd27b27f4b9a9930ec996537df081e1b544ffb57f51a8d7,9a6ff6c6a26587dc6f9245c576c1f07a0100227edfa696bec86d050052f52cf1,c018b014ea2ee392b1ff02525445c4b9f38e8209e9975204c085cdad61915dab,2606969f95a6f79e7957c7a50ace73b1ebc71cc72aa41ab74875cd71e7325fdf,c19c86dfc47eeef2015a3ce4b811e37a9d3b905c9b59803c998b45365b56249d
"12","150000","94002","10000101","100001011"
"2","6","22003","10000101","100001012"
"12","500000","94002","10000102","100001021"
"2","6","22003","10000102","100001022"
"12","500000","94002","10000103","100001031"
"4","3","140001","10000103","100001032"
"2","3","25001","10000103","100001033"
"12","500000","94002","10000104","100001041"
"2","6","22003","10000104","100001042"
"12","500000","94002","10000105","100001051"
"4","4","140001","10000105","100001052"
"2","4","25001","10000105","100001053"
"12","500000","94002","10000106","100001061"
"2","6","22003","10000106","100001062"
"12","500000","94002","10000107","100001071"
"4","4","140001","10000107","100001072"
"2","4","25001","10000107","100001073"
"12","500000","94002","10000108","100001081"
"2","6","22003","10000108","100001082"
"12","500000","94002","10000109","100001091"
"4","4","140001","10000109","100001092"
"2","4","25001","10000109","100001093"
"12","120000","94002","10050501","100505011"
"2","3","22003","10050501","100505012"
"12","120000","94002","10050502","100505021"
"2","4","22003","10050502","100505022"
"12","120000","94002","10050503","100505031"
"2","4","22003","10050503","100505032"
"12","120000","94002","10050511","100505111"
"2","3","22003","10050511","100505112"
"12","160000","94002","10050512","100505121"
"2","4","22003","10050512","100505122"
"12","120000","94002","10060601","100606011"
"2","3","22003","10060601","100606012"
"12","120000","94002","10060602","100606021"
"2","4","22003","10060602","100606022"
"12","120000","94002","10060603","100606031"
"2","4","22003","10060603","100606032"
"12","120000","94002","10060611","100606111"
"2","3","22003","10060611","100606112"
"12","160000","94002","10060612","100606121"
"2","4","22003","10060612","100606122"
"12","120000","94002","10070701","100707011"
"2","3","22003","10070701","100707012"
"12","120000","94002","10070702","100707021"
"2","4","22003","10070702","100707022"
"12","120000","94002","10070703","100707031"
"2","4","22003","10070703","100707032"
"12","120000","94002","10070711","100707111"
"2","3","22003","10070711","100707112"
"12","160000","94002","10070712","100707121"
"2","4","22003","10070712","100707122"
"12","120000","94002","10080801","100808011"
"2","3","22003","10080801","100808012"
"12","120000","94002","10080802","100808021"
"2","4","22003","10080802","100808022"
"12","120000","94002","10080803","100808031"
"2","4","22003","10080803","100808032"
"12","120000","94002","10080811","100808111"
"2","3","22003","10080811","100808112"
"12","160000","94002","10080812","100808121"
"2","4","22003","10080812","100808122"
