ec35b66e391ab85c8d4689c58ac7845fefd69370938a9cae57327bfc9278415a,64b9cb14e7865a3862f673a8446866b866afe9f31c5ae2e7a42429a5ee021b87,8e47ac7b3211e808625e29da69ecb9151c43b7bd5b63cd78a1d304661c1f7dfb,2f3ec19d106b95f0f6531763a525aac2da3317bffd829c68bf7c9ca5f852fef1,4a94c67a129b16d88a84a781bbb1645fd55e965c294a9c1248a47d5bd836697d,f93c7918f022d8d3871fb44d83843f0846eab717e85fd175dcc2ce221b3739b6,ad7708e984530ead1b0eca0a2aa8cc0e4937772e5a9fbe1fa8f2ea171d5541dc,b53658fe41e9d57307fb2f30d27bc8aef1118147f83bb98bb392cdb5260b73e9,f7c4b734cdfce4c4bf5f9b990e865994296d7c217027fa99185762f2ef34003c,0274b9e53e2a23a722a9dc34740aa8927fbf77ecf3575beaca70dbe7efd481da
"1","0","10","90043","12000","0","30000","10000","1","90001"
"2","0","20","90047","24000","0","30000","10000","2","90002"
"3","0","20","90047","24000","0","30000","10000","3","90002"
"4","0","20","90047","24000","0","30000","10000","4","90002"
"5","0","20","90047","24000","0","30000","10000","5","90002"
"6","0","20","90047","24000","0","30000","10000","6","90002"
"7","0","20","90047","24000","0","30000","10000","7","90002"
"8","0","20","90047","24000","0","30000","10000","8","90002"
"9","0","20","90047","24000","0","30000","10000","9","90002"
"10","0","20","90047","24000","1","30000","10000","10","90002"
"11","90011","40","90051","48000","2","30000","10000","11","90003"
"12","90011","40","90051","48000","3","30000","10000","12","90003"
"13","90011","40","90051","48000","4","30000","10000","13","90003"
"14","90011","40","90051","48000","5","30000","10000","14","90003"
"15","90011","40","90051","48000","6","30000","10000","15","90003"
"16","90011","40","90051","48000","7","30000","10000","16","90003"
"17","90011","40","90051","48000","8","30000","10000","17","90003"
"18","90011","40","90051","48000","9","30000","10000","18","90003"
"19","90011","40","90051","48000","10","30000","10000","19","90003"
"20","90011","40","90051","48000","11","30000","10000","20","90003"
"21","90015","60","90055","72000","12","30000","10000","21","90004"
"22","90015","60","90055","72000","13","30000","10000","22","90004"
"23","90015","60","90055","72000","14","30000","10000","23","90004"
"24","90015","60","90055","72000","15","30000","10000","24","90004"
"25","90015","60","90055","72000","16","30000","10000","25","90004"
"26","90015","60","90055","72000","17","30000","10000","26","90004"
"27","90015","60","90055","72000","18","30000","10000","27","90004"
"28","90015","60","90055","72000","19","30000","10000","28","90004"
"29","90015","60","90055","72000","20","30000","10000","29","90004"
"30","90015","60","90055","72000","21","30000","10000","30","90004"
"31","90015","80","90059","96000","22","30000","10000","31","90005"
"32","90015","80","90059","96000","23","30000","10000","32","90005"
"33","90015","80","90059","96000","24","30000","10000","33","90005"
"34","90015","80","90059","96000","25","30000","10000","34","90005"
"35","90015","80","90059","96000","26","30000","10000","35","90005"
"36","90015","80","90059","96000","27","30000","10000","36","90005"
"37","90015","80","90059","96000","28","30000","10000","37","90005"
"38","90015","80","90059","96000","29","30000","10000","38","90005"
"39","90015","80","90059","96000","30","30000","10000","39","90005"
"40","90015","80","90059","96000","31","30000","10000","40","90005"
"41","90017","120","90063","144000","33","30000","10000","41","90005"
"42","90017","120","90063","144000","35","30000","10000","42","90005"
"43","90017","120","90063","144000","37","30000","10000","43","90005"
"44","90017","120","90063","144000","39","30000","10000","44","90005"
"45","90017","120","90063","144000","41","30000","10000","45","90005"
"46","90017","120","90063","144000","43","30000","10000","46","90005"
"47","90017","120","90063","144000","45","30000","10000","47","90005"
"48","90017","120","90063","144000","47","30000","10000","48","90005"
"49","90017","120","90063","144000","49","30000","10000","49","90005"
"50","90017","120","90063","144000","51","30000","10000","50","90005"
"51","90019","150","90067","180000","53","30000","10000","51","90006"
"52","90019","150","90067","180000","55","30000","10000","52","90006"
"53","90019","150","90067","180000","57","30000","10000","53","90006"
"54","90019","150","90067","180000","59","30000","10000","54","90006"
"55","90019","150","90067","180000","61","30000","10000","55","90006"
"56","90019","150","90067","180000","63","30000","10000","56","90006"
"57","90019","150","90067","180000","65","30000","10000","57","90006"
"58","90019","150","90067","180000","67","30000","10000","58","90006"
"59","90019","150","90067","180000","69","30000","10000","59","90006"
"60","90019","150","90067","180000","71","30000","10000","60","90006"
"61","90021","180","90071","216000","74","30000","10000","61","90007"
"62","90021","180","90071","216000","77","30000","10000","62","90007"
"63","90021","180","90071","216000","80","30000","10000","63","90007"
"64","90021","180","90071","216000","83","30000","10000","64","90007"
"65","90021","180","90071","216000","86","30000","10000","65","90007"
"66","90021","180","90071","216000","89","30000","10000","66","90007"
"67","90021","180","90071","216000","92","30000","10000","67","90007"
"68","90021","180","90071","216000","95","30000","10000","68","90007"
"69","90021","180","90071","216000","98","30000","10000","69","90007"
"70","90021","180","90071","216000","101","30000","10000","70","90007"
