8aa0b72f2f66d7ba5e1a9b673702110b5854de01090da066ca4df20bb2fe55c4,63ae77af84bc7e7cebfd3c79f38343e42757575775a7c60165f9294f2c0131dc,546dbd823df7cf538e614c0309718c01353f0a3cfc9ae6fb2100862d863ee1a1,c24c66adb6d9628f533390514a71022f6dc91963f26fddd975b79db90ab600d2,0551ae65a85ed54020d340267a68dd140e6af88c1f6b4831bedbbf50daad421f,fc21f11b77e71401f346d41e41130deceb6d1c0e7eb97808ef9238ba5b6b1499,32fda692e86aeaf5719e5e6a02a1b125f59fc0484e621bb9708c9c03469459ac,d1f08080b703a0d2235c768084a97fd1f496fb6c92eb26cfc3bf40fdbcfa754f
"1","1","21952","20000","1","1","2","96001"
"1","1","21904","10000","2","1","2","96001"
"1","1","41000","10000","3","1","2","96001"
"1","5","31803","2000","4","5","2","96001"
"1","5","31215","1500","5","5","2","96001"
"1","5","31210","1500","6","5","2","96001"
"1","5","31211","1500","7","5","2","96001"
"1","10","90005","1250","8","5","2","96001"
"1","20","140001","500","9","10","4","96001"
"1","10","25001","500","10","5","2","96001"
"1","5","150003","100","11","5","4","96001"
"1","5","150004","130","12","5","4","96001"
"1","5","150005","150","13","5","4","96001"
"1","5","150006","180","14","5","4","96001"
"1","5","150007","200","15","5","4","96001"
"1","5","150008","230","16","5","4","96001"
"1","5","20004","500","17","100","2","96001"
"1","5","22003","200","18","100","2","96001"
"1","0","20004","1000","19","100","2","96001"
"1","0","22003","400","20","100","2","96001"
"2","1","21952","20000","21","1","2","96002"
"2","1","21904","10000","22","1","2","96002"
"2","1","41000","10000","23","1","2","96002"
"2","5","31233","1500","24","5","2","96002"
"2","5","31229","1500","25","5","2","96002"
"2","5","31225","1500","26","5","2","96002"
"2","10","90005","1250","27","5","2","96002"
"2","20","140001","500","28","10","4","96002"
"2","10","25001","500","29","5","2","96002"
"2","5","150003","100","30","5","4","96002"
"2","5","150004","130","31","5","4","96002"
"2","5","150005","150","32","5","4","96002"
"2","5","150006","180","33","5","4","96002"
"2","5","150007","200","34","5","4","96002"
"2","5","150008","230","35","5","4","96002"
"2","5","20004","500","36","100","2","96002"
"2","5","22003","200","37","100","2","96002"
"2","0","20004","1000","38","100","2","96002"
"2","0","22003","400","39","100","2","96002"
"3","1","21952","20000","40","1","2","96003"
"3","1","21905","10000","41","1","2","96003"
"3","1","41000","10000","42","1","2","96003"
"3","5","31805","2000","43","5","2","96003"
"3","5","31240","1500","44","5","2","96003"
"3","5","31238","1500","45","5","2","96003"
"3","5","31236","1500","46","5","2","96003"
"3","5","90005","2500","47","10","2","96003"
"3","5","140001","2500","48","50","4","96003"
"3","5","25001","500","49","5","2","96003"
"3","5","150003","500","50","30","4","96003"
"3","5","150004","650","51","30","4","96003"
"3","5","150005","750","52","30","4","96003"
"3","5","150006","900","53","30","4","96003"
"3","5","150007","1000","54","30","4","96003"
"3","5","150008","1150","55","30","4","96003"
"3","5","20004","2500","56","500","2","96003"
"3","5","22003","1000","57","500","2","96003"
"3","0","20004","1000","58","100","2","96003"
"3","0","22003","400","59","100","2","96003"
"4","1","21952","20000","60","1","2","96004"
"4","1","21905","10000","61","1","2","96004"
"4","2","41000","10000","62","1","2","96004"
"4","5","31807","2000","63","5","2","96004"
"4","5","31245","1500","64","5","2","96004"
"4","5","31248","1500","65","5","2","96004"
"4","5","31250","1500","66","5","2","96004"
"4","5","31091","1500","67","5","2","96004"
"4","5","90005","2500","68","10","2","96004"
"4","10","140001","2500","69","50","4","96004"
"4","10","25001","1000","70","10","2","96004"
"4","5","150003","500","71","30","4","96004"
"4","5","150004","650","72","30","4","96004"
"4","5","150005","750","73","30","4","96004"
"4","5","150006","900","74","30","4","96004"
"4","5","150007","1000","75","30","4","96004"
"4","5","150008","1150","76","30","4","96004"
"4","5","150009","1300","77","30","4","96004"
"4","5","20004","2500","78","500","2","96004"
"4","5","22003","1000","79","500","2","96004"
"4","0","20004","1000","80","100","2","96004"
"4","0","22003","400","81","100","2","96004"
"5","1","25101","20000","82","1","2","96005"
"5","1","21952","20000","83","1","2","96005"
"5","1","21905","10000","84","1","2","96005"
"5","2","41000","10000","85","1","2","96005"
"5","5","31200","1500","86","5","2","96005"
"5","5","31253","1500","87","5","2","96005"
"5","5","31255","1500","88","5","2","96005"
"5","5","31256","1500","89","5","2","96005"
"5","5","90005","2500","90","10","2","96005"
"5","10","140001","2500","91","50","4","96005"
"5","10","25001","1000","92","10","2","96005"
"5","5","150003","500","93","30","4","96005"
"5","5","150004","650","94","30","4","96005"
"5","5","150005","750","95","30","4","96005"
"5","5","150006","900","96","30","4","96005"
"5","5","150007","1000","97","30","4","96005"
"5","5","150008","1150","98","30","4","96005"
"5","5","150009","1300","99","30","4","96005"
"5","5","20004","2500","100","500","2","96005"
"5","5","22003","1000","101","500","2","96005"
"5","0","20004","1000","102","100","2","96005"
"5","0","22003","400","103","100","2","96005"
"6","1","25101","20000","104","1","2","96006"
"6","1","21952","20000","105","1","2","96006"
"6","1","21905","10000","106","1","2","96006"
"6","2","41000","10000","107","1","2","96006"
"6","5","31262","1500","108","5","2","96006"
"6","5","31266","1500","109","5","2","96006"
"6","5","31269","1500","110","5","2","96006"
"6","5","31271","1500","111","5","2","96006"
"6","5","90005","2500","112","10","2","96006"
"6","10","140001","2500","113","50","4","96006"
"6","10","25001","1000","114","10","2","96006"
"6","5","150003","500","115","30","4","96006"
"6","5","150004","650","116","30","4","96006"
"6","5","150005","750","117","30","4","96006"
"6","5","150006","900","118","30","4","96006"
